Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Selenopemphix brevispinosa	Palaeocystodinium golzowense	Operculodinium centrocarpum	Hystrichosphaeropsis obscura	Systematophora placacantha	Selenopemphix nephroides	Selenopemphix dionaeacysta	Dapsilidinium pseudocolligerum	Cyclopsiella granosa	Trinovantedinium papulum	Tectatodinium pellitum	Habibacysta tectata	Polysphaeridium zoharyi	Operculodinium janduchenei	Operculodinium israelianum	Melitasphaeridium choanophorum	Lingulodinium machaerophorum	Achomosphaera andalousiensis	Operculodinium? eirikianum	Filisphaera microornata	Invertocysta lacrymosa	Comment



  IR	                 	Pliocene         	                  	              	174	1071	C	  7	X	CC	  37.00	    105.9700	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                            	                           	                            	                          	                        	                          	                              	                    	                        	                      	+                  	                       	                          	+                         	                              	                            	                            	                          	                       	+                     	Undifferentiated Spiniferites/Achomosphaera spp. and Brigantedinium spp. common.; rich pollen assemblage dominated by Pinus

  IR	                 	Pliocene         	                  	              	174	1071	C	  9	X	CC	  31.00	    129.1500	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                            	                           	                            	                          	                        	                          	                              	                    	                        	+                     	                   	                       	                          	+                         	                              	                            	                            	                          	+                      	                      	Brigantedinium spp. common

  IR	                 	Late Miocene     	                  	              	174	1071	C	 11	X	CC	  46.00	    149.4500	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	C              	VG                	                          	                            	                           	                            	+                         	                        	                          	                              	+                   	                        	                      	                   	+                      	+                         	                          	                              	+                           	                            	+                         	+                      	                      	Reworking.

  IR	Late Miocene     	Late Pliocene    	                  	              	174	1071	C	 14	X	CC	  38.00	    162.9900	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                            	                           	                            	                          	                        	                          	                              	                    	                        	                      	                   	                       	+                         	                          	                              	                            	+                           	                          	                       	                      	Protoperidinioid taxa (Brigantedinium spp. and Lejeunecysta spp. common).  Abundant pollen and other terrigenous material.

  IR	Late Miocene     	Late Pliocene    	                  	              	174	1071	C	 20	X	CC	  30.00	    214.9000	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	                            	                           	                            	                          	                        	                          	                              	                    	                        	                      	+                  	+                      	+                         	+                         	+                             	+                           	+                           	                          	                       	                      	Spiniferites spp., Lejeunecysta spp. , Brigantedinium sp. common

  IR	                 	Late Miocene     	                  	              	174	1071	C	 23	X	CC	   0.00	    239.7700	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                            	                           	                            	                          	                        	+                         	                              	+                   	+                       	+                     	+                  	                       	                          	                          	                              	                            	                            	                          	                       	                      	Brigantedinium spp. and Spiniferites spp. common.  Reworking.

  IR	                 	Late Miocene     	                  	              	174	1071	C	 25	X	 3	  14.00	    254.7400	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                            	                           	                            	+                         	+                       	+                         	+                             	+                   	                        	                      	                   	                       	                          	                          	                              	                            	                            	                          	                       	                      	Lejeunecysta and Brigantedinium spp. common.  Reworking evident.  Abundant plant material and pyrite.

  IR	                 	                 	                  	              	174	1071	C	 25	X	CC	  10.00	    257.2200	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                           	+                          	+                           	                          	                        	                          	                              	                    	                        	                      	                   	                       	                          	                          	                              	                            	                            	                          	                       	                      	Spiniferites spp. and Brigantedinium spp. abundant.  Charcoal and pyrite common.

