Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Vaginulina spp.	Marginulina spp.	Lenticulina americana spinosa	Lenticulina spp.	Cibicidoides spp.	Buliminella gracilis	Uvigerina juncea	Sphaeroidina bulloides	Nonionella pizarrensis	Hanzawaia hughesi	Uvigerina subperegrina	Cassidulina laevigata	Textularia agglutinans	Quinqueloculina seminulum	Lagena spp.	Elphidium excavatum f. clavatum	Cassidulina teretis	Stilostomella spp.	Osangularia spp.	Gyroidinoides spp.	Elphidium excavatum (Terquem) forma lidoensis	Cibicides lobatulus	Nonionella miocenica	Buliminella elegantissima	Pyrgo spp.	Nonionella labradorica	Globobulimina auriculata	Cancris communis	Bulimina marginata	Buccella frigida	Bolivina subaenariensis	Astacolus sp.	Comment



  IR	                 	Pleistocene      	                  	              	174	1071	C	  2	X	CC	  35.00	     64.4200	Katz     	Benthic Foraminifers                         	C              	                  	               	                	                             	R               	C                	                    	                	                      	                      	                 	                      	F                    	                      	C                        	           	C                              	                   	                  	                	                  	                                             	A                  	C                   	                         	F         	R                     	C                       	C               	C                 	C               	C                      	F            	inner-middle neritic (<100m) A qtz, C glauconite, M mica, R pyrite gastropods

  IR	                 	                 	                  	              	174	1071	C	  6	X	CC	  21.00	     97.0900	Katz     	Benthic Foraminifers                         	R              	                  	               	                	                             	                	A                	                    	                	                      	                      	                 	F                     	                     	                      	                         	           	                               	                   	                  	                	                  	F                                            	                   	R                   	R                        	          	                      	                        	                	                  	                	                       	             	inner-middle neritic (<100m) F glauconite, A mica very rare planktonics

  IR	                 	Pleistocene      	                  	              	174	1071	C	  7	X	CC	  37.00	    105.9700	Katz     	Benthic Foraminifers                         	R              	                  	               	                	                             	                	                 	                    	                	                      	                      	                 	                      	                     	                      	                         	           	                               	                   	                  	F               	R                 	F                                            	R                  	                    	                         	          	                      	                        	                	                  	                	                       	             	inner-middle neritic (<100m) A qtz, R glauconite, C mica

  IR	                 	                 	                  	              	174	1071	C	  8	X	CC	  27.00	    116.4400	Katz     	Benthic Foraminifers                         	               	                  	               	                	                             	                	A                	                    	                	                      	                      	                 	                      	                     	                      	                         	           	A                              	                   	C                 	                	                  	                                             	                   	                    	                         	          	                      	                        	                	                  	                	                       	             	       

  IR	                 	                 	                  	              	174	1071	C	  9	X	 3	  52.00	    128.0200	Katz     	Benthic Foraminifers                         	               	                  	               	                	                             	                	                 	                    	                	                      	                      	                 	                      	                     	                      	R                        	           	A                              	F                  	                  	                	                  	                                             	                   	                    	                         	          	                      	                        	                	                  	                	                       	             	A qtz C mica M glauconite

  IR	                 	Late Miocene     	                  	              	174	1071	C	 11	X	CC	  46.00	    149.4500	Katz     	Benthic Foraminifers                         	F              	VG                	               	                	                             	                	                 	                    	A               	                      	                      	                 	                      	                     	F                     	F                        	           	                               	                   	                  	                	                  	                                             	                   	                    	                         	          	                      	                        	                	                  	                	                       	             	       

  IR	                 	Late Miocene     	                  	              	174	1071	C	 13	X	CC	  20.00	    157.3500	Katz     	Benthic Foraminifers                         	C              	VG                	               	                	                             	                	                 	A                   	C               	                      	                      	R                	R                     	C                    	C                     	F                        	F          	                               	                   	                  	                	                  	                                             	                   	                    	                         	          	                      	                        	                	                  	                	                       	             	A mica, M glauc, A qtz, M pyrite F echin. spines, R planktonics

  IR	                 	Late Miocene     	                  	              	174	1071	C	 13	X	CC	  23.00	    157.3800	Katz     	Benthic Foraminifers                         	C              	VG                	               	                	                             	                	                 	A                   	A               	                      	                      	                 	                      	                     	C                     	A                        	           	                               	                   	                  	                	                  	                                             	                   	                    	                         	          	                      	                        	                	                  	                	                       	             	A qtz A mica R pyrite

  IR	                 	Late Miocene     	                  	              	174	1071	C	 14	X	CC	  10.00	    162.7100	Katz     	Benthic Foraminifers                         	               	VG                	               	                	                             	                	+                	+                   	+               	                      	                      	                 	+                     	+                    	                      	                         	           	                               	                   	                  	                	                  	                                             	                   	                    	                         	          	                      	                        	                	                  	                	                       	             	       

  IR	                 	Late Miocene     	                  	              	174	1071	C	 19	X	 1	  85.00	    200.9500	Katz     	Benthic Foraminifers                         	C              	VG                	               	                	                             	F               	R                	                    	A               	R                     	F                     	R                	                      	                     	                      	                         	           	                               	                   	                  	                	                  	                                             	                   	                    	                         	          	                      	                        	                	                  	                	                       	             	shells, A qtz, C glauc, M mica

  IR	                 	Late Miocene     	                  	              	174	1071	C	 22	X	 1	  90.00	    229.3000	Katz     	Benthic Foraminifers                         	R              	VG                	               	                	                             	C               	C                	R                   	                	                      	                      	                 	                      	                     	                      	                         	           	                               	                   	                  	                	                  	                                             	                   	                    	                         	          	                      	                        	                	                  	                	                       	             	AAA qtz, A mica R echin. spines, R glauconite

  IR	                 	Late Miocene     	                  	              	174	1071	C	 24	X	CC	  16.00	    247.9600	Katz     	Benthic Foraminifers                         	R              	G                 	+              	+               	A0                           	                	                 	                    	                	                      	                      	                 	                      	                     	                      	                         	           	                               	                   	                  	                	                  	                                             	                   	                    	                         	          	                      	                        	                	                  	                	                       	             	       

