Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tectatodinium pellitum,Spiniferites spp.,Spiniferites pseudofurcatus,Selenopemphix brevispinosa conspicua,Selenopemphix brevispinosa brevispinosa,Reticulatosphaera actinocoronata,Palaeocystodinium golzowense,Operculodinium cf. giganteum ,Operculodinium centrocarpum,Lingulodinium machaerophorum,Lejeunecysta sp.3,Labyrinthodinium truncatum truncatum,Invertocysta lacrymosa,Hystrichosphaeropsis obscura,Hystrichokolpoma rigaudiae,Habibacysta tectata,Dapsilidinium pseudocolligerum,Barssidinium wrennii,Achomosphaera ramulifera,Spiniferites ramosus,Spiniferites membranosus,Quinquecuspis concreta,Filisphaera filifera,Amiculosphaera umbracula,Achomosphaera andalousiensis,Tuberculodinium vancampoae,Spiniferites mirabilis,Spiniferites frigidus,Spiniferites elongatus,Selenopemphix quanta,Polysphaeridium zoharyi,Polykrikos schwartzii?,Polykrikos kofoidii?,Nematosphaeropsis lemniscata,Brigantedinium spp.,Bitectatodinium tepikiense,Spiniferites bentorii,Operculodinium centrocarpum,Impagidinium patulum,Impagidinium sphaericum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,150, 902,C,  5,H,CC,  34.00,     44.0500,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                 ,                           ,                                    ,                                       ,                                ,                            ,                             ,+                          ,                            ,                 ,                                    ,                      ,                            ,                          ,                   ,                              ,                    ,                        ,+                   ,                        ,+                     ,                    ,                        ,                            ,+                         ,+                     ,+                    ,                      ,                    ,+                      ,                      ,                    ,+                           ,                   ,+                         ,                     ,                           ,+                   ,+                      ,from 150SR. Ch 27. Table 1. p 440-441.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,150, 902,C,  6,H, 1, 147.00,     44.9700,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,+                ,                           ,                                    ,                                       ,                                ,                            ,                             ,                           ,+                           ,                 ,                                    ,                      ,                            ,                          ,                   ,                              ,                    ,                        ,                    ,                        ,                      ,                    ,                        ,                            ,                          ,                      ,                     ,                      ,                    ,                       ,                      ,                    ,+                           ,+                  ,+                         ,                     ,                           ,                    ,                       ,from 150SR. Ch 27. Table 1. p 440-441.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,150, 902,C,  7,H,CC,  58.00,     50.2200,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,+                ,                           ,                                    ,                                       ,                                ,                            ,                             ,                           ,                            ,                 ,                                    ,                      ,                            ,                          ,                   ,                              ,                    ,                        ,                    ,                        ,+                     ,                    ,                        ,                            ,                          ,                      ,                     ,                      ,                    ,+                      ,                      ,                    ,                            ,                   ,                          ,                     ,+                          ,                    ,                       ,from 150SR. Ch 27. Table 1. p 440-441.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,150, 902,C,  8,H,CC,  23.00,     59.9700,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                 ,                           ,                                    ,                                       ,                                ,                            ,                             ,                           ,                            ,                 ,                                    ,                      ,                            ,                          ,                   ,                              ,                    ,                        ,+                   ,                        ,                      ,                    ,                        ,+                           ,                          ,                      ,+                    ,+                     ,+                   ,+                      ,                      ,                    ,                            ,                   ,+                         ,+                    ,+                          ,+                   ,                       ,from 150SR. Ch 27. Table 1. p 440-441.
