Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spiroplectammina spectabilis	Pyramidina rudita	Praebulimina reussi	Osangularia plummerae	Oridorsalis umbonatus	Nuttallides truempyi	Nodosarella subnodosa	Lenticulina spp.	Gyroidinoides spp.	Gyroidinoides globosa	Gyroidinoides complanata	Gaudryina pyramidata	Ellipsodimorphina spp.	Dentalina spp.	Conorbinoides hillebrandti	Buliminella spp.	Buliminella carseyae	Aragonia velascoensis	Aragonia ouezzanensis	Alabamina creta	Pyramidina szajnochae	Nuttallinella michelinianus	Gyroidinoides quadratus	Globorotalites michelinianus	Ammodiscus glabratus	Pleurostomella spp.	Plectofrondicularia spp.	Gyroidinoides girardanus	Gaudryina dividens	Vulvulina spinosa	Stilostomella subspinosa	Pullenia quinqueloba	Pullenia bulloides	Parafissurina spp.	Oolina spp.	Nonion spp.	Karreriella bradyi	Fissurina spp.	Eggerella bradyi	Cibicidoides wuellerstorfi	Cibicidoides subhaidingeri	Cibicidoides renzi	Cibicidoides bradyi	Anomalinoides globulosus	Stilostomella spp.	Stilostomella abyssorum	Pyrgo lucernula	Melonis pompilioides	Martinottiella sp.	Ehrenbergina hystrix	Uvigerina hispida	Pyrgo murrhina	Gaudryina spp.	Uvigerina hispidocostata	Uvigerina graciliformis	Quinqueloculina sp.	Haplophragmoides spp.	Gyroidinoides soldanii	Gyroidinoides neosoldanii	Globocassidulina subglobosa	Cibicidoides spp.	Cibicidoides incrassatus	Cibicidoides cicatricosus	Pleurostomella obtusa	Melonis sphaeroides	Bathysiphon spp.	Nodosaria spp.	Ellipsoidina ellipsoides	Bolivina spp.	Uvigerina spp.	Stainforthia complanata	Bulimina spp.	Comment



  IR	                 	                 	                  	              	198	1207	A	  1	H	CC	  15.00	      4.7200	benthics 	Benthic Foraminifers                         	F              	G                 	                            	                 	                   	                     	R                    	                    	                     	T               	                  	                     	                        	                    	                      	              	                          	                	                    	                     	                     	               	                     	                           	                       	                            	                    	R                  	                        	                        	                  	                 	                        	                    	R                 	                  	           	R          	                  	              	                	R                         	                          	                  	                   	                        	+                 	                       	R              	+                   	                  	                    	R                	R             	R             	C                       	                       	                   	                     	                      	                         	                           	                 	                        	                         	                     	R                  	                	              	                        	R            	R             	R                      	R            	       

  IR	                 	                 	                  	              	198	1207	A	  4	H	CC	  11.00	     33.7900	benthics 	Benthic Foraminifers                         	F              	VG                	                            	                 	                   	                     	R                    	                    	                     	+               	                  	                     	                        	                    	                      	R             	                          	                	                    	                     	                     	               	                     	                           	                       	                            	                    	T                  	                        	                        	                  	                 	                        	R                   	T                 	                  	           	           	T                 	T             	R               	R                         	                          	                  	                   	                        	T                 	                       	F              	+                   	                  	                    	R                	F             	              	                        	                       	T                  	                     	                      	                         	                           	T                	                        	                         	                     	C                  	                	R             	                        	T            	              	                       	             	       

  IR	                 	                 	                  	              	198	1207	A	  6	H	CC	   5.00	     52.5500	benthics 	Benthic Foraminifers                         	R              	G                 	                            	                 	                   	                     	R                    	                    	                     	T               	T                 	                     	                        	                    	                      	              	                          	                	                    	                     	                     	               	                     	                           	                       	                            	                    	                   	                        	                        	                  	                 	                        	                    	                  	                  	           	T          	                  	              	R               	C                         	                          	                  	                   	                        	                  	                       	R              	                    	                  	                    	F                	F             	R             	                        	                       	T                  	                     	                      	                         	                           	                 	                        	                         	                     	                   	                	R             	R                       	             	              	                       	             	       

  IR	                 	                 	                  	              	198	1207	A	  8	H	CC	   8.00	     71.4800	benthics 	Benthic Foraminifers                         	C              	G                 	                            	                 	                   	                     	F                    	                    	                     	T               	+                 	                     	                        	                    	                      	R             	                          	                	                    	                     	                     	               	                     	                           	                       	                            	                    	+                  	                        	R                       	                  	                 	                        	                    	R                 	                  	           	R          	T                 	              	R               	C                         	T                         	                  	                   	T                       	T                 	                       	R              	+                   	                  	                    	                 	F             	R             	                        	                       	T                  	R                    	+                     	R                        	                           	T                	                        	                         	R                    	+                  	R               	              	                        	             	              	                       	             	       
