Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,P-D intergrade,Neogloboquadrina dutertrei,Globorotalia tumida,Globorotalia menardii,Globoquadrina hexagona,Globoquadrina conglomerata,Globigerinoides tenellus,Globigerinoides sacculifer,Globigerinoides ruber,Globigerinoides conglobatus,Globigerinita glutinata,Globigerinella aequilateralis,Globigerina rubescens,Globigerina digitata,Globigerina calida,Globigerina bulloides,Orbulina universa,Globorotalia crassaformis,Globorotalia scitula,Globigerina falconensis,Globorotalia hirsuta,Neogloboquadrina pachyderma (dex.),Globorotalia inflata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 3,  81.00,      3.8100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,                         ,9.1%                        ,.4%           ,12.7%                     ,2.4%               ,7.1%                 ,2.4%                  ,5.6%                      ,.4%                     ,13.1%                     ,27.4%                ,1.6%                       ,4.0%                   ,3.2%                         ,.4%                  ,1.2%                ,1.2%              ,2.4%                 ,1.6%             ,3.2%                     ,                    ,                       ,.4%                 ,                                  ,.4%                 ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 3,  91.00,      3.9100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,                         ,9.3%                        ,3.1%          ,11.7%                     ,.9%                ,11.5%                ,.7%                   ,1.6%                      ,.7%                     ,4.0%                      ,23.7%                ,                           ,15.0%                  ,1.1%                         ,1.6%                 ,.9%                 ,.7%               ,8.6%                 ,                 ,3.1%                     ,.4%                 ,.4%                    ,                    ,1.1%                              ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 3, 101.00,      4.0100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,                         ,9.6%                        ,1.8%          ,15.7%                     ,.7%                ,11.7%                ,.4%                   ,2.9%                      ,1.8%                    ,8.5%                      ,15.3%                ,.4%                        ,14.2%                  ,.4%                          ,1.8%                 ,1.1%                ,1.1%              ,9.6%                 ,                 ,2.9%                     ,                    ,                       ,.4%                 ,                                  ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 3, 111.00,      4.1100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,                         ,7.6%                        ,3.3%          ,19.4%                     ,                   ,17.1%                ,1.7%                  ,4.3%                      ,.3%                     ,10.2%                     ,18.1%                ,.3%                        ,2.3%                   ,1.7%                         ,                     ,1.0%                ,1.0%              ,6.9%                 ,                 ,3.3%                     ,.7%                 ,                       ,                    ,1.0%                              ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
