Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,reticulofenstrids small,Syracosphaera spp.,Sphenolithus gr. moriformis/abies,Rhabdosphaera spp.,Reticulofenestra pseudoumbilicus,Helicosphaera intermedia,Helicosphaera carteri,Discoaster surculus,Discoaster spp.,Discoaster pentaradiatus,Discoaster gr. variabilis,Discoaster brouweri,Dictyococcites spp.,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Scyphosphaera spp.,Pontosphaera spp.,Scapholithus fossilis,Discoaster intercalaris,Helicosphaera stalis,Umbilicosphaera spp.,Reticulofenestra pseudoumbilicus (circular outline),Florisphaera profunda,Amaurolithus primus/tricorniculatus,Amaurolithus delicatus,Thoracosphaera spp.,Ceratolithus acutus,Triquetrorhabdulus rugosus,Comment
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 6,  19.00,     96.0900,Castradori,Nannofossils                                 ,A              ,M/G               ,A                      ,R                 ,A                                ,C                 ,C                               ,                        ,A                    ,260                ,               ,260                     ,1110                     ,140                ,C                  ,A                    ,C                     ,A                     ,F/C               ,C                ,R                    ,                       ,                    ,F                   ,A                                                  ,60                   ,20                                 ,40                    ,                   ,                   ,                          ,from Leg 160Sr Ch. 9. Table 1. Total Discoaster Abundance = 1770. Sparce foraminifers. Sparce dolomite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 6,  29.00,     96.1900,Castradori,Nannofossils                                 ,A              ,M/G               ,A                      ,R                 ,A                                ,C                 ,A                               ,R                       ,C                    ,310                ,               ,150                     ,960                      ,130                ,C                  ,A                    ,R                     ,C                     ,F/C               ,C                ,R                    ,                       ,                    ,F                   ,                                                   ,80                   ,10                                 ,20                    ,                   ,                   ,                          ,from Leg 160Sr Ch. 9. Table 1. Total Discoaster Abundance = 1550. Rare gypsum crystals. Common dolomite. Rare organic matter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 6,  39.00,     96.2900,Castradori,Nannofossils                                 ,A              ,M/G               ,A                      ,F/C               ,A                                ,F/C               ,A                               ,R                       ,C                    ,160                ,               ,50                      ,1050                     ,50                 ,C                  ,A                    ,F                     ,C                     ,C                 ,C                ,                     ,20                     ,                    ,R                   ,                                                   ,70                   ,+                                  ,+                     ,                   ,                   ,                          ,from Leg 160Sr Ch. 9. Table 1. Total Discoaster Abundance = 1330. Rare gypsum crystals. Common dolomite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 6,  49.00,     96.3900,Castradori,Nannofossils                                 ,A              ,M/G               ,A                      ,                  ,A                                ,C                 ,A                               ,R                       ,C                    ,90                 ,20             ,200                     ,320                      ,120                ,C/A                ,A                    ,C                     ,C                     ,C                 ,C                ,                     ,20                     ,                    ,C                   ,C/A                                                ,80                   ,10                                 ,+                     ,                   ,                   ,                          ,from Leg 160Sr Ch. 9. Table 1. Total Discoaster Abundance = 770.  Rare foraminifers.  Rare dolomite. Sparce organic matter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 6,  59.00,     96.4900,Castradori,Nannofossils                                 ,A              ,M                 ,A                      ,F                 ,A                                ,F                 ,C/A                             ,R                       ,A                    ,                   ,               ,850                     ,50                       ,60                 ,C                  ,C                    ,R                     ,C                     ,F                 ,F                ,                     ,                       ,                    ,                    ,                                                   ,160                  ,20                                 ,20                    ,                   ,cf                 ,                          ,from Leg 160Sr Ch. 9. Table 1. Total Discoaster Abundance = 960.  Rare reworked Cenozoic taxa. Sparce foraminifers. Sparce dolomite. Common organic matter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
