Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Triquetrorhabdulus rugosus,Sphenolithus moriformis,Sphenolithus heteromorphus,Scyphosphaera spp.,Scapholithus fossilis,Rhabdosphaera procera,Reticulofenestra pseudoumbilicus,Reticulofenestra minutula,Reticulofenestra minuta,Pyrocyclus orangensis,Pyrocyclus hermosus,Pontosphaera multipora,Helicosphaera euphratis,Helicosphaera carteri,Hayella aperta,Geminilithella rotula,Discoaster variabilis,Discoaster signus,Discoaster musicus,Discoaster kugleri,Discoaster bollii,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus tropicus,Calcidiscus premacintyrei,Calcidiscus macintyrei,Calcidiscus leptoporus,Helicosphaera walbersdorfensis,Sphenolithus abies,Pontosphaera discopora,Helicosphaera stalis,Helicosphaera orientalis,Discoaster bellus,Catinaster coalitus,Catinaster calyculus,Syracosphaera spp.,Reticulofenestra rotaria,Minylitha convallis,Discoaster prepentaradiatus,Discoaster neohamatus,Discoaster brouweri,Cryptococcolithus takayamae,Discoaster pentaradiatus,Discoaster calcaris,Pontosphaera spp.,Discoaster quinqueramus,Discoaster loeblichii,Discoaster berggrenii,Cruciplacolithus tenuiforatus,Triquetrorhabdulus striatus,Discoaster surculus,Amaurolithus primus,Holodiscolithus solidus,Amaurolithus delicatus,Discoaster deflandrei,Amaurolithus amplificus,Hayella challengeri,Amaurolithus tricorniculatus,Discoaster asymmetricus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10              ,              ,157, 951,A, 21,X, 2,  24.00,    181.1400,Howe     ,Nannofossils                                 ,H              ,M                 ,                       ,S                         ,                       ,                          ,                  ,                     ,F                    ,C                               ,A                        ,C                      ,                     ,                   ,R                     ,                       ,F                    ,              ,F                    ,C                    ,                 ,                  ,                  ,                 ,                           ,F                    ,                        ,                    ,                         ,F                     ,R                     ,                              ,F                 ,R                     ,                    ,                        ,                 ,                   ,                    ,S                 ,                        ,                   ,                           ,                     ,C                  ,                           ,C                       ,                   ,                 ,                       ,                     ,                     ,                             ,                           ,F                  ,                   ,                       ,R                     ,                     ,                       ,                   ,R                           ,R                      ,found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10              ,              ,157, 951,A, 21,X, 2,  50.00,    181.4000,Howe     ,Nannofossils                                 ,L-M            ,M                 ,R                      ,                          ,                       ,                          ,                  ,S                    ,R                    ,F                               ,C                        ,C                      ,                     ,                   ,R                     ,S                      ,R                    ,              ,F                    ,C                    ,                 ,                  ,                  ,                 ,                           ,F                    ,                        ,                    ,                         ,F                     ,R                     ,                              ,R                 ,                      ,                    ,                        ,                 ,                   ,                    ,                  ,                        ,                   ,                           ,                     ,F                  ,                           ,R                       ,                   ,                 ,                       ,                     ,                     ,                             ,                           ,R                  ,                   ,                       ,                      ,                     ,                       ,                   ,S                           ,                       ,found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 21,X, 4,  98.00,    184.8800,Howe     ,Nannofossils                                 ,VH             ,M-G               ,                       ,R                         ,                       ,                          ,S                 ,                     ,F                    ,C                               ,A                        ,A                      ,                     ,                   ,                      ,                       ,F                    ,              ,F                    ,C                    ,                 ,                  ,                  ,                 ,                           ,F                    ,                        ,                    ,                         ,F                     ,R                     ,                              ,F                 ,                      ,                    ,                        ,                 ,                   ,                    ,                  ,                        ,                   ,                           ,                     ,C                  ,                           ,R                       ,                   ,R                ,F                      ,                     ,                     ,                             ,                           ,F                  ,                   ,                       ,R                     ,                     ,                       ,                   ,?S                          ,                       ,found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 21,X, 6,  29.50,    187.1950,Howe     ,Nannofossils                                 ,L              ,P                 ,                       ,                          ,                       ,                          ,                  ,                     ,                     ,F                               ,R                        ,R                      ,                     ,                   ,                      ,                       ,                     ,              ,                     ,C                    ,                 ,                  ,                  ,                 ,                           ,R                    ,                        ,                    ,                         ,                      ,                      ,                              ,                  ,                      ,                    ,                        ,                 ,                   ,                    ,                  ,                        ,                   ,                           ,                     ,F                  ,                           ,R                       ,                   ,                 ,                       ,                     ,                     ,                             ,                           ,F                  ,                   ,                       ,R                     ,                     ,                       ,                   ,                            ,                       ,found in SR. Ch 29. Table 3.
