Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tylostyles taxa	Triaxons  taxa	Toxons  taxa	Styles taxa	Strongyles taxa	Oxeas taxa	Forceps  taxa	Calthrops taxa	C-shaped sigmas  taxa	Acanthoxeas taxa	Acanthotylostyles taxa	Acanthostrongyles taxa	Isochelae taxa	Polyaxons  taxa	Comment



  SR	                 	                 	                  	              	127	 795	A	  2	H	 1	 120.00	     10.5000	Zolnik   	Sponge Spicules                              	               	                  	               	              	            	4          	1              	3         	             	              	7                    	                	1                     	                      	              	               	from ODP Legs 127&128 Chapter 30 Table 1 p 542

  SR	                 	                 	                  	              	127	 795	A	  3	H	 3	 120.00	     23.0000	Zolnik   	Sponge Spicules                              	               	                  	1              	1             	1           	6          	6              	9         	             	              	3                    	3               	3                     	                      	              	               	from ODP Legs 127&128 Chapter 30 Table 1 p 542

  SR	                 	                 	                  	              	127	 795	A	  4	H	 1	 120.00	     29.5000	Zolnik   	Sponge Spicules                              	               	                  	               	              	            	           	1              	2         	2            	              	5                    	2               	2                     	                      	              	               	from ODP Legs 127&128 Chapter 30 Table 1 p 542

  SR	                 	                 	                  	              	127	 795	A	  5	H	 5	 120.00	     45.0000	Zolnik   	Sponge Spicules                              	               	                  	6              	              	4           	3          	5              	26        	             	              	1                    	2               	15                    	1                     	1             	               	from ODP Legs 127&128 Chapter 30 Table 1 p 542

  SR	                 	                 	                  	              	127	 795	A	  6	H	 1	 120.00	     48.5000	Zolnik   	Sponge Spicules                              	               	                  	3              	2             	3           	5          	5              	12        	             	              	2                    	1               	3                     	                      	              	               	from ODP Legs 127&128 Chapter 30 Table 1 p 542

  SR	                 	                 	                  	              	127	 795	A	  6	H	 2	 120.00	     50.0000	Zolnik   	Sponge Spicules                              	               	                  	2              	3             	2           	1          	               	5         	             	1             	3                    	                	1                     	                      	              	               	from ODP Legs 127&128 Chapter 30 Table 1 p 542

  SR	                 	                 	                  	              	127	 795	A	  7	H	 3	 119.00	     60.9900	Zolnik   	Sponge Spicules                              	               	                  	4              	              	3           	           	1              	24        	             	              	1                    	1               	4                     	                      	              	               	from ODP Legs 127&128 Chapter 30 Table 1 p 542

  SR	                 	                 	                  	              	127	 795	A	  7	H	 6	 119.00	     65.4900	Zolnik   	Sponge Spicules                              	               	                  	8              	2             	13          	8          	1              	29        	             	              	                     	1               	5                     	                      	              	               	from ODP Legs 127&128 Chapter 30 Table 1 p 542

  SR	                 	                 	                  	              	127	 795	A	  8	H	 1	 120.00	     67.5000	Zolnik   	Sponge Spicules                              	               	                  	5              	1             	10          	7          	7              	52        	             	              	2                    	9               	19                    	8                     	              	               	from ODP Legs 127&128 Chapter 30 Table 1 p 542

  SR	                 	                 	                  	              	127	 795	A	  8	H	 4	 120.00	     72.0000	Zolnik   	Sponge Spicules                              	               	                  	11             	1             	4           	13         	11             	44        	             	              	                     	3               	25                    	2                     	1             	               	from ODP Legs 127&128 Chapter 30 Table 1 p 542

