Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Melonis pompilioides	Nodosariid taxa	Miliammina echigoensis	Martinottiella communis	Eggerella bradyi	Eggerella sp. A	Calcareous sp. indeterminate	Triloculina rotunda	Triloculina sp. A	Parafissurina cf. P. curta	Globobulimina auriculata	Cibicides sp. D	Nummoloculina sp. A	Fissurina sp. A	Quinqueloculina spp.	Quinqueloculina akneriana	Gyroidina lamarckiana	Lenticulina lucidus	Alveolophragmium sp. A	Nummoloculina sp. B	Chilostomella oolina	Triloculinella circularis	Globobulimina cf. G. pupoides	Oolina globosa	Cribrostomoides sp. A	Stainforthia rotundata	Stainforthia complanata	Rectoglandulina torrida	Pyrgo murrhina	Globocassidulina subglobosa	Fissurina cf. F. exculpta	Comment



  SR	                 	                 	                  	              	127	 795	A	  4	H	CC	  20.00	     38.2000	Brunner  	Benthic Foraminifers                         	               	                  	                    	               	                      	                       	                	               	2                           	                   	                 	                          	                        	               	                   	               	                    	                         	                     	                   	                      	                   	                    	                         	                             	              	                     	                      	4                      	4                      	1             	2                          	2                        	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	                 	                 	                  	              	127	 795	A	 11	H	CC	  27.00	    104.7200	Brunner  	Benthic Foraminifers                         	               	                  	                    	               	                      	                       	                	               	                            	                   	                 	                          	                        	               	                   	               	                    	                         	                     	                   	                      	                   	                    	                         	                             	              	                     	1                     	6                      	                       	              	                           	                         	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	                 	                 	                  	              	127	 795	A	 12	H	CC	  22.00	    114.0900	Brunner  	Benthic Foraminifers                         	               	                  	                    	               	7                     	6                      	1               	2              	                            	                   	                 	                          	                        	               	                   	               	                    	                         	                     	                   	                      	                   	1                   	                         	                             	3             	2                    	                      	                       	                       	              	                           	                         	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	                 	                 	                  	              	127	 795	A	 13	H	CC	  27.00	    123.7400	Brunner  	Benthic Foraminifers                         	               	                  	                    	               	2                     	1                      	                	               	                            	                   	                 	                          	                        	               	                   	               	                    	                         	                     	                   	                      	                   	                    	                         	1                            	              	                     	                      	                       	                       	              	                           	                         	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	                 	                 	                  	              	127	 795	A	 14	H	CC	  26.00	    133.3000	Brunner  	Benthic Foraminifers                         	               	                  	                    	               	3                     	7                      	4               	               	                            	                   	                 	                          	                        	               	2                  	               	                    	                         	                     	                   	                      	                   	                    	1                        	                             	              	                     	                      	                       	                       	              	                           	                         	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	                 	                 	                  	              	127	 795	A	 15	H	CC	  28.00	    142.7700	Brunner  	Benthic Foraminifers                         	               	                  	                    	               	9                     	                       	                	               	                            	                   	                 	                          	1                       	               	                   	               	                    	                         	                     	                   	                      	                   	                    	                         	                             	              	                     	                      	                       	                       	              	                           	                         	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

