Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stilostomella spp.,Pullenia spp.,Oridorsalis umbonatus,Nuttallides truempyi,Nodosariid taxa,Lenticulina spp.,Hanzawaia ammophila,Globocassidulina subglobosa,Cibicidoides spp.,Gyroidinoides soldanii,Cibicidoides praemundulus,Cibicidoides micrus,Cibicidoides mexicanus,Stilostomella subspinosa,Bulimina spp.,Trifarina spp.,Vulvulina spinosa,Anomalinoides semicribratus,Uvigerina spp.,Stilostomella spinescens,Sphaeroidina bulloides,Bolivina spp.,Pullenia bulloides,Oolina spp.,Karreriella bradyi,Tritaxa spp.,Siphonina tenuicarinata,Rectuvigerina striata,Cibicidoides mundulus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1126,D,  8,R,CC,  21.00,    217.6900,Holbourn ,Benthic Foraminifers                         ,F              ,M                 ,F                 ,R            ,                     ,                    ,F              ,F               ,F                  ,                           ,F                ,R                     ,                         ,                   ,R                     ,                        ,             ,              ,C                ,R                          ,              ,                        ,F                     ,F            ,                  ,           ,R                 ,R           ,C                      ,R                    ,F                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1126,D, 12,R,CC,  18.00,    252.6800,Holbourn ,Benthic Foraminifers                         ,C              ,M                 ,C                 ,R            ,R                    ,                    ,F              ,R               ,F                  ,                           ,F                ,                      ,F                        ,R                  ,R                     ,                        ,             ,C             ,R                ,                           ,R             ,                        ,R                     ,C            ,R                 ,R          ,R                 ,            ,                       ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1126,D, 16,R,CC,  38.00,    290.9800,Holbourn ,Benthic Foraminifers                         ,F              ,M                 ,F                 ,R            ,F                    ,                    ,R              ,R               ,F                  ,R                          ,F                ,                      ,F                        ,                   ,                      ,                        ,F            ,R             ,F                ,R                          ,              ,                        ,R                     ,             ,R                 ,R          ,                  ,            ,                       ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1126,D, 20,R,CC,  20.00,    329.8900,Holbourn ,Benthic Foraminifers                         ,R              ,P                 ,A                 ,R            ,                     ,                    ,F              ,R               ,                   ,                           ,F                ,                      ,R                        ,                   ,                      ,C                       ,             ,              ,                 ,                           ,R             ,R                       ,R                     ,R            ,                  ,           ,                  ,            ,                       ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
