Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeaglobigerina labiacrassata	Tenuitellinata juvenilis	Tenuitellinata angustiumbilicata	Tenuitella munda	Tenuitella gemma	Paragloborotalia opima opima	Paragloborotalia opima nana	Globorotaloides testarugosa	Globorotaloides suteri	Globigerina praebulloides	Globigerina ouachitaensis	Globigerina officinalis	Globigerina euapertura	Globigerina ciperoensis	Dentoglobigerina galavisi	Catapsydrax dissimilis	Globoquadrina venezuelana	Zeaglobigerina woodi	Zeaglobigerina nepenthes	Zeaglobigerina decoraperta	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Globorotalia plesiotumida	Globorotalia cibaoensis	Globigerinoides trilobus	Globigerinoides obliquus	Globigerinoides extremus	Globigerina quinqueloba	Globigerina falconensis	Globigerina bulloides	Sphaeroidinellopsis seminulina	Globorotalia menardii	Globoconella conoidea	Zeaglobigerina apertura	Orbulina suturalis	Neogloboquadrina acostaensis	Globorotalia margaritae	Globoconella conomiozea	Globigerinella siphonifera	Globoconella sphericomiozea	Orbulina bilobata	Globorotalia scitula	Globorotalia pliozea	Globorotalia puncticulata	Globorotalia crassaformis	Globorotalia pseudomiocenica	Globigerinoides sacculifer	Globorotalia inflata	Globigerinoides ruber	Neogloboquadrina pachyderma (sinistral)	Globorotalia crassula	Globigerinoides conglobatus	Globorotalia truncatulinoides	Globorotalia tosaensis	Sphaeroidinella dehiscens	Globorotalia sp. cf. tosaensis	Globigerinella obesa	Globigerinita glutinata	Neogloboquadrina humerosa	Neogloboquadrina dutertrei	Zeaglobigerina rubescens	Globorotalia tumida	Globigerinoides tenellus	Globigerinita uvula	Pulleniatina obliquiloculata	Globorotalia hirsuta	Comment



  IR	                 	Quaternary       	                  	Pt1b          	182	1130	A	  1	H	CC	  20.00	      8.4500	Li       	Planktonic Foraminifers                      	C              	VG                	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	                 	P                                    	                         	                       	                        	                        	                        	A                      	F                      	R                    	                              	                     	                     	                       	                  	                            	                       	                       	                          	                           	                 	R                   	                    	                         	                         	                            	                          	A                   	                     	P                                      	                     	                           	R                            	                      	                         	                              	                    	R                      	                         	                          	                        	                   	                        	                   	                            	P                   	pteropods, clam shells, scaphopods, benthic forams

  IR	                 	Quaternary       	                  	Pt1b          	182	1130	A	  2	H	CC	  16.00	     18.0100	Li       	Planktonic Foraminifers                      	C              	VG                	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	P                	P                                    	                         	                       	                        	                        	                        	F                      	F                      	                     	                              	                     	                     	                       	                  	                            	                       	                       	                          	                           	                 	                    	                    	                         	                         	                            	                          	A                   	F                    	                                       	                     	                           	R                            	                      	                         	                              	                    	F                      	                         	                          	                        	                   	                        	                   	                            	P                   	pteropods, scaphopods, benthic forams

  IR	                 	Quaternary       	                  	Pt1b          	182	1130	A	  3	H	CC	  10.00	     21.9500	Li       	Planktonic Foraminifers                      	C              	VG                	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	P                	                                     	                         	                       	                        	                        	                        	                       	                       	F                    	                              	                     	                     	                       	                  	                            	                       	                       	                          	                           	                 	                    	                    	                         	                         	                            	P                         	A                   	A                    	                                       	                     	                           	F                            	                      	                         	                              	                    	F                      	                         	                          	                        	                   	                        	                   	                            	P                   	benthic forams, pteropods, urchin spines,

  IR	                 	Quaternary       	                  	Pt1b          	182	1130	A	  4	H	CC	   7.00	     36.7100	Li       	Planktonic Foraminifers                      	C              	VG                	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	                 	                                     	                         	                       	P                       	                        	                        	P                      	F                      	F                    	                              	                     	                     	                       	                  	                            	                       	                       	P                         	                           	                 	                    	                    	                         	                         	                            	                          	A                   	F                    	P                                      	                     	P                          	F                            	                      	                         	                              	                    	F                      	                         	                          	P                       	                   	P                       	                   	                            	P                   	benthic forams, pteropods, urchin spines,
