Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella sigali	Hedbergella delrioensis	Hedbergella planispira	Gubkinella graysonensis	Globigerinelloides blowi	Ticinella bejaouaensis	Hedbergella trocoidea	Hedbergella gorbachikae	Ticinella primula	Ticinella roberti	Hedbergella rischi	Globigerinelloides bentonensis	Ticinella raynaudi	Biticinella breggiensis	Globigerinelloides ultramicrus	Schackoina cenomana	Rotalipora appenninica	Heterohelix moremani	Hedbergella simplex	Costellagerina libyca	Rotalipora globotruncanoides	Rotalipora gandolfii	Truncorotalia truncatulinoides	Truncorotalia tosaensis	Truncorotalia crassaformis	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Globorotalia scitula	Globorotalia menardii	Globorotalia inflata	Globigerinoides conglobatus	Comment



  IR	                 	Pleistocene      	                  	N22           	198	1214	A	  1	R	CC	   0.00	      1.2700	planks   	Planktonic Foraminifers                      	R              	P                 	                  	+                      	+                     	                       	                        	                      	                     	                       	                 	                 	                  	                              	                  	                       	                              	                   	                      	                    	+                  	                     	                            	                    	R                             	R                      	A                         	F                	R                                    	R                   	R                    	D                   	R                          	dissolved, fragmented

  IR	                 	Albian           	                  	KS16          	198	1214	A	  2	R	 1	   0.00	      6.9000	planks   	Planktonic Foraminifers                      	T              	P                 	                  	P                      	P                     	                       	                        	                      	                     	                       	                 	P                	                  	R                             	                  	                       	P                             	P                  	P                     	P                   	P                  	P                    	+                           	P                   	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

  IR	                 	Albian           	                  	N16           	198	1214	A	  3	R	 1	   0.00	     16.4000	planks   	Planktonic Foraminifers                      	T              	P                 	                  	P                      	                      	                       	                        	                      	                     	                       	                 	                 	                  	P                             	                  	                       	                              	                   	                      	P                   	P                  	P                    	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

  IR	                 	Albian           	                  	KS16          	198	1214	A	  4	R	 1	   0.00	     25.9000	planks   	Planktonic Foraminifers                      	T              	P                 	                  	P                      	                      	                       	                        	                      	                     	                       	                 	P                	                  	P                             	                  	                       	                              	P                  	P                     	P                   	P                  	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

  IR	                 	Albian           	KS15              	KS16          	198	1214	A	  5	R	 1	  19.00	     34.6900	planks   	Planktonic Foraminifers                      	T              	P                 	                  	P                      	P                     	                       	                        	                      	                     	                       	                 	P                	                  	P                             	                  	                       	                              	                   	                      	                    	                   	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

  IR	                 	Albian           	KS15              	KS16          	198	1214	A	  6	R	 1	   0.00	     43.2000	planks   	Planktonic Foraminifers                      	T              	P                 	                  	R                      	P                     	                       	                        	                      	                     	                       	P                	P                	                  	P                             	                  	                       	P                             	                   	                      	                    	                   	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

