Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Marssonella praeoxycona	Gavelinella intermedia	Gyroidinoides infracretaceus	Remesella sp.	Protosangularia albiana	Nodosaria spp.	Lingulogavelinella indica	Gyroidinoides globosa	Gaudryina dividens	Protosangularia utaturensis	Protosangularia cenomaniana	Pleurostomella spp.	Hanzawaia compressa	Dorothia conula	Dentalina spp.	Lenticulina spp.	Gaudryina spp.	Vaginulinopsis harpa	Anomalinoides spp.	Quadrimorphina allomorphinoides	Conorotalites aptiensis	Tritaxia globulifera	Tristix excavata	Spiroplectinella excolata	Spiroplectammina sp.	Saracenaria spp.	Pseudoclavulina spp.	Globulina spp.	Dorothia gradata	Protomarssonella pareoxycona	Rhizammina spp.	Gavelinella spp.	Frondicularia sp.	Bulimina spp.	Astacolus spp.	Uvigerina senticosa	Uvigerina peregrina	Uvigerina hispidocostata	Uvigerina hispida	Pyrgo murrhina	Pyrgo lucernula	Oridorsalis tener	Melonis pompilioides	Karreriella bradyi	Gyroidinoides girardanus	Eggerella bradyi	Cibicidoides wuellerstorfi	Comment



  IR	                 	                 	                  	              	198	1214	A	  1	R	CC	   0.00	      1.2700	benthics 	Benthic Foraminifers                         	F              	G                 	                       	                      	                            	             	                       	              	                         	                     	                  	                           	                           	                   	                   	               	              	                	              	                    	                  	                               	                       	                    	                	                         	                    	                	                    	              	                	                            	               	                	                 	             	              	R                  	R                  	F                       	C                	R             	T              	C                	T                   	R                 	T                       	R               	R                         	       

  IR	                 	                 	                  	              	198	1214	A	  2	R	 1	   0.00	      6.9000	benthics 	Benthic Foraminifers                         	R              	P                 	                       	                      	                            	             	                       	+             	                         	                     	+                 	                           	                           	                   	                   	               	R             	+               	              	                    	                  	                               	                       	                    	                	+                        	                    	                	                    	T             	R               	T                           	T              	R               	T                	R            	T             	                   	                   	                        	                 	              	               	                 	                    	                  	                        	                	                          	       

  IR	                 	                 	                  	              	198	1214	A	  4	R	 1	   0.00	     25.9000	benthics 	Benthic Foraminifers                         	R              	P                 	T                      	                      	                            	             	T                      	T             	                         	                     	R                 	                           	                           	                   	                   	               	T             	T               	              	                    	                  	                               	                       	                    	                	R                        	                    	                	                    	              	R               	T                           	               	                	                 	             	              	                   	                   	                        	                 	              	               	                 	                    	                  	                        	                	                          	       

  IR	                 	                 	                  	              	198	1214	A	  5	R	 1	  19.00	     34.6900	benthics 	Benthic Foraminifers                         	R              	P                 	T                      	                      	                            	             	R                      	T             	                         	R                    	F                 	                           	                           	                   	R                  	               	R             	R               	              	                    	T                 	                               	                       	T                   	T               	R                        	F                   	T               	R                   	T             	R               	                            	               	                	                 	             	              	                   	                   	                        	                 	              	               	                 	                    	                  	                        	                	                          	       

