Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Prinsius martinii,Prinsius dimorphosus,Placozygus sigmoides,Ericsonia subpertusa,Ericsonia robusta,Ericsonia cava,Cruciplacolithus tenuis,Cruciplacolithus sp.,Cruciplacolithus primus,Chiasmolithus danicus,Chiasmolithus bidens,Thoracosphaera operculata,Neochiastozygus modestus,Neochiastozygus primitivus,Fasciculithus pileatus,Ellipsolithus bollii,Prinsius bisulcus,Fasciculithus ulii,Toweius sp.,Toweius pertusus,Neochiastozygus saepes,Neochiastozygus perfectus,Cruciplacolithus latipons,Cruciplacolithus subrotundus,Heliolithus cantabriae,Fasciculithus tympaniformis,Cruciplacolithus asymmetricus,Sphenolithus anarrhopus,Neococcolithes protenus,Coronocyclus nitescens,Micula sp.,Coccolithus pelagicus,Chiasmolithus consuetus,Toweius eminens,Neocrepidolithus sp.,Neocrepidolithus bukryi,Neocrepidolithus biskayae,Heliolithus kleinpellii,Fasciculithus involutus,Ellipsolithus macellus,Discoaster sp.,Discoaster mohleri,Campylosphaera eodela,Neochiastozygus distentus,Ellipsolithus distichus,Zygodiscus bramlettei,Cruciplacolithus frequens,Chiasmolithus californicus,Zygodiscus adamas,Heliolithus riedelii,Discoaster nobilis,Fasciculithus lillianae,Chiasmolithus solitus,Ericsonia cf. E. robusta,Discoaster multiradiatus,Neochiastozygus junctus,Markalius inversus,Discoaster okadai,Discoaster lenticularis,Lophodolithus nascens,Campylosphaera dela,Fasciculithus aubertae,Pontosphaera scissura,Neochiastozygus chiastus,Fasciculithus schaubii,"Pedinocyclus ""prelarvalis""",Fasciculithus alanii,Ellipsolithus sp. ,Pontosphaera sp.,Discoaster falcatus,Zygrhablithus bijugatus,Tribrachiatus brammlettei,Toweius occultatus,Fasciculithus bobii,Chiasmolithus eograndis,Discoaster salisburgensis,Discoaster cf. diastypus,Tribrachiatus orthostylus,Pedinocyclus larvalis,Tribrachiatus contortus?,Toweius callosus,Sphenolithus editus,Discoaster barbadiensis,Sphenolithus conspicuus,Discoaster boulangeri,Sphenolithus radians,Calcidiscus protoannulus,Discoaster kuepperi,Ericsonia formosa,Discoaster lodoensis,Birkelundia staurion,Chiasmolithus nitidus,Chiasmolithus mutatus,Braarudosphaera bigelowii,Reticulofenestra dictyoda,Toweius gammation,Neococcolithes dubius,Ellipsolithus lajollaensis,Cruciplacolithus cribellum,Lophodolithus mochlophorus,Helicosphaera seminulum,Discoaster deflandrei,Coccolithus crassus,"Discoaster ""presaipanensis""",Discoaster sublodoensis,Chiasmolithus grandis,Nannotetrina sp. ,Discoaster strictus,Triquetrorhabdulus inversus,Helicosphaera lophota,Ericsonia insolita,Cyclicargolithus spp.,Chiasmolithus expansus,Chiasmolithus titus,Rhabdosphaera inflata,"Reticulofenestra ""grandis""",Discoaster saipanensis,Sphenolithus stellatus,Nannotetrina fulgens,"Discoaster ""pretanii""","Discoaster ""prenodifer""",Sphenolithus orphanknollensis,"Sphenolithus ""spinatus""",Sphenolithus spiniger,Lophodolithus rotundus,Cruciplacolithus vanheckae,Chiasmolithus gigas,Sphenolithus furcatolithoides,Chiasmolithus medius,Bramletteius serraculoides,Helicosphaera dinesenii,Reticulofenestra umbilica,Sphenolithus pseudoradians,Helicosphaera heezenii,Sphenolithus obtusus,Discoaster nodifer,Dictyococcites scrippsae,Dictyococcites bisectus,Reticulofenestra reticulata,Reticulofenestra hillae,Discoaster tanii,Chiasmolithus oamaruensis,Sphenolithus predistentus,Helicosphaera reticulata,Sphenolithus celsus,Ericsonia subdisticha,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP16a             ,              ,143, 865,C,  3,H, 2,  10.00,     14.4000,Bralower ,Nannofossils                                 ,               ,                  ,F                      ,                 ,                    ,                    ,R                   ,                 ,R             ,                       ,                    ,                       ,                     ,                    ,                         ,                        ,                          ,                      ,                    ,                 ,                  ,           ,                ,                      ,                         ,                         ,                            ,                      ,                           ,                             ,                       ,                       ,                      ,          ,C                    ,                       ,               ,                    ,                       ,                         ,                       ,                       ,                      ,R             ,                  ,                     ,                         ,                       ,                     ,                         ,                          ,                 ,                    ,                  ,                       ,                     ,                        ,                        ,                       ,                  ,                 ,                       ,                     ,                   ,                      ,                     ,                        ,                      ,                          ,                    ,                  ,                ,                   ,R                      ,                         ,                  ,                   ,                       ,                         ,                        ,                         ,                     ,                        ,                ,                   ,                       ,                       ,                     ,                    ,                        ,                   ,R                ,                    ,                    ,                     ,                     ,                         ,                         ,                 ,                     ,                          ,                          ,                          ,                       ,R                    ,                   ,                           ,                       ,                     ,                 ,                   ,                           ,                     ,R                 ,F                    ,                      ,                   ,                     ,                          ,                      ,                      ,                    ,R                    ,R                      ,                             ,                       ,                     ,                      ,                          ,                   ,                             ,                    ,R                         ,                       ,R                        ,                          ,                      ,                    ,R                 ,F                       ,R                      ,                           ,R                      ,R               ,R                        ,R                        ,                        ,R                  ,R                    ,from Leg 143 SR; Ch 3; Table 2; pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP16a             ,              ,143, 865,C,  3,H, 3,  10.00,     15.9000,Bralower ,Nannofossils                                 ,               ,                  ,C                      ,                 ,                    ,                    ,R                   ,                 ,F             ,                       ,                    ,                       ,                     ,                    ,                         ,                        ,                          ,                      ,                    ,                 ,                  ,           ,                ,                      ,                         ,                         ,                            ,                      ,                           ,                             ,                       ,                       ,                      ,          ,F                    ,                       ,               ,                    ,                       ,                         ,                       ,                       ,                      ,R             ,                  ,                     ,                         ,                       ,                     ,                         ,                          ,                 ,                    ,                  ,                       ,                     ,                        ,                        ,                       ,                  ,                 ,                       ,                     ,                   ,                      ,                     ,                        ,                      ,                          ,                    ,                  ,                ,                   ,R                      ,                         ,                  ,                   ,                       ,                         ,                        ,                         ,R                    ,                        ,                ,                   ,                       ,                       ,                     ,                    ,                        ,                   ,F                ,                    ,                    ,                     ,                     ,                         ,                         ,                 ,                     ,                          ,                          ,                          ,                       ,R                    ,                   ,                           ,                       ,                     ,                 ,                   ,                           ,                     ,R                 ,A                    ,                      ,                   ,                     ,                          ,                      ,                      ,                    ,R                    ,R                      ,                             ,                       ,                     ,                      ,                          ,                   ,                             ,                    ,F                         ,                       ,F                        ,R                         ,                      ,                    ,R                 ,C                       ,F                      ,                           ,R                      ,R               ,                         ,F                        ,R                       ,R                  ,F                    ,from Leg 143 SR; Ch 3; Table 2; pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP16a             ,              ,143, 865,C,  3,H, 4,  10.00,     17.4000,Bralower ,Nannofossils                                 ,               ,                  ,C                      ,                 ,                    ,                    ,R                   ,                 ,R             ,                       ,                    ,                       ,                     ,                    ,                         ,                        ,                          ,                      ,                    ,                 ,                  ,           ,                ,                      ,                         ,                         ,                            ,                      ,                           ,                             ,                       ,                       ,                      ,          ,F                    ,                       ,               ,                    ,                       ,                         ,                       ,                       ,                      ,R             ,                  ,                     ,                         ,                       ,                     ,                         ,                          ,                 ,                    ,                  ,                       ,                     ,                        ,                        ,                       ,                  ,                 ,                       ,                     ,                   ,                      ,                     ,                        ,                      ,                          ,                    ,                  ,                ,                   ,R                      ,                         ,                  ,                   ,                       ,                         ,                        ,                         ,R                    ,                        ,                ,                   ,                       ,                       ,                     ,                    ,                        ,                   ,F                ,                    ,                    ,                     ,                     ,                         ,                         ,                 ,                     ,                          ,                          ,                          ,                       ,R                    ,                   ,                           ,                       ,                     ,                 ,                   ,                           ,                     ,R                 ,A                    ,                      ,R                  ,                     ,                          ,                      ,                      ,                    ,R                    ,R                      ,                             ,                       ,                     ,                      ,                          ,                   ,                             ,                    ,C                         ,                       ,C                        ,R                         ,                      ,                    ,R                 ,A                       ,A                      ,R                          ,F                      ,R               ,R                        ,R                        ,                        ,R                  ,R                    ,from Leg 143 SR; Ch 3; Table 2; pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP16a             ,              ,143, 865,C,  3,H, 4,  80.00,     18.1000,Bralower ,Nannofossils                                 ,               ,                  ,F                      ,                 ,                    ,                    ,R                   ,                 ,R             ,                       ,                    ,                       ,                     ,                    ,                         ,                        ,                          ,                      ,                    ,                 ,                  ,           ,                ,                      ,                         ,                         ,                            ,                      ,                           ,                             ,                       ,                       ,                      ,          ,R                    ,                       ,               ,                    ,                       ,                         ,                       ,                       ,                      ,F             ,                  ,                     ,                         ,                       ,                     ,                         ,                          ,                 ,                    ,                  ,                       ,                     ,R                       ,                        ,                       ,                  ,                 ,                       ,                     ,                   ,                      ,                     ,                        ,                      ,                          ,                    ,                  ,                ,                   ,R                      ,                         ,                  ,                   ,                       ,                         ,                        ,                         ,R                    ,                        ,                ,                   ,                       ,                       ,                     ,                    ,                        ,                   ,F                ,                    ,                    ,                     ,                     ,                         ,F                        ,                 ,                     ,                          ,                          ,                          ,                       ,R                    ,                   ,                           ,                       ,                     ,                 ,                   ,                           ,                     ,R                 ,C                    ,                      ,R                  ,                     ,                          ,                      ,                      ,                    ,R                    ,R                      ,                             ,                       ,R                    ,                      ,                          ,                   ,                             ,                    ,F                         ,                       ,C                        ,R                         ,                      ,                    ,R                 ,F                       ,C                      ,R                          ,R                      ,R               ,R                        ,                         ,                        ,                   ,                     ,from Leg 143 SR; Ch 3; Table 2; pocket
