Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rocella gelida,Septamesocena apiculata,Naviculopsis trispinosa,Naviculopsis biapiculata,Corbisema triacantha,Distephanus crux crux,Mesocena diodon,Distephanus stauracanthus f. octagonus,Dictyocha varia,Cannopilus sphaericus,Distephanus stauracanthus f. stauracanthus,Dictyocha fibula fibula,Paramesocena circulus apiculata,Cannopilus hemisphaericus,Distephanus speculum speculum,Dictyocha messanensis stapedia,Dictyocha messaensis aspinosa,Dictyocha perlaevis perlaevis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Pliocene         ,D. m. stapedia    ,              ,112, 688,E,  3,R,CC,   5.00,    371.0800,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,                    ,                     ,               ,                                      ,               ,                     ,                                          ,                       ,                               ,                         ,R                            ,R                             ,R                            ,R                            ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Pliocene         ,D. m. stapedia    ,              ,112, 688,E,  4,R,CC,   5.00,    380.1600,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,                    ,                     ,               ,                                      ,               ,                     ,                                          ,                       ,                               ,                         ,R                            ,R                             ,                             ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Pliocene         ,D. m. stapedia    ,              ,112, 688,E,  5,R,CC,   9.00,    393.1000,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,                    ,                     ,               ,                                      ,               ,                     ,                                          ,                       ,                               ,                         ,R                            ,                              ,R                            ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Pliocene         ,D. m. stapedia    ,              ,112, 688,E,  6,R,CC,   5.00,    403.0400,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,                    ,                     ,               ,                                      ,               ,                     ,                                          ,                       ,                               ,                         ,R                            ,R                             ,R                            ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Pliocene         ,D. m. stapedia    ,              ,112, 688,E,  7,R,CC,  10.00,    412.6400,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,                    ,                     ,               ,                                      ,               ,                     ,                                          ,                       ,                               ,                         ,R                            ,R                             ,                             ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
