Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triceraspyris antarctica	Stylatractus universus	Prunopyle titan	Lychnocanium grande	Lampromitra coronata	Helotholus vema	Eucyrtidium pseudoinflatum	Eucyrtidium calvertense	Desmospyris spongiosa	Cycladophora pliocenica	Antarctissa cylindrica	Cycladophora davisiana	Comment



  IR	                 	                 	                  	              	178	1096	C	  3	X	CC	  31.00	    202.5100	Weinheimer	Radiolarians                                 	T              	P                 	-                       	-                     	-              	-                  	-                   	-              	                          	-                      	-                    	-                      	R                     	-                     	       

  IR	                 	                 	                  	              	178	1096	C	  4	X	CC	  32.00	    212.1800	Weinheimer	Radiolarians                                 	T              	P                 	-                       	-                     	-              	-                  	-                   	-              	                          	-                      	-                    	-                      	-                     	-                     	       

  IR	                 	                 	                  	              	178	1096	C	  5	X	CC	  22.00	    219.6100	Weinheimer	Radiolarians                                 	T              	P                 	-                       	-                     	-              	-                  	-                   	-              	                          	-                      	-                    	-                      	-                     	-                     	       

  IR	                 	                 	                  	              	178	1096	C	  6	X	CC	  41.00	    228.9300	Weinheimer	Radiolarians                                 	T              	P                 	-                       	-                     	-              	-                  	-                   	-              	                          	-                      	-                    	-                      	-                     	-                     	       

  IR	                 	                 	                  	              	178	1096	C	  7	X	CC	  31.00	    262.2600	Weinheimer	Radiolarians                                 	A              	M                 	-                       	F                     	-              	-                  	-                   	C              	                          	C                      	A                    	C                      	A                     	F                     	       

  IR	                 	                 	                  	              	178	1096	C	  8	X	CC	  32.00	    270.6800	Weinheimer	Radiolarians                                 	T              	P                 	-                       	-                     	-              	-                  	-                   	-              	                          	-                      	-                    	-                      	-                     	-                     	       

  IR	                 	                 	                  	              	178	1096	C	  9	X	CC	  36.00	    280.3700	Weinheimer	Radiolarians                                 	R              	P                 	-                       	-                     	-              	-                  	-                   	T              	                          	R                      	R                    	-                      	T                     	-                     	       

  IR	                 	                 	                  	              	178	1096	C	 10	X	CC	  36.00	    289.7900	Weinheimer	Radiolarians                                 	T              	P                 	-                       	-                     	-              	-                  	-                   	-              	                          	-                      	-                    	-                      	-                     	-                     	       

  IR	                 	                 	                  	              	178	1096	C	 11	X	CC	  42.00	    299.5100	Weinheimer	Radiolarians                                 	F              	M                 	-                       	-                     	-              	-                  	-                   	-              	                          	T                      	R                    	-                      	-                     	-                     	       

  IR	                 	                 	                  	              	178	1096	C	 12	X	CC	  35.00	    309.1400	Weinheimer	Radiolarians                                 	F              	M                 	-                       	-                     	-              	-                  	-                   	-              	                          	F                      	C                    	T                      	F                     	-                     	       

  IR	                 	                 	                  	              	178	1096	C	 13	X	CC	  32.00	    317.0300	Weinheimer	Radiolarians                                 	C              	M                 	-                       	-                     	-              	-                  	-                   	F              	                          	F                      	C                    	-                      	C                     	-                     	       

  IR	                 	                 	                  	              	178	1096	C	 14	X	CC	  30.00	    328.3400	Weinheimer	Radiolarians                                 	F              	M                 	-                       	T                     	-              	-                  	-                   	R              	                          	R                      	C                    	R                      	C                     	-                     	       

