Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Helicosphaera hyalina,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Gephyrocapsa aperta,Emiliania huxleyi,Calcidiscus leptoporus,Braarudosphaera bigelowii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1127,A,  1,H,CC,  23.00,      9.6500,Shafik   ,Nannofossils                                 ,C              ,G                 ,C                    ,A                    ,C                        ,F                  ,C                ,C                     ,F                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,
