Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra sp. (small)	Reticulofenestra pseudoumbilicus	Gephyrocapsa oceanica	Gephyrocapsa aperta	Cyclococcolithus leptoporus	Coccolithus pelagicus	Discolithina japonica	Helicosphaera carteri	Pseudoemiliania sp. cf. P. lacunosa	Pseudoemiliania lacunosa	Cyclococcolithus sp. cf. C. leptoporus	Emiliania huxleyi	Braarudosphaera bigelowii	Comment



  SR	Quaternary       	                 	NN21              	              	112	 681	A	  1	H	 1	  89.00	      0.8900	Martini  	Nannofossils                                 	               	G                 	                            	                                	C                    	C                  	R                          	                     	                     	C                    	                                   	                        	                                      	R                	R                        	from ODP Leg 112 SR Chapter 14 Table 4 p 221

  SR	Quaternary       	                 	NN20              	              	112	 681	A	  1	H	 4	 125.00	      5.7500	Martini  	Nannofossils                                 	               	M/G               	                            	                                	A                    	F                  	R                          	                     	                     	                     	                                   	                        	                                      	                 	                         	from ODP Leg 112 SR Chapter 14 Table 4 p 221

  SR	Quaternary       	                 	NN20              	              	112	 681	A	  1	H	CC	  12.00	      6.4600	Martini  	Nannofossils                                 	               	P/M               	                            	                                	R                    	R                  	                           	                     	                     	                     	                                   	                        	                                      	                 	                         	from ODP Leg 112 SR Chapter 14 Table 4 p 221

  SR	Quaternary       	                 	NN20              	              	112	 681	A	  2	H	 2	  38.00	      8.3800	Martini  	Nannofossils                                 	               	M/G               	                            	                                	F                    	F                  	R                          	R                    	                     	R                    	                                   	                        	                                      	                 	                         	from ODP Leg 112 SR Chapter 14 Table 4 p 221

  SR	Quaternary       	                 	NN20              	              	112	 681	A	  2	H	CC	  10.00	     16.1900	Martini  	Nannofossils                                 	               	M                 	                            	                                	F                    	R                  	                           	                     	                     	R                    	                                   	                        	                                      	                 	                         	from ODP Leg 112 SR Chapter 14 Table 4 p 221

  SR	Quaternary       	                 	NN20              	              	112	 681	A	  3	H	 2	  47.00	     17.9700	Martini  	Nannofossils                                 	               	M                 	                            	                                	C                    	F                  	R                          	                     	                     	R                    	                                   	                        	                                      	                 	                         	from ODP Leg 112 SR Chapter 14 Table 4 p 221

  SR	Quaternary       	                 	NN20              	              	112	 681	A	  4	H	 3	 117.00	     29.6700	Martini  	Nannofossils                                 	               	M/G               	                            	                                	                     	A                  	F                          	                     	                     	F                    	                                   	                        	                                      	                 	                         	from ODP Leg 112 SR Chapter 14 Table 4 p 221

  SR	Quaternary       	                 	NN20              	              	112	 681	A	  5	H	 2	  26.00	     36.7600	Martini  	Nannofossils                                 	               	M                 	                            	                                	F                    	C                  	                           	                     	                     	F                    	                                   	                        	R                                     	                 	                         	from ODP Leg 112 SR Chapter 14 Table 4 p 221

  SR	Quaternary       	                 	NN20              	              	112	 681	A	  5	H	CC	   5.00	     44.6500	Martini  	Nannofossils                                 	               	P/M               	                            	                                	R                    	R                  	                           	R                    	                     	                     	                                   	                        	                                      	                 	                         	from ODP Leg 112 SR Chapter 14 Table 4 p 221

