Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Sphenolithus predistentus,Sphenolithus moriformis,Reticulofenestra spp. (small - medium),Helicosphaera recta,Helicosphaera euphratis,Helicosphaera carteri,Discoaster tanii,Discoaster deflandrei,Dictyococcites bisectus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Sphenolithus pseudoradians,Sphenolithus distentus,Thorosphaera flabellata,Sphenolithus ciperoensis,Coronocyclus nitescens,Triquetrorhabdulus carinatus,Chiasmolithus altus,Sphenolithus dissimilis,Sphenolithus conicus,Discoaster druggii,Discoaster adamanteus,Discoaster variabilis,Reticulofenestra pseudoumbilicus,Florisphaera profunda,Sphenolithus compactus,Helicosphaera ampliaperta,Calcidiscus premacintyrei,Sphenolithus belemnos,Discoaster bollii,Umbilicosphaera sibogae,Discoaster moorei,Calcidiscus leptoporus,Sphenolithus heteromorphus,Discoaster petaliformis,Discoaster exilis,Discoaster calcaris,Helicosphaera granulata,Pontosphaera spp.,Calcidiscus macintyrei,Triquetrorhabdulus rugosus,Sphenolithus abies/neoabies,Discoaster kugleri,Discoaster prepentaradiatus,Discoaster surculus,Discoaster hamatus,Discoaster brouweri,Catinaster coalitus,Catinaster calyculus,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Amaurolithus primus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus amplificus,Pseudoemiliania lacunosa,Ceratolithus rugosus,Ceratolithus acutus,Rhabdosphaera clavigera,Discoaster tamalis,Ceratolithus cristatus,Syracosphaera pulchra,Syracosphaera spp.,Scapholithus fossilis,Gephyrocapsa spp. (small),Helicosphaera sellii,Gephyrocapsa oceanica,Oolithotus antillarum,Gephyrocapsa margerelii,Gephyrocapsa caribbeanica,Umbellosphaera irregularis,Helicosphaera hyalina,Reticulofenestra asanoi,Umbellosphaera tenuis,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21B             ,NN21B         ,184,1148,A,  1,H,CC,   7.00,      0.6700,nannos   ,Nannofossils                                 ,A              ,VG                ,                       ,                         ,                       ,                                      ,                   ,                       ,C                    ,                ,                     ,                       ,                           ,                     ,                        ,                          ,                      ,R                      ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,                                ,D                    ,                      ,                         ,                         ,                     ,                 ,C                      ,                 ,C                     ,                          ,                       ,                 ,                   ,                       ,R                ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,R                      ,                  ,R                     ,F                    ,R                 ,R                    ,C                        ,                    ,C                    ,                     ,R                      ,                         ,                          ,R                    ,                       ,                     ,A                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21A             ,NN21A         ,184,1148,A,  2,H,CC,  15.00,     10.3700,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,                                      ,                   ,                       ,F                    ,                ,                     ,                       ,                           ,                     ,                        ,                          ,                      ,R                      ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,                                ,C                    ,                      ,                         ,                         ,                     ,                 ,C                      ,                 ,C                     ,                          ,                       ,                 ,                   ,                       ,R                ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,R                  ,                   ,                    ,R                       ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,R                      ,                  ,R                     ,R                    ,                  ,                     ,D                        ,                    ,C                    ,                     ,R                      ,                         ,                          ,                     ,                       ,                     ,C                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21A             ,NN21A         ,184,1148,A,  3,H,CC,   6.00,     19.8500,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                         ,                       ,                                      ,                   ,                       ,F                    ,                ,                     ,                       ,                           ,                     ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,                                ,A                    ,                      ,                         ,                         ,                     ,                 ,C                      ,                 ,F                     ,                          ,                       ,                 ,                   ,                       ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,R                       ,                       ,                     ,                   ,                      ,                            ,                       ,                        ,                    ,                   ,C                      ,                  ,R                     ,C                    ,                  ,                     ,A                        ,                    ,A                    ,F                    ,C                      ,                         ,R                         ,                     ,                       ,R                    ,F                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1148,A,  4,H,CC,  30.00,     29.4600,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,                                      ,                   ,                       ,C                    ,                ,                     ,                       ,                           ,                     ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,                                ,A                    ,                      ,                         ,                         ,                     ,                 ,C                      ,                 ,C                     ,                          ,                       ,                 ,                   ,                       ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,C                       ,                    ,                   ,F                      ,                  ,                      ,C                    ,                  ,R                    ,A                        ,                    ,A                    ,R                    ,C                      ,F                        ,                          ,                     ,                       ,                     ,                 ,       
