Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma,Neogloboquadrina acostaensis,Orbulina universa,Neogloboquadrina dutertrei,Hastigerina siphonifera,Hastigerina aequilateralis,Globorotalia truncatulinoides,Globorotalia triangula,Globorotalia menardii,Globorotalia inflata,Globorotalia crassaformis ronda,Globorotalia crassaformis,Globorotalia cf. Gr. hirsuta,Globigerinoides ruber (white),Globigerinoides conglobatus,Beella praedigitata,Orbulina suturalis,Neogloboquadrina humerosa,Globorotalia tosaensis,Globorotalia scitula,Globigerinoides elongatus/obliquus extremus,Globigerina bulloides,Orbulina bilobata,Globigerina megastoma cariacoensis,Globorotalia crassaformis crassaformis,Pulleniatina obliquiloculata,Globigerinoides trilobus/immaturus,Globigerinoides ruber (pink),Globigerinoides fistulosus,Globigerinoides sacculifer,Globigerina falconensis,Beella digitata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Holocene         ,N22               ,N23           ,149, 897,A,  1,R, 1, 107.00,      1.0700,Gervais  ,Planktonic Foraminifers                      ,C              ,G                 ,F                          ,R                           ,R                ,R                         ,R                      ,                          ,R                            ,R                     ,                     ,F                   ,                               ,                         ,                            ,F                            ,                           ,R                  ,                  ,R                        ,                      ,R                   ,R                                          ,F                    ,R                ,R                                 ,                                      ,                            ,                                  ,                            ,                          ,                          ,R                      ,R              ,from 149 SR. Chapter 6. Table 1. page 170.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Holocene         ,N22               ,N23           ,149, 897,A,  1,R,CC,   0.00,      1.2900,Gervais  ,Planktonic Foraminifers                      ,A              ,G                 ,F                          ,R                           ,F                ,                          ,                       ,                          ,F                            ,F                     ,                     ,F                   ,                               ,                         ,                            ,R                            ,                           ,                   ,                  ,                         ,                      ,R                   ,                                           ,F                    ,                 ,                                  ,                                      ,                            ,                                  ,                            ,                          ,R                         ,                       ,               ,from 149 SR. Chapter 6. Table 1. page 170.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Holocene         ,N22               ,N23           ,149, 897,A,  2,R,CC,   0.00,      8.7000,Gervais  ,Planktonic Foraminifers                      ,A              ,G                 ,C                          ,F                           ,C                ,R                         ,                       ,                          ,F                            ,F                     ,                     ,F                   ,                               ,                         ,                            ,R                            ,                           ,                   ,                  ,                         ,F                     ,R                   ,                                           ,F                    ,                 ,                                  ,R                                     ,                            ,                                  ,                            ,                          ,                          ,                       ,               ,from 149 SR. Chapter 6. Table 1. page 170.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Holocene         ,N22               ,N23           ,149, 897,A,  3,R,CC,  10.00,     17.3000,Gervais  ,Planktonic Foraminifers                      ,C              ,G                 ,C                          ,F                           ,C                ,R                         ,                       ,                          ,F                            ,F                     ,                     ,F                   ,                               ,                         ,                            ,R                            ,                           ,                   ,                  ,                         ,F                     ,R                   ,R                                          ,F                    ,                 ,                                  ,                                      ,                            ,                                  ,                            ,R                         ,                          ,                       ,               ,from 149 SR. Chapter 6. Table 1. page 170.
