Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spiniferites bulloideus,Impagidinium paradoxum,Tuberculodinium vancampoae,Spiniferites hyperacanthus,Operculodinium israelianum,Operculodinium centrocarpum,Nematosphaeropsis lemniscata,Impletosphaeridium spp.,Impagidinium patulum,Impagidinium aculeatum,Achomosphaera sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,123, 765,A,  1,H, 2, 142.00,      2.9200,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,33.3%                  ,12.1%                 ,6.1%                      ,3.0%                      ,9.1%                      ,12.1%                      ,3.0%                        ,6.1%                   ,9.1%                ,3.0%                  ,3.0%             ,total count = 33 ; from ODP Leg 123 SR Chapter 20 Table 2 p 424-426
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,123, 765,A,  1,H, 3,  80.00,      3.8000,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,50.0%                  ,50.0%                 ,                          ,                          ,                          ,                           ,                            ,                       ,                    ,                      ,                 ,total count = 2; from ODP Leg 123 SR Chapter 20 Table 2 p 424-426
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
