Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Theocorys redondoensis	Stichocorys delmontensis	Stichocorys armata	Siphocampe modeloensis	Prunopyle hayesi	Phormostichoartus fistula	Lychnocanoma nipponica nipponica	Gondwanaria hister	Amphymenium amphistylium	Tricolospyris  leibnitziana	Stylatractus universus	Stauroxiphos communis	Lychnocanoma nipponica magnacornuta	Dictyophimus splendens	Diartus petterssoni	Cyrtocapsella japonica	Cyrtocapsella cornuta	Cycladophora cosma cosma	Anthocyrtidium pliocenica	Lithopera neotera	Eucyrtidium acuminatum	Stylodictya validispina	Prunopyle trypopyrena	Botryostrobus bramlettei	Larcospira moschkovskii	Dendrospyris bursa	Lamprocyclas hannai	Eucyrtidium teuscheri group	Didymocyrtis laticonus	Diartus hughesi	Stichocorys radicula	Stichocorys peregrina	Rhizosphaera antarctica	Anthocyrtella (?) callopisma	Stylochlamidium  venustum	Lipmanella virchowii	Lamprocyclas margatensis	Clathrocyclas bicornis	Stylacontarium acquilonium	Eucyrtidium infundibulum	Botryostrobus praetumidulus	Siphocampe arachnea	Pterocanium korotnevi	Gondwanaria dogieli	Actinomma popofskii	Eucyrtidium calvertense	Pterocanium auritum	Eucyrtidium inflatum	Spongotrochus glacialis	Lamprocyrtis heteroporos	Lychnocanoma nipponica sakaii	Phormostichoartus crustula	Dictyophimus bullatus	Sphaeropyle langii	Eucyrtidium erythromystax	Dictyophimus crisiae	Sphaeropyle robusta	Pseudocubus warreni	Lamprocyrtis daniellae	Cycladophora davisiana davisiana	Botryostrobus tumidulus	Lamprocyrtis neoheteroporos	Botryostrobus aquilonaris	Eucyrtidium matuyamai	Comment



  IR	                 	                 	                  	              	167	1021	B	  3	H	CC	  13.00	     27.3100	Caulet   	Radiolarians                                 	R              	P                 	                      	                        	                  	                      	                	                         	                                	                  	                        	                           	                      	                     	                                   	                      	                   	                      	                     	                        	                         	                 	                      	                       	                     	                        	                       	                  	                   	                           	                      	               	                    	                     	                       	                            	                         	                    	                        	                      	R                         	                        	                           	                   	                     	                   	                   	                       	                   	                    	                       	                        	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Late Pliocene    	Quaternary       	E. matuyamai (N Pac)	              	167	1021	B	  5	H	CC	  18.00	     46.3300	Caulet   	Radiolarians                                 	R              	P                 	                      	                        	                  	                      	                	                         	                                	                  	                        	                           	R                     	                     	                                   	                      	                   	                      	                     	                        	                         	                 	                      	                       	                     	                        	                       	                  	                   	                           	                      	               	                    	                     	                       	                            	                         	                    	                        	                      	R                         	                        	R                          	                   	                     	                   	                   	                       	                   	                    	                       	                        	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	R                    	from IR. Ch 15.Table 6.

  IR	                 	                 	                  	              	167	1021	B	  6	H	CC	  38.00	     55.9400	Caulet   	Radiolarians                                 	A              	G                 	                      	                        	                  	                      	                	                         	                                	                  	                        	                           	C                     	                     	                                   	                      	                   	                      	                     	                        	                         	                 	F                     	                       	                     	                        	                       	                  	                   	R                          	                      	               	                    	                     	R                      	                            	C                        	T                   	                        	C                     	F                         	T                       	                           	                   	R                    	                   	R                  	R                      	F                  	                    	T                      	F                       	R                            	                          	                     	                  	                         	                    	R                  	F                  	                      	A                               	R                      	A                          	R                        	                     	from IR. Ch 15.Table 6.

  IR	                 	                 	                  	              	167	1021	B	  7	H	CC	  21.00	     65.5300	Caulet   	Radiolarians                                 	A              	M                 	                      	                        	                  	                      	                	                         	                                	                  	                        	                           	F                     	                     	                                   	                      	                   	                      	                     	                        	                         	                 	R                     	F                      	                     	                        	                       	                  	                   	R                          	                      	               	                    	                     	R                      	                            	F                        	                    	                        	C                     	R                         	                        	                           	                   	                     	                   	R                  	R                      	                   	                    	                       	A                       	                             	                          	                     	                  	T                        	                    	R                  	                   	                      	C                               	                       	R                          	R                        	                     	from IR. Ch 15.Table 6.
