Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Nuttallides umbonifera,Melonis pompilioides,Lagena spp.,Gyroidinoides spp.,Melonis barleeanus,Oridorsalis umbonatus,Stilostomella spp.,Lenticulina spp.,Uvigerina peregrina,Pyrgo spp.,Fontbotia wuellerstorfi,Nodosaria spp.,Pullenia bulloides,Globocassidulina subglobosa,Uvigerina auberiana,Epistominella exigua,Eggerella bradyi,Bolivina pseudopunctata,Melonis sp.,Chilostomella oolina,Brizalina subaenariensis,Cassidulina carinata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A,  1,H,CC,  24.00,      9.6700,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,                      ,                    ,           ,                  ,                  ,                     ,                  ,                ,T                  ,          ,                       ,              ,F                 ,                           ,T                  ,                    ,                ,                       ,           ,                    ,                        ,R                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A,  2,H,CC,  17.00,     19.3400,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,                      ,                    ,R          ,F                 ,R                 ,F                    ,                  ,                ,                   ,R         ,                       ,              ,R                 ,                           ,                   ,                    ,                ,                       ,           ,C                   ,F                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A,  3,H,CC,  22.00,     29.0000,Poli     ,Benthic Foraminifers                         ,R              ,P                 ,                      ,                    ,           ,                  ,                  ,                     ,                  ,                ,                   ,          ,                       ,              ,+                 ,                           ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A,  5,H,CC,  20.00,     48.0200,Poli     ,Benthic Foraminifers                         ,C              ,G                 ,C                     ,                    ,T          ,                  ,F                 ,                     ,                  ,                ,C                  ,          ,                       ,              ,F                 ,                           ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A,  6,H,CC,  10.00,     57.1200,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,                      ,+                   ,           ,+                 ,                  ,+                    ,                  ,                ,+                  ,+         ,                       ,              ,                  ,                           ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
