Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus rugosus	Sphenolithus neoabies	Sphenolithus abies	Scyphosphaera spp.	Reticulofenestra pseudoumbilicus	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra gelida	Helicosphaera rhomba	Helicosphaera carteri	Geminilithella rotula	Discoaster variabilis	Dictyococcites antarcticus	Cyclicargolithus floridanus	Coccolithus pelagicus	Coccolithus formosus	Coccolithus eopelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster quinqueramus	Discoaster surculus	Discoaster pentaradiatus	Syracosphaera pulchra	Amaurolithus delicatus	Helicosphaera kamptneri	Discoaster brouweri	Braarudosphaera bigelowii	Pseudoemiliania lacunosa	Umbilicosphaera sibogae	Hayaster perplexus	Dictyococcites productus	Gephyrocapsa aperta	Gephyrocapsa caribbeanica	Rhabdosphaera clavigera	Oolithotus fragilis	Scapholithus fossilis	Small Gephyrocapsa spp.	Helicosphaera inversa	Helicosphaera hyalina	Gephyrocapsa omega	Gephyrocapsa oceanica	Pontosphaera japonica	Helicosphaera wallichii	Ceratolithus cristatus	Rhabdosphaera stylifera	Emiliania huxleyi	Comment



  IR	                 	                 	NN21              	NN21          	182	1130	B	  1	H	CC	  21.00	      3.9000	Shafik   	Nannofossils                                 	C              	VG                	                          	                     	                  	                  	                                	                         	                       	                       	                    	                     	                     	                     	                          	                           	                     	                    	                       	                      	C                     	                       	                   	                        	                     	                      	                       	                   	                         	                        	                       	                  	                        	                   	C                        	F                      	                   	                     	                       	                     	F                    	                  	F                    	                     	F                      	                      	F                      	C                	       

  IR	                 	                 	                  	              	182	1130	B	  2	H	CC	  16.00	     12.7200	Shafik   	Nannofossils                                 	C              	G                 	                          	                     	                  	                  	                                	                         	                       	                       	                    	                     	                     	                     	                          	                           	                     	                    	                       	                      	F                     	                       	                   	                        	                     	                      	                       	                   	F                        	                        	                       	                  	                        	                   	F                        	F                      	                   	                     	C                      	                     	F                    	                  	                     	                     	                       	                      	                       	C                	       

  IR	                 	                 	                  	              	182	1130	B	  3	H	CC	   7.00	     13.5700	Shafik   	Nannofossils                                 	C              	VG                	                          	                     	                  	                  	                                	                         	                       	                       	                    	                     	                     	                     	                          	                           	                     	                    	                       	                      	C                     	                       	                   	                        	                     	                      	                       	                   	                         	                        	R                      	                  	                        	                   	F                        	                       	                   	                     	C                      	                     	F                    	                  	                     	                     	F                      	                      	                       	C                	       

  IR	Pleistocene      	Pleistocene      	NN20              	NN21          	182	1130	B	  4	H	CC	  20.00	     32.9200	Shafik   	Nannofossils                                 	C              	M                 	                          	                     	                  	                  	                                	                         	                       	                       	                    	F                    	                     	                     	                          	                           	                     	                    	                       	                      	C                     	                       	                   	                        	                     	                      	                       	                   	F                        	                        	R                      	                  	                        	                   	F                        	                       	                   	                     	C                      	                     	F                    	F                 	C                    	R                    	                       	                      	R                      	                 	       

