Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Sphenolithus orphanknollensis	Reticulofenestra umbilica	Reticulofenestra sp. (small)	Helicosphaera seminulum	Helicosphaera lophota	Discolithina distincta	Discoaster tanii	Discoaster sp. sec. calc.	Discoaster saipanensis	Dictyococcites dictyodus	Cyclococcolithus formosus	Coccolithus pelagicus	Coccolithus eopelagicus	Chiasmolithus solitus	Sphenolithus radians	Sphenolithus moriformis	Discolithina plana	Cyclicargolithus floridanus	Cribrocentrum reticulatum	Chiasmolithus sp. cf. C. altus	Chiasmolithus grandis	Discolithina sp. cf. D.distincta	Discoaster barbadiensis	Braarudosphaera bigelowii	Transversopontis pulcher	Micrantholithus vesper	Micrantholithus sp.	Discoaster distinctus	Cyclococcolithus luminis	Sphenolithus predistentus	Coronocyclus nitescens	Koczyia fimbriata	Lanternithus minutus	Blackites tenuis	Discoaster variabilis	Discoaster exilis	Discoaster deflandrei	Coccolithus miopelagicus	Sphenolithus heteromorphus	Sphenolithus abies	Helicosphaera carteri	Cyclicargolithus abisectus	Reticulofenestra pseudoumbilicus	Discolithina multipora	Cyclococcolithus rotula	Rhabdosphaera sp.	Comment



  SR	Middle Miocene   	                 	NN5               	              	112	 683	B	  1	X	 1	  53.00	    403.0300	Martini  	Nannofossils                                 	               	P/M               	                       	                             	                         	C                           	                       	                     	                      	                	                         	                      	                        	                         	F                    	                       	                     	                    	                       	                  	                           	                         	                              	                     	                                	                       	                         	                        	                      	                   	                     	                        	                         	                      	                 	                    	                	R                    	R                	                     	R                       	C                         	F                 	R                    	                          	R                               	                      	                       	                 	from ODP Leg 112 SR Chapter 14 Table 6 p 227

  SR	Middle Miocene   	                 	NN5               	              	112	 683	B	  1	X	CC	   9.00	    403.8100	Martini  	Nannofossils                                 	               	M                 	                       	                             	                         	C                           	                       	                     	                      	                	                         	                      	                        	                         	C                    	                       	                     	                    	                       	                  	F                          	                         	                              	                     	                                	                       	                         	                        	                      	                   	                     	                        	                         	                      	                 	                    	                	                     	R                	                     	F                       	C                         	F                 	C                    	                          	C                               	R                     	                       	R                	from ODP Leg 112 SR Chapter 14 Table 6 p 227

  SR	Middle Miocene   	                 	NN5               	              	112	 683	B	  3	X	 2	  12.00	    423.1200	Martini  	Nannofossils                                 	               	M                 	                       	                             	                         	A                           	                       	                     	                      	                	R                        	                      	                        	                         	C                    	                       	                     	                    	                       	                  	F                          	                         	                              	                     	                                	                       	                         	                        	                      	                   	                     	                        	                         	                      	                 	                    	                	                     	R                	                     	F                       	R                         	R                 	F                    	C                         	C                               	                      	R                      	                 	from ODP Leg 112 SR Chapter 14 Table 6 p 227

  SR	Middle Miocene   	                 	NN5               	              	112	 683	B	  3	X	CC	  24.00	    424.7400	Martini  	Nannofossils                                 	               	P/M               	                       	                             	                         	C                           	                       	                     	                      	                	                         	                      	                        	                         	F                    	                       	                     	                    	                       	                  	F                          	                         	                              	                     	                                	                       	                         	                        	                      	                   	                     	                        	                         	                      	                 	                    	                	                     	F                	                     	F                       	R                         	R                 	R                    	F                         	C                               	                      	                       	                 	from ODP Leg 112 SR Chapter 14 Table 6 p 227
