Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Orbulina universa,Orbulina suturalis,Neogloboquadrina incompta (sinsitral),Neogloboquadrina incompta (dextral),Neogloboquadrina cf. pachyderma,Neogloboquadrina acostaensis (sinistral),Neogloboquadrina acostaensis (dextral),Globorotaloides spp.,Globorotalia scitula (dextral),Globorotalia margaritae,Globigerinoides trilobus s.l.,Globigerinoides obliquus obliquus,Globigerinita glutinata,Globigerinids sp.,Globigerina quinqueloba,Globigerina nepenthes,Globigerina foliata,Globigerina falconensis,Globigerina decoraperta,Globigerina bulloides,Neogloboquadrina praehumerosa,Hastigerina siphonifera,Globorotalia scitula (sinistral),Globigerinoides trilobus,Globigerinella praecalida,Globigerina cf. woodi,Globoquadrina spp.,Globigerinoides ruber,Globigerinella pseudobesa,Globigerinella obesa,Globigerina apertura,Beella praedigitata,Orbulina bilobata,Globorotalia menardii group,Globigerinoides quadrilobatus,Globigerinoides obliquus extremus,Globigerinoides bulloideus,Globigerinoides sacculifer,Neogloboquadrina humerosa,Globigerinita uvula,Turborotalita sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X, 3, 116.00,    296.9600,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,R                ,R                 ,R                                    ,F                                  ,                               ,R.4%                                    ,C12.0%                                ,                    ,                              ,C8.5%                  ,C                            ,C                                ,C                      ,F                ,F                      ,                     ,                   ,C                      ,F                      ,A                    ,                             ,                       ,                                ,                        ,                         ,                     ,                  ,                     ,R                        ,F                   ,                    ,R                  ,                 ,                           ,F                            ,                                 ,                          ,F                         ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X, 4,  40.00,    297.7000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,R                ,R                 ,                                     ,F                                  ,                               ,R.7%                                    ,C9.9%                                 ,                    ,R.7%                          ,                       ,F                            ,A                                ,A                      ,C                ,F                      ,R.3%                 ,                   ,C                      ,C                      ,A                    ,                             ,                       ,                                ,R                       ,                         ,                     ,R                 ,                     ,R                        ,R                   ,R                   ,F                  ,                 ,                           ,F                            ,R                                ,                          ,F                         ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X, 4, 116.00,    298.4600,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F1.2%                         ,F                ,F                 ,R                                    ,F                                  ,                               ,R.6%                                    ,A23.3%                                ,R                   ,F1.5%                         ,                       ,R                            ,C                                ,A                      ,C                ,R                      ,R.9%                 ,                   ,C                      ,C                      ,C                    ,                             ,                       ,F.3%                            ,                        ,                         ,                     ,                  ,R                    ,F                        ,R                   ,                    ,                   ,                 ,                           ,                             ,R                                ,                          ,                          ,                         ,                   ,R                ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X, 5,  41.00,    299.2100,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.5%                          ,                 ,F                 ,R                                    ,C                                  ,                               ,                                        ,A16.4%                                ,                    ,R.3%                          ,                       ,F                            ,C                                ,A                      ,F                ,F                      ,F1.6%                ,                   ,F                      ,C                      ,C                    ,R                            ,                       ,                                ,R                       ,                         ,F                    ,                  ,F                    ,                         ,                    ,R                   ,R                  ,                 ,                           ,F                            ,R                                ,                          ,R                         ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
