Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassionema nitzschioides,Stephanopyxis spp.,Stephanopyxis dimorpha,Proboscia barboi,Neodenticula seminae,Neodenticula koizumii,Coscinodiscus marginatus,Actinocyclus oculatus,Fragilariopsis doliolus,Actinoptychus senarius,Actinocyclus curvatulus,Thalassiosira eccentrica,Hemidiscus cuneiformis,Fragilariopsis reinholdii,Proboscia curvirostris,Neodenticula kamtschatica,Thalassiosira oestrupii,Thalassiosira leptopus,Thalassiosira antiqua,Delphineis surirella,Thalassiosira nordenskioeldii,Delphineis angustata,Rhizosolenia hebetata,Pyxidicula horridus,Rhizosolenia styliformis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B,  1,H,CC,  34.00,      9.0500,Watanabe ,Diatoms                                      ,F              ,P                 ,R                          ,T                 ,R                     ,                ,T                   ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B,  3,H,CC,  40.00,     25.8600,Watanabe ,Diatoms                                      ,C              ,M                 ,R                          ,R                 ,F                     ,                ,R                   ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,T                   ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B,  4,H,CC,  59.00,     37.6700,Watanabe ,Diatoms                                      ,F              ,M                 ,F                          ,F                 ,F                     ,                ,T                   ,                     ,F                       ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B,  5,H,CC,  55.00,     46.4200,Watanabe ,Diatoms                                      ,F              ,P                 ,R                          ,R                 ,F                     ,                ,R                   ,                     ,                        ,                     ,                       ,T                     ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B,  6,H,CC,  37.00,     55.7500,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,F                 ,R                     ,                ,R                   ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
