Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globigerina quinqueloba,Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C,  1,H,CC,  82.00,    123.7200,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,+                                      ,                                     ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C,  4,X,CC,  32.00,    212.1800,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,+                                      ,                                     ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C,  8,X,CC,  32.00,    270.6800,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,R                                      ,R                                    ,R                      ,R                    ,       
,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 24,X,CC,  26.00,    418.7000,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,+                                      ,                                     ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 26,X,CC,  14.00,    436.7700,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,+                                      ,                                     ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 32,X,CC,  38.00,    501.7900,Osterman ,Planktonic Foraminifers                      ,R              ,P                 ,+                                      ,                                     ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 34,X,CC,  66.00,    521.3400,Osterman ,Planktonic Foraminifers                      ,F              ,G                 ,+                                      ,                                     ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 35,X,CC,  21.00,    527.4700,Osterman ,Planktonic Foraminifers                      ,R              ,P                 ,30                                     ,                                     ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,
