Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira torokina,Thalassiosira inura,Actinocyclus karstenii,Thalassiosira oliverana var. sparsa,Thalassiosira oliverana,Thalassiosira oestrupii,Simonseniella barboi,Nitzschia praecurta,Nitzschia aurica,Thalassiosira complicata,Nitzschia praeinterfrigidaria,Nitzschia barronii,Nitzschia interfrigidaria,Actinocyclus ingens,Thalassiosira striata,Rouxia californica,Thalassiosira fasciculata,Azpeitia tabularis,Thalassiosira lentiginosa,Thalassiosira vulnifica,Thalassiosira kolbei,Thalassiosira insigna,Nitzschia ritscherii,Thalassiosira ritscherii,Eucampia antarctica,Paralia sulcata,Odontella aurita,Denticulopsis simonsenii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C,  2,H,CC,  31.00,    177.0100,Winter   ,Diatoms                                      ,T              ,P                 ,+                     ,                   ,                      ,                                   ,                       ,                       ,                    ,                   ,                ,                        ,                             ,                  ,                         ,                   ,                     ,                  ,                         ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,r                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Late Pliocene    ,                  ,              ,178,1096,C,  3,X,CC,  31.00,    202.5100,Winter   ,Diatoms                                      ,F              ,P                 ,F                     ,T                  ,T                     ,                                   ,T                      ,                       ,                    ,                   ,                ,                        ,                             ,                  ,                         ,                   ,T                    ,                  ,                         ,                  ,                         ,T                      ,                    ,                     ,                    ,                        ,R                  ,T              ,                ,                        ,>20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C,  4,X,CC,  32.00,    212.1800,Winter   ,Diatoms                                      ,R              ,P                 ,                      ,                   ,                      ,                                   ,R                      ,                       ,                    ,                   ,                ,R                       ,                             ,                  ,                         ,                   ,T                    ,                  ,T                        ,                  ,                         ,T                      ,                    ,                     ,                    ,                        ,                   ,R              ,T               ,T                       ,>20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,              ,178,1096,C,  5,X,CC,  22.00,    219.6100,Winter   ,Diatoms                                      ,R              ,M                 ,T                     ,T                  ,                      ,                                   ,T                      ,T                      ,                    ,                   ,                ,                        ,                             ,T                 ,T                        ,                   ,                     ,                  ,T                        ,                  ,                         ,T                      ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
