Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spiroclypeus sp.	Operculina sp.	Nephrolepidina unspecified taxon or taxa	Miogypsina sp.	Sherbornina sp.	Gypsina globulus	Eulepidina sp.	Acervulinid taxa	Cycloclypeus sp.	Austrotrillina striata	Comment



  SR	Middle Miocene   	Late Miocene     	                  	              	133	 823	C	 12	R	 6	  90.00	    898.5000	Betzler  	Benthic Foraminifers                         	               	                  	                	              	+                                       	+             	               	                	              	                	+               	                      	from ODP 133 SR Chapter 4 Table 2 p 57

  SR	Middle Miocene   	Late Miocene     	                  	              	133	 823	C	 12	R	 6	 103.00	    898.6300	Betzler  	Benthic Foraminifers                         	               	                  	                	              	+                                       	              	               	                	              	                	                	                      	from ODP 133 SR Chapter 4 Table 2 p 57

  SR	Middle Miocene   	Late Miocene     	                  	              	133	 823	C	 13	R	 2	  13.00	    900.8200	Betzler  	Benthic Foraminifers                         	               	                  	                	              	+                                       	+             	               	                	              	                	+               	+                     	from ODP 133 SR Chapter 4 Table 2 p 57

  SR	Middle Miocene   	Late Miocene     	                  	              	133	 823	C	 13	R	 3	 140.00	    903.5900	Betzler  	Benthic Foraminifers                         	               	                  	                	              	+                                       	+             	               	                	              	                	                	                      	from ODP 133 SR Chapter 4 Table 2 p 57

  SR	Middle Miocene   	Late Miocene     	                  	              	133	 823	C	 13	R	 4	  27.00	    903.9600	Betzler  	Benthic Foraminifers                         	               	                  	                	              	                                        	+             	               	                	              	                	+               	                      	from ODP 133 SR Chapter 4 Table 2 p 57

  SR	Middle Miocene   	Late Miocene     	                  	              	133	 823	C	 17	R	 4	  55.00	    943.4500	Betzler  	Benthic Foraminifers                         	               	                  	+               	              	                                        	              	+              	+               	+             	+               	                	                      	from ODP 133 SR Chapter 4 Table 2 p 57

  SR	Middle Miocene   	Late Miocene     	                  	              	133	 823	C	 18	R	 2	  97.00	    950.4700	Betzler  	Benthic Foraminifers                         	               	                  	                	              	+                                       	              	               	                	              	                	                	                      	from ODP 133 SR Chapter 4 Table 2 p 57

  SR	Middle Miocene   	Late Miocene     	                  	              	133	 823	C	 20	R	CC	   0.00	    976.4100	Betzler  	Benthic Foraminifers                         	               	                  	                	              	+                                       	              	               	                	              	                	                	                      	from ODP 133 SR Chapter 4 Table 2 p 57

  SR	Middle Miocene   	Late Miocene     	                  	              	133	 823	C	 23	R	 6	  14.00	   1003.5400	Betzler  	Benthic Foraminifers                         	               	                  	+               	+             	+                                       	+             	               	                	              	                	                	                      	from ODP 133 SR Chapter 4 Table 2 p 57

