Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygabikodinium lenticulatum	Xandarodinium xanthum	Tuberculodinium vancampoae	Trinovantedinium capitatum	Tectatodinium sp. II	Tectatodinium sp. I	Tectatodinium pellitum	Stelladinium reidii	Spiniferites spp.	Spiniferites scabratus	Spiniferites elongatus	Spiniferites bentorii	Selenopemphix quanta	Selenopemphix nephroides	Quinquecuspis spp.	Polysphaeridium zoharyi	Peridinium faeroense	Pediastrum sp.	Operculodinium israelianum	Operculodinium centrocarpum	Nematosphaeropsis lemniscata	Nematosphaeropsis labyrinthea	Multispinula minuta	Lingulodinium machaerophorum	Impagidinium spp.	Impagidinium sphaericum	Impagidinium multiplexum	Filisphaera filifera	Cordosphaeridium sp. 1	Brigantedinium sp. group. H	Brigantedinium sp. group B	Brigantedinium simplex	Bitectatodinium tepikiense	Ataxiodinium choanum	Achomosphaera ramulifera	Achomosphaera andalousiensis	Comment
  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	 10	H	 2	  86.00	     82.9600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	C                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	C                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	R                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	A                          	-                         	-                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	 10	H	 3	  86.00	     84.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	C                          	-                    	-                         	-                         	-                   	-                  	R                     	-                  	R                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	-                          	-                           	-                            	-                  	-                           	R                	R                      	-                       	-                   	-                     	C                          	-                         	R                     	C                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	 10	H	 4	  86.00	     85.9600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                          	-                    	-                         	-                         	R                   	-                  	-                     	R                  	-                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	C                   	-             	-                         	C                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	R                          	-                         	R                     	C                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	 10	H	 5	  86.00	     87.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                          	-                    	-                         	-                         	R                   	-                  	-                     	R                  	R                	R                     	R                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	A                          	-                           	R                            	R                  	-                           	R                	-                      	-                       	-                   	R                     	R                          	-                         	R                     	R                         	-                   	-                       	R                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	                 	                 	                  	              	104	 644	B	 11	H	 1	  86.00	     90.9600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	B              	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	-                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	-                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	-                          	-                         	-                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM2 (Mudie1989)   	              	104	 644	B	 11	H	 2	  86.00	     92.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	C                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	R                         	-                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	C                          	-                         	-                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM2 (Mudie1989)   	              	104	 644	B	 11	H	 3	  86.00	     93.9600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	R                	-                     	R                     	-                    	-                   	-                       	-                 	-                      	R                   	-             	R                         	C                          	R                           	R                            	-                  	-                           	R                	-                      	-                       	-                   	-                     	R                          	-                         	-                     	C                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM2 (Mudie1989)   	              	104	 644	B	 12	H	 1	  86.00	     96.7600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	A                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	-                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	A                          	-                         	-                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM2 (Mudie1989)   	              	104	 644	B	 13	H	 2	  86.00	    107.0800	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	R                   	-                  	-                     	-                  	C                	-                     	-                     	-                    	-                   	-                       	R                 	-                      	-                   	-             	-                         	R                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	C                          	R                         	-                     	C                         	-                   	-                       	R                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM2 (Mudie1989)   	              	104	 644	B	 13	H	 3	  86.00	    108.0700	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	C                	-                     	R                     	R                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	C                          	R                           	R                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	R                          	-                         	-                     	C                         	-                   	-                       	R                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM2 (Mudie1989)   	              	104	 644	B	 13	H	 4	  86.00	    109.5700	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	R                     	-                  	C                	-                     	R                     	-                    	-                   	R                       	-                 	-                      	-                   	-             	-                         	R                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	C                          	-                         	-                     	-                         	-                   	-                       	-                           	Black spores = C; from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM2 (Mudie1989)   	              	104	 644	B	 13	H	 5	  86.00	    111.0700	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	R                  	C                	-                     	R                     	-                    	-                   	R                       	-                 	R                      	-                   	-             	-                         	C                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	R                          	-                         	-                     	C                         	-                   	-                       	R                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	                 	                 	                  	              	104	 644	B	 14	H	 1	  86.00	    112.2600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	B              	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	-                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	-                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	-                          	-                         	-                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM2 (Mudie1989)   	              	104	 644	B	 14	H	 2	  86.00	    113.7600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	C                	C                     	C                     	-                    	-                   	-                       	C                 	-                      	-                   	R             	-                         	C                          	-                           	-                            	-                  	C                           	-                	-                      	-                       	-                   	-                     	C                          	-                         	-                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM2 (Mudie1989)   	              	104	 644	B	 14	H	 3	  86.00	    115.2600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	R                         	-                         	-                   	-                  	-                     	-                  	C                	-                     	R                     	-                    	-                   	R                       	R                 	-                      	R                   	-             	-                         	C                          	-                           	R                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	R                          	-                         	-                     	C                         	-                   	R                       	R                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM2 (Mudie1989)   	              	104	 644	B	 14	H	 4	  86.00	    116.7600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	R                   	R                  	-                     	-                  	C                	R                     	R                     	-                    	-                   	R                       	R                 	-                      	-                   	-             	-                         	R                          	R                           	-                            	-                  	-                           	R                	-                      	R                       	-                   	-                     	R                          	R                         	-                     	C                         	-                   	-                       	R                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM2 (Mudie1989)   	              	104	 644	B	 14	H	 5	  86.00	    118.2600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	R                    	R                         	-                         	R                   	R                  	-                     	-                  	C                	R                     	-                     	-                    	-                   	C                       	-                 	-                      	C                   	-             	-                         	R                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	R                          	R                         	-                     	C                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM2 (Mudie1989)   	              	104	 644	B	 15	H	 1	  86.00	    120.0600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	R                   	R                  	-                     	-                  	C                	R                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	R                          	-                           	-                            	-                  	-                           	R                	-                      	-                       	-                   	-                     	C                          	R                         	-                     	C                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM2 (Mudie1989)   	              	104	 644	B	 15	H	 2	  86.00	    121.5600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	R                   	C                  	-                     	-                  	R                	C                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	-                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	R                          	R                         	-                     	C                         	-                   	-                       	R                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM2 (Mudie1989)   	              	104	 644	B	 15	H	 3	  86.00	    123.0600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	C                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	C                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	R                   	-                     	R                          	-                         	-                     	C                         	-                   	R                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM2 (Mudie1989)   	              	104	 644	B	 15	H	 4	  86.00	    124.5600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	C                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	-                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	-                          	A                         	-                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM2 (Mudie1989)   	              	104	 644	B	 15	H	 5	  86.00	    126.0600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	R                  	-                     	-                  	C                	-                     	-                     	-                    	-                   	C                       	R                 	-                      	-                   	-             	-                         	R                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	C                          	R                         	-                     	R                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

