Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygabikodinium lenticulatum	Xandarodinium xanthum	Tuberculodinium vancampoae	Trinovantedinium capitatum	Tectatodinium sp. II	Tectatodinium sp. I	Tectatodinium pellitum	Stelladinium reidii	Spiniferites spp.	Spiniferites scabratus	Spiniferites elongatus	Spiniferites bentorii	Selenopemphix quanta	Selenopemphix nephroides	Quinquecuspis spp.	Polysphaeridium zoharyi	Peridinium faeroense	Pediastrum sp.	Operculodinium israelianum	Operculodinium centrocarpum	Nematosphaeropsis lemniscata	Nematosphaeropsis labyrinthea	Multispinula minuta	Lingulodinium machaerophorum	Impagidinium spp.	Impagidinium sphaericum	Impagidinium multiplexum	Filisphaera filifera	Cordosphaeridium sp. 1	Brigantedinium sp. group. H	Brigantedinium sp. group B	Brigantedinium simplex	Bitectatodinium tepikiense	Ataxiodinium choanum	Achomosphaera ramulifera	Achomosphaera andalousiensis	Comment
  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  3	H	 2	  86.00	     16.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	C                	-                     	R                     	C                    	-                   	-                       	-                 	-                      	R                   	A             	-                         	C                          	-                           	-                            	C                  	-                           	-                	-                      	-                       	-                   	-                     	-                          	-                         	-                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  3	H	 3	  86.00	     17.9600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	A                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	R             	-                         	-                          	-                           	-                            	C                  	-                           	-                	-                      	-                       	-                   	-                     	-                          	-                         	-                     	C                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  3	H	 4	  86.00	     19.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	C                	-                     	C                     	-                    	-                   	-                       	-                 	-                      	R                   	R             	-                         	C                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	-                          	-                         	-                     	C                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  3	H	 5	  86.00	     20.9600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	-                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	R                   	-             	-                         	C                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	R                          	-                         	-                     	A                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  3	H	 6	  86.00	     22.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	C                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	R                   	-             	-                         	C                          	-                           	C                            	-                  	-                           	R                	-                      	R                       	-                   	-                     	R                          	R                         	R                     	C                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  4	H	 1	  86.00	     24.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	R                	-                     	-                     	-                    	-                   	R                       	-                 	-                      	-                   	-             	-                         	A                          	-                           	R                            	-                  	-                           	R                	-                      	-                       	-                   	-                     	R                          	-                         	R                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  4	H	 2	  86.00	     25.9600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	R                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	C                          	-                           	-                            	R                  	-                           	-                	-                      	-                       	-                   	-                     	C                          	-                         	C                     	R                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

