Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra spp. small	Coccolithus pelagicus	Calcidiscus leptoporus	Pseudoemiliania lacunosa	Pontosphaera sp.	Pontosphaera pacifica	Helicosphaera carteri	Gephyrocapsa sp. (small)	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Braarudosphaera bigelowii	Emiliania huxleyi	Coccolithus sp.	Comment



  SR	Quaternary       	                 	CN15              	              	127	 796	A	  3	H	 3	  40.00	     16.1000	Rahman   	Nannofossils                                 	A              	G                 	A                          	                     	                      	                        	                	                     	                     	M                       	                     	R                        	M                        	A                	R              	from ODP Legs 127&128 SR Chapter 11 Table 4 p 175

  SR	Quaternary       	                 	CN14a             	CN14b         	127	 796	A	  3	H	CC	   8.00	     22.1800	Rahman   	Nannofossils                                 	M              	M                 	M                          	                     	                      	                        	                	                     	                     	R                       	                     	                         	R                        	                 	               	from ODP Legs 127&128 SR Chapter 11 Table 4 p 175

  SR	Quaternary       	                 	CN14a             	CN14b         	127	 796	A	  5	H	 4	  94.00	     37.1400	Rahman   	Nannofossils                                 	F              	P                 	                           	F                    	                      	                        	                	                     	                     	                        	                     	R                        	                         	                 	               	from ODP Legs 127&128 SR Chapter 11 Table 4 p 175

  SR	Quaternary       	                 	CN14a             	CN14b         	127	 796	A	  5	H	 5	  57.00	     38.2700	Rahman   	Nannofossils                                 	F              	P                 	                           	F                    	                      	                        	                	                     	                     	                        	                     	                         	                         	                 	               	from ODP Legs 127&128 SR Chapter 11 Table 4 p 175

  SR	Quaternary       	                 	CN14a             	CN14b         	127	 796	A	  5	H	 6	  33.00	     39.5300	Rahman   	Nannofossils                                 	R              	P                 	                           	R                    	                      	                        	                	                     	                     	                        	                     	                         	                         	                 	               	from ODP Legs 127&128 SR Chapter 11 Table 4 p 175

  SR	Quaternary       	                 	CN14a             	CN14b         	127	 796	A	  5	H	 7	  81.00	     41.5100	Rahman   	Nannofossils                                 	F              	P                 	R                          	F                    	                      	                        	                	                     	                     	                        	                     	                         	                         	                 	               	from ODP Legs 127&128 SR Chapter 11 Table 4 p 175

  SR	Quaternary       	                 	CN14a             	CN14b         	127	 796	A	  6	H	CC	  43.00	     53.0800	Rahman   	Nannofossils                                 	C              	M                 	F                          	C                    	M                     	R                       	R               	R                    	R                    	F                       	R                    	M                        	R                        	                 	               	from ODP Legs 127&128 SR Chapter 11 Table 4 p 175

  SR	                 	                 	                  	              	127	 796	A	  9	X	CC	  18.00	     63.3600	Rahman   	Nannofossils                                 	M              	M                 	R                          	M                    	R                     	                        	                	                     	                     	                        	                     	                         	                         	                 	               	from ODP Legs 127&128 SR Chapter 11 Table 4 p 175

