Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira zabellinae	Thalassiosira marujamica	Thalassionema nitzschioides	Stephanopyxis turris	Stephanopyxis spp.	Rouxia californica	Rhizosolenia styliformis	Rhizosolenia hebetata	Rhizosolenia barboi	Paralia sulcata	Nitzschia sp. 1	Neodenticula kamtschatica	Grammatophora spp.	Denticulopsis hustedtii	Denticulopsis dimorpha	Delphineis simonsenii	Coscinodiscus oculus-iridis	Coscinodiscus marginatus	Cocconeis scutellum	Cocconeis pseudomarginatus	Cocconeis disculus	Cocconeis costata	Cocconeis californica	Chaetoceros spp.	Amphora ovalis	Actinoptychus senarius	Actinocyclus octonarius	Thalassiosira sp. 1	Thalassiosira jacksonii	Thalassiosira eccentrica	Thalassiosira antiqua	Roperia tesselata	Rhabdonema japonicum	Plagiogramma staurophorum	Odontella aurita	Navicula pygmaea	Mediaria splendida	Goniothecium tenue	Denticulopsis hyalina	Delphineis surirella	Cymatosira debyi	Coscinodiscus symbolophorus	Coscinodiscus obscurus	Coscinodiscus elegans	Rhizosolenia alata	Diploneis smithii	Diploneis bombus	Charcotia actinochilus	Azpeitia endoi	Aulacoseira granulata	Actinocyclus ingens	Trachyneis aspera	Thalassiosira trifulta	Thalassiosira hyalina	Rhizosolenia setigera	Nitzschia rolandii	Delphineis angustata	Thalassiosira sp. g	Thalassiosira oestrupii	Thalassiosira leptopus	Thalassiosira gravida	Thalassionema bacillaris	Melosira albicans	Coscinodiscus stellaris	Cocconeis placentula var. euglypta	Thalassiothrix frauenfeldii	Thalassiosira nidulus	Thalassiosira lineata	Delphineis ischaboensis	Stephanodiscus astraea	Cocconeis decipiens	Actinocyclus curvatulus	Cocconeis vitrea	Azpeitia nodulifer	Achnanthes groenlandica	Thalassionema hirosakiensis	Campyloneis grevillei	Asteromphalus flabellatus	Rossiella tatsunokuchiensis	Cyclotella kutzingiana	Coscinodiscus radiatus	Actinocyclus oculatus	Thalassiosira nordenskioeldii	Rhaphoneis amphiceros	Opephora martyi	Nitzschia reinholdii	Actinocyclus ochotensis	Nitzschia cylindrica	Hemidiscus cuneiformis	Bacterosira fragilis	Delphineis margalitalimbata	Thalassiosira pacifica	Thalassiosira burckliana	Nitzschia fossilis	Bacillaria paradoxa	Thalassiosira convexa	Synedra jouseana	Neodenticula koizumii	Nitzschia grunowii	Neodenticula seminae	Thalassiosira temperei	Pseudopodosira elegans	Porosira glacialis	Nitzschia granulata	Navicula mutica	Cyclotella comta	Cyclotella chaetoceras	Tetracyclus lacustris	Rhizosolenia curvirostris	Pseudosolenia calcar-avis	Pseudoeunotia doliolus	Nitzschia sicula	Nitzschia marina	Fragilaria construens	Cyclotella striata	Coscinodiscus subtilis	Pinnularia borealis	Diploneis ovalis	Diploneis oculata	Delphineis kippae	Pinnularia molaris	Denticulopsis lauta	Rhopalodia gibberula	Gomphonema spp.	Gomphonema angustatum	Fragilaria pinnata	Diploneis suborbicularis	Comment



  SR	Late Pliocene    	Quaternary       	NPD 12            	              	127	 796	A	  1	H	 1	  13.00	      0.1300	Koizumi  	Diatoms                                      	               	                  	                         	                        	                        	4                          	12                  	1                 	r1                	1                       	                     	                   	1              	               	11                       	                  	r1                     	                      	                     	1                          	5                       	                   	                          	                  	                 	                     	11              	              	1                     	                       	                   	                       	                        	                     	                 	                    	                         	                	                	                  	                  	                     	                    	                	                           	                      	                     	                  	                 	                	                      	              	1                    	                   	                 	                      	                     	                     	                  	                    	                   	1                      	                      	                     	                        	1                	                       	                                  	                           	                     	                     	                       	                      	                   	                       	                	                  	                       	                           	                     	                         	                           	                      	                      	r1                   	                             	                     	               	                    	                       	                    	                      	                    	                           	1                     	                        	                  	                   	                     	                	1                    	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Late Pliocene    	Quaternary       	NPD 12            	              	127	 796	A	  2	H	 2	 110.00	      5.8000	Koizumi  	Diatoms                                      	               	                  	1                        	r1                      	                        	36                         	27                  	16                	                  	3                       	20                   	1                  	               	               	12                       	1                 	r2                     	                      	                     	                           	7                       	4                  	1                         	                  	5                	1                    	85              	              	2                     	1                      	                   	                       	                        	r1                   	                 	                    	                         	                	                	                  	                  	r2                   	3                   	                	                           	2                     	                     	                  	1                	                	                      	              	1                    	r1                 	                 	18                    	                     	                     	                  	                    	                   	3                      	                      	2                    	                        	1                	1                      	                                  	                           	r1                   	1                    	                       	1                     	                   	2                      	                	1                 	                       	                           	                     	                         	                           	                      	                      	                     	                             	                     	               	                    	1                      	                    	                      	                    	                           	1                     	                        	                  	                   	                     	                	                     	                  	1                   	                      	                      	1                 	                   	               	                	1                     	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	2                   	1              	1                    	1                 	1                       	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Late Pliocene    	Quaternary       	NPD 12            	              	127	 796	A	  2	H	 6	 110.00	     11.8000	Koizumi  	Diatoms                                      	               	                  	                         	r2                      	                        	6                          	11                  	3                 	                  	1                       	1                    	                   	7              	               	r5                       	                  	r1                     	r1                    	                     	                           	4                       	                   	                          	                  	                 	                     	19              	              	1                     	                       	                   	                       	                        	r1                   	                 	                    	                         	                	                	                  	r1                	                     	                    	                	                           	                      	                     	                  	                 	                	                      	r1            	1                    	                   	                 	1                     	                     	                     	                  	                    	                   	                       	                      	                     	                        	                 	                       	                                  	                           	                     	                     	                       	1                     	1                  	                       	                	                  	                       	                           	                     	                         	                           	                      	                      	                     	                             	                     	               	                    	                       	                    	                      	                    	                           	                      	                        	                  	                   	                     	                	                     	                  	r2                  	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	1                  	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Late Pliocene    	Quaternary       	N. koizumii       	R. curvirostris	127	 796	A	  3	H	 3	  74.00	     16.4400	Koizumi  	Diatoms                                      	               	                  	4                        	                        	                        	13                         	73                  	19                	                  	1                       	1                    	4                  	               	               	r2                       	1                 	r1                     	                      	                     	1                          	8                       	                   	                          	                  	1                	                     	215             	              	1                     	6                      	                   	                       	                        	                     	                 	                    	                         	                	2               	                  	                  	                     	1                   	                	                           	                      	                     	                  	                 	3               	                      	              	1                    	                   	                 	10                    	                     	                     	                  	                    	                   	4                      	                      	1                    	                        	                 	                       	                                  	                           	                     	                     	                       	                      	                   	4                      	1               	                  	                       	                           	                     	                         	                           	                      	                      	r1                   	                             	                     	               	                    	1                      	                    	                      	                    	                           	                      	                        	                  	                   	                     	                	                     	                  	1                   	                      	                      	                  	                   	               	1               	                      	                     	31                       	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275
