Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus spp.	Scyphosphaera spp.	Reticulofenestra spp.	Reticulofenestra pseudoumbilica	Pontosphaera spp.	Placolith (small)	Helicosphaera carteri	Discoaster variabilis	Discoaster spp.	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster brouweri	Coccolithus pelagicus	Calcidiscus leptoporus	Amaurolithus primus	Amaurolithus delicatus	Rhabdosphaera clavigera	Helicosphaera spp.	Hayaster perplexus	Discoaster surculus	Triquetrorhabdulus rugosus	Oolithotus fragilis	Amaurolithus spp.	Amaurolithus delicatus/primus intergrade	Discoaster sp. aff. D. pentaradiatus	Ceratolithus armatus	Ceratolithus acutus	Amaurolithus tricorniculatus	Helicosphaera sp. aff. H. intermedia	Helicosphaera sellii	Discoaster pansus	Calcidiscus macintyrei	Amaurolithus ninae	Discoaster intercalaris	Discoaster challengeri	Minylitha convallis	Discoaster exilis	Discoaster archipelagoensis	Dictyococcites spp. (<4 microns)	Dictyococcites spp.	Ceratolithus rugosus	Discoaster tamalis	Discoaster blackstockae	Discoaster asymmetricus	Calcidiscus sp. A	Amaurolithus bizarrus	Pseudoemiliania lacunosa	Emiliania ovata	Umbellosphaera irregularis	Discoaster triradiatus	Discoaster dilatus	Discoaster quadramus	Triquetrorhabdulus farnsworthii	Gephyrocapsids (small with bars)	Comment



  SR	Late Pliocene    	                 	CN12c             	              	135	 840	C	  1	H	 2	 105.00	     40.5500	Quinterno	Nannofossils                                 	C              	P                 	F                	                  	C                    	                               	                 	F                	R                    	                     	R              	                       	R                       	R                  	F                    	R                     	                   	                      	                       	R                 	                  	                   	                          	                   	                 	                                        	                                    	                    	                   	                            	                                    	                    	                 	R                     	                  	                       	                      	                   	                 	                           	                                	                   	                    	                  	                       	                       	                 	                     	                        	F              	                          	                      	                  	                    	rR                             	R                               	uncertain identity of Small gephyrocapsids (with bars); from ODP Leg 135 Chapter 17 Table 4 p 274-275 & Table 7 p 289

  SR	Late Pliocene    	                 	CN12c             	              	135	 840	C	  1	H	CC	  14.00	     42.8900	Quinterno	Nannofossils                                 	A              	M                 	                 	                  	                     	                               	F                	A                	F                    	                     	               	                       	F                       	R                  	                     	R                     	                   	                      	                       	                  	                  	                   	                          	R                  	                 	                                        	R                                   	                    	                   	                            	                                    	R                   	                 	R                     	                  	                       	                      	                   	                 	                           	                                	                   	R                   	                  	                       	                       	                 	                     	C                       	C              	R                         	                      	                  	                    	                               	                                	from ODP Leg 135 Chapter 17 Table 4 p 274-275 & Table 7 p 282

  SR	Late Pliocene    	                 	CN12aC            	              	135	 840	C	  3	H	 1	  28.00	     57.2800	Quinterno	Nannofossils                                 	V              	G                 	                 	F                 	                     	                               	F                	V                	C                    	                     	C              	                       	A                       	C                  	                     	A                     	                   	                      	C                      	                  	C                 	C                  	                          	C                  	                 	                                        	C                                   	                    	                   	                            	                                    	C                   	                 	C                     	                  	                       	                      	                   	                 	                           	                                	                   	F                   	C                 	                       	F                      	                 	                     	A                       	A              	                          	                      	                  	R                   	                               	                                	uncertain identity of Helicosphaera selli; from ODP Leg 135 Chapter 17 Table 4 p 274-275 & Table 7 p 285

  SR	Late Pliocene    	                 	CN12aC            	              	135	 840	C	  3	H	CC	  14.00	     64.7900	Quinterno	Nannofossils                                 	A              	M                 	                 	F                 	C                    	                               	C                	A                	                     	                     	               	                       	C                       	C                  	                     	C                     	                   	                      	                       	A                 	                  	C                  	                          	C                  	                 	                                        	R                                   	                    	                   	                            	                                    	R                   	                 	C                     	                  	                       	                      	                   	                 	                           	                                	                   	                    	F                 	                       	F                      	                 	                     	C                       	C              	                          	                      	                  	                    	                               	                                	from ODP Leg 135 Chapter 17 Table 4 p 274-275 & Table 7 p 286
