Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sponge spicules,Coscinodiscus marginatus,Denticulopsis lauta,Actinocyclus ingens  var. nodus,Thalassiosira spp. (native type),Synedra jouseana,Denticulopsis hustedtii,Denticulopsis dimorpha,Coscinodiscus nodulifer,Thalassionema nitzschioides,Denticulopsis lauta s.l.,Actinocyclus ingens,Denticulopsis hyalina,Thalassiothrix longissima,Thalassiosira cf. T. leptopus,Thalassionema nitzschioides  var. parva,Paralia sulcata,Hemidiscus cuneiformis,Coscinodiscus sp.,Actinocyclus tsugaruensis,Neodenticula cf. N. seminae,Actinocyclus oculatus,Denticulopsis praedimorpha,Thalassiosira yabei,Thalassionema hirosakiensis,Rhizosolenia barboi,Thalassionema schraderi,Thalassiothrix spp.,Synedra sp.,Hemiaulus polymorphus,Neodenticula koizumii,Thalassiosira convexa,Denticulopsis praelauta,Stephanopyxis turris,Nitzschia rolandii,Actinoptychus senarius,Thalassiosira oestrupii,Neodenticula kamtschatica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,A,  1,H,CC,   8.00,      3.0800,Maruyama ,Diatoms                                      ,T              ,P                 ,C              ,+                       ,                   ,                               ,                                ,                ,                       ,                      ,                       ,+                          ,                        ,+                  ,                     ,                         ,                             ,                                       ,               ,                      ,                 ,                         ,                           ,+                    ,                          ,                   ,                           ,                   ,                       ,                   ,           ,                     ,                     ,+                    ,                       ,                    ,                  ,                      ,+                      ,+                        ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,A,  2,H,CC,  20.00,     13.1200,Maruyama ,Diatoms                                      ,T              ,P                 ,F              ,                        ,+                  ,                               ,                                ,                ,                       ,                      ,                       ,+                          ,                        ,                   ,                     ,                         ,                             ,                                       ,               ,                      ,                 ,                         ,                           ,                     ,                          ,                   ,                           ,                   ,                       ,                   ,+          ,                     ,                     ,                     ,                       ,                    ,                  ,                      ,                       ,                         ,trace diatom fragments.from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,A,  3,H,CC,  20.00,     22.2900,Maruyama ,Diatoms                                      ,T              ,P                 ,C              ,+                       ,+                  ,                               ,                                ,+               ,                       ,                      ,                       ,+                          ,                        ,+                  ,                     ,                         ,                             ,                                       ,               ,                      ,                 ,                         ,                           ,                     ,                          ,                   ,                           ,                   ,                       ,                   ,           ,                     ,                     ,                     ,                       ,                    ,                  ,                      ,                       ,                         ,rare diatom fragments. from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,A,  4,H,CC,  20.00,     31.9400,Maruyama ,Diatoms                                      ,T              ,P                 ,C              ,                        ,                   ,                               ,                                ,                ,                       ,                      ,                       ,                           ,                        ,+                  ,                     ,                         ,                             ,                                       ,               ,                      ,+                ,                         ,                           ,                     ,                          ,                   ,                           ,                   ,                       ,                   ,           ,                     ,                     ,                     ,                       ,                    ,                  ,                      ,                       ,                         ,from IR. Ch 8. Tables 6+7.
