Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus abies,Discoaster variabilis,Dictyococcites scrippsae,Cyclicargolithus abisectus,Coccolithus pelagicus,Umbilicosphaera sibogae,Helicosphaera euphratis,Discoaster challengeri,Dictyococcites bisectus,Calcidiscus macintyrei,Syracosphaera pulchra,Scyphosphaera spp.,Rhabdosphaera clavigera,Reticulofenestra pseudoumbilicus,Helicosphaera kamptneri,Discoaster prepentaradiatus,Dictyococcites antarcticus,Pseudoemiliania lacunosa,Helicosphaera sellii,Gephyrocapsa aperta,Calcidiscus leptoporus,Braarudosphaera bigelowii,Scapholithus fossilis,Reticulofenestra minutula,Oolithotus fragilis,Gephyrocapsa caribbeanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,NN20              ,NN21          ,182,1133,C,  1,H,CC,  10.00,      5.7100,Ladner   ,Nannofossils                                 ,A              ,G                 ,                       ,                          ,                  ,                     ,                        ,                          ,F                    ,F                      ,                       ,                      ,                       ,                      ,C                    ,                  ,C                      ,                                ,F                      ,                           ,                          ,                        ,                    ,                   ,                      ,                         ,R                    ,A                        ,F                  ,A                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,NN19          ,182,1133,C,  2,H,CC,  11.00,     15.1600,Ladner   ,Nannofossils                                 ,A              ,G                 ,                       ,                          ,                  ,                     ,                        ,                          ,                     ,                       ,                       ,                      ,                       ,F                     ,C                    ,F                 ,C                      ,                                ,C                      ,                           ,                          ,F                       ,F                   ,A                  ,C                     ,F                        ,                     ,                         ,                   ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,NN14              ,NN15          ,182,1133,C,  3,H,CC,  20.00,     23.4800,Ladner   ,Nannofossils                                 ,A              ,M                 ,                       ,                          ,C                 ,C                    ,                        ,                          ,F                    ,                       ,                       ,F                     ,                       ,C                     ,F                    ,F                 ,F                      ,F                               ,F                      ,F                          ,A                         ,                        ,                    ,                   ,                      ,                         ,                     ,                         ,                   ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Miocene          ,                  ,              ,182,1133,C,  4,H,CC,  17.00,     34.6000,Ladner   ,Nannofossils                                 ,C              ,P                 ,                       ,                          ,F                 ,R                    ,                        ,                          ,F                    ,                       ,                       ,                      ,                       ,                      ,                     ,                  ,                       ,                                ,                       ,                           ,                          ,                        ,                    ,                   ,                      ,                         ,                     ,                         ,                   ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Miocene          ,                  ,              ,182,1133,C,  5,H,CC,   4.00,     34.3400,Ladner   ,Nannofossils                                 ,C              ,P                 ,F                      ,                          ,C                 ,R                    ,                        ,                          ,F                    ,C                      ,R                      ,R                     ,F                      ,F                     ,                     ,                  ,                       ,                                ,                       ,                           ,                          ,                        ,                    ,                   ,                      ,                         ,                     ,                         ,                   ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Early Miocene    ,NN4               ,NN5           ,182,1133,C,  6,H,CC,  12.00,     47.7700,Ladner   ,Nannofossils                                 ,C              ,P                 ,C                      ,R                         ,F                 ,F                    ,R                       ,F                         ,                     ,                       ,                       ,                      ,                       ,                      ,                     ,                  ,                       ,                                ,                       ,                           ,                          ,                        ,                    ,                   ,                      ,                         ,                     ,                         ,                   ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
