Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Holocryptocanium barbui	Archaeodictyomitra sp. A	Thanarla praeveneta	Thanarla elegantissima	Stichocapsa euganea	Solenotryma sp.	Sethocapsa sp.	Mita sp. A	Dictyomitra sp. B	Theocapsomma amphora	Thanarla pulchra	Theocorys renzae	Dictyomitra sp. A	Dictyomitra ? sp. cf. Eucyrtidium turritum	Archaeodictyomitra vulgaris	Archaeodictyomitra sp. B	Archaeodictyomitra riedeli	Amphipyndax sp.	Xitus sp.	Praeconocaryomma sp.	Pseudodictyomitra sp.	Novixitus sp.	Mita sp. cf. M. gracialis	Comment



  SR	Albian           	                 	                  	              	130	 807	C	 71	R	CC	   5.00	   1357.2900	Takahashi	Radiolarians                                 	F              	P                 	                       	                        	                   	                      	                   	               	              	          	                 	                    	                	                	                 	R                                         	                           	                        	                          	               	         	                    	R                    	R            	F                        	questionable age assignment.from 130SR.Chapter 7.Table 1.page 95.

  SR	Albian           	                 	                  	              	130	 807	C	 72	R	 1	   8.00	   1357.7800	Takahashi	Radiolarians                                 	R              	P                 	                       	                        	                   	                      	                   	               	              	          	                 	                    	                	                	                 	                                          	                           	                        	                          	               	         	R                   	                     	             	                         	questionable age assignment.from 130SR.Chapter 7.Table 1.page 95.

  SR	Albian           	                 	                  	              	130	 807	C	 72	R	 1	  89.00	   1358.5900	Takahashi	Radiolarians                                 	R              	P                 	                       	                        	                   	                      	                   	R              	              	          	                 	                    	                	                	                 	                                          	R                          	                        	                          	               	R        	R                   	                     	             	                         	questionable age assignment.from 130SR.Chapter 7.Table 1.page 95.

  SR	Albian           	                 	                  	              	130	 807	C	 72	R	 1	 144.00	   1359.1400	Takahashi	Radiolarians                                 	R              	P                 	                       	                        	                   	R                     	                   	               	              	          	                 	                    	R               	                	                 	                                          	                           	R                       	                          	R              	         	                    	                     	             	                         	questionable age assignment.from 130SR.Chapter 7.Table 1.page 95.

  SR	                 	                 	                  	              	130	 807	C	 72	R	 2	 121.00	   1360.4100	Takahashi	Radiolarians                                 	R              	P                 	                       	                        	R                  	                      	                   	               	              	          	                 	                    	                	R               	R                	R                                         	R                          	R                       	R                         	               	         	                    	                     	             	                         	from 130SR.Chapter 7.Table 1.page 95.

  SR	Aptian           	                 	                  	              	130	 807	C	 73	R	 1	  37.00	   1367.7700	Takahashi	Radiolarians                                 	A              	P                 	                       	                        	F                  	F                     	R                  	               	R             	          	                 	F                   	R               	                	                 	                                          	                           	                        	                          	               	         	                    	                     	             	                         	from 130SR.Chapter 7.Table 1.page 95.

  SR	Aptian           	                 	                  	              	130	 807	C	 73	R	 1	 100.00	   1368.4000	Takahashi	Radiolarians                                 	A              	P                 	F                      	R                       	F                  	R                     	F                  	R              	R             	R         	F                	                    	                	                	                 	                                          	                           	                        	                          	               	         	                    	                     	             	                         	from 130SR.Chapter 7.Table 1.page 95.

  SR	                 	                 	                  	              	130	 807	C	 74	R	 1	   0.00	   1375.4000	Takahashi	Radiolarians                                 	R              	P                 	F                      	R                       	                   	                      	                   	               	              	          	                 	                    	                	                	                 	                                          	                           	                        	                          	               	         	                    	                     	             	                         	from 130SR.Chapter 7.Table 1.page 95.

