Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina hispidocostata	Stilostomella sp.	Sigmoilopsis schlumbergeri	Pyrgo murrhina	Pullenia bulloides	Pleurostomella spp.	Melonis barleeanus	Fissurina sp.	Cibicidoides wuellerstorfi	Cibicidoides sp.	Tosaia hanzawai	Sphaeroidina bulloides	Melonis pompilioides	Globocassidulina sp.	Bulimina barbata	Oridorsalis umbonatus	Martinottiella spp.	Cassidulina sp.	Bulimina striata	Hoeglundina elegans	Bulimina aculeata	Epistominella exigua	Bolivina pusilla	Uvigerina senticosa	Lenticulina sp.	Globobulimina affinis	Chilostomella oolina	Comment



  SR	                 	                 	                  	              	126	 791	B	  9	R	CC	  19.00	    463.7900	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	                 	                          	C             	                  	                   	                  	F            	                          	                	               	F                     	                    	                    	                	A                    	                   	               	C               	A                  	A                	                    	                	                   	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 10	R	CC	   0.00	    474.2600	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	                 	                          	C             	                  	                   	C                 	             	R                         	F               	               	F                     	                    	R                   	                	C                    	                   	               	F               	                   	A                	                    	C               	                   	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 16	R	CC	   8.00	    531.6500	Kaiho    	Benthic Foraminifers                         	               	                  	F                       	                 	                          	R             	R                 	                   	R                 	             	                          	                	               	                      	                    	                    	                	F                    	                   	               	R               	C                  	R                	                    	                	                   	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 20	R	CC	  20.00	    570.0500	Kaiho    	Benthic Foraminifers                         	               	                  	R                       	                 	                          	              	                  	                   	R                 	             	                          	                	               	                      	                    	                    	                	                     	                   	               	F               	R                  	A                	                    	                	                   	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 22	R	CC	   0.00	    589.8800	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	                 	                          	F             	F                 	                   	C                 	             	R                         	                	R              	R                     	F                   	                    	R               	                     	                   	               	F               	A                  	A                	                    	                	                   	               	R                    	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 23	R	CC	  14.00	    604.0300	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	                 	                          	C             	R                 	                   	A                 	F            	R                         	                	F              	R                     	C                   	R                   	R               	C                    	                   	               	C               	A                  	                 	                    	F               	                   	               	R                    	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

