Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra umbilica,Pemma papillatum,Discoaster saipanensis,Discoaster barbadiensis,Dictyococcites bisectus,Cribrocentrum reticulatum,Comment
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15b         ,171,1052,D,  1,H, 2,   0.00,      1.5000,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,                ,+                     ,+                      ,+                      ,+                        ,Look for Is. recurvus
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15b         ,171,1052,D,  2,H,CC,  26.00,     19.3800,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,+               ,+                     ,+                      ,+                      ,+                        ,No Ch. grandis--look for Is. recurvus
,,,,,,,,,,,,,,,,,,,,,,,
