Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Neogloboquadrina pachyderma,Neogloboquadrina cf. continuosa,Globorotalia cibaoensis,Globigerinita glutinata,Globigerina woodi,Globigerina quinqueloba,Globigerina decoraperta,Globigerina cf. woodi,Globigerina bulloides,Globigerina cf. bulloides,Neogloboquadrina pachyderma (sin.),Globorotalia sp. aff. G.sphericonomiozea,Globorotalia sp. aff. G. juanai,Globorotalia scitula,Globigerinella obesa,Globigerina clarkei,Globigerina aff. bulloides,Globorotalia sphericomiozea,Globorotalia juanai,Globorotalia sp. aff. G. puncticulata,Globorotalia sp. cf. G.pliozea,Globigerinita uvula,Neogloboquadrina pachyderma (dex.),Neogloboquadrina sp. A,Globorotalia theyeri,Globorotalia crassaformis,Globigerinella calida,Globorotalia cf. Gr. margaritae,Globorotalia puncticulata var. A,Globorotalia puncticulata puncticulata,Globorotalia puncticulata,Globigerina falconensis,Globigerina cariacoensis,Globigerinita cf. uvula,Globigerinita iota,Globigerina eamesi,Globorotalia inflata,Globigerina rubescens,Globorotalia tosaensis,Globigerina sp. A,Beella praedigitata,Neogloboquadrina pachyderma sp. 1 left-coiling,Globorotalia crassula,Globorotalia sp. A,Globigerina bulloides umbilicata,Globorotalia cf. Gr. tosaensis,Globorotalia blowi,Globorotaloides hexagona,Beella digitata,Sphaeroidinellopsis sp. cf. S. seminulina,Globigerinella pseudobesa,Globorotalia truncatulinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN14              ,              ,114, 704,A,  1,H, 3,  70.00,      3.7000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,+                      ,                       ,                     ,+                    ,+                        ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,+                  ,                                  ,                      ,                    ,+                        ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,+                      ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,+                               ,                              ,                  ,                        ,               ,                                         ,                         ,+                            ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,114, 704,A,  1,H, 4, 115.00,      5.6500,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,8.3%                   ,                 ,.6%                    ,                       ,                     ,31.3%                ,                         ,39.6%                             ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,.3%                               ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,.5%                 ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,21200 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN14              ,              ,114, 704,A,  1,H, 5,  70.00,      6.7000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,+                      ,                       ,                     ,+                    ,+                        ,                                  ,                                        ,                               ,+                   ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,+                  ,                                  ,                      ,                    ,+                        ,                     ,                               ,                                ,                                      ,                         ,+                      ,                        ,+                      ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,+                    ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN14              ,              ,114, 704,A,  2,H, 1,  64.00,      7.8400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,                       ,                       ,                     ,+                    ,+                        ,                                  ,                                        ,                               ,+                   ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,+                  ,                                  ,                      ,                    ,+                        ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,+                      ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,+                    ,                  ,+                               ,                              ,                  ,                        ,               ,                                         ,                         ,+                            ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  2,H, 2,  64.00,      9.3400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,+                    ,+                        ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,+                               ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,114, 704,A,  2,H, 2, 114.00,      9.8400,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,2.5%                   ,                 ,                       ,                       ,                     ,2.5%                 ,                         ,94.5%                             ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,1.0%                     ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,1030 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  2,H, 3,  64.00,     10.8400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,+                    ,+                        ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,+                        ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,+                      ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,+                    ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  2,H, 4,  64.00,     12.3400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,+                      ,                       ,                     ,+                    ,+                        ,                                  ,                                        ,                               ,+                   ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,+                  ,                                  ,                      ,                    ,+                        ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,+                      ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,+                    ,                  ,                                ,+                             ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,114, 704,A,  2,H, 4, 114.00,     12.8400,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,                       ,                 ,.2%                    ,                       ,                     ,.2%                  ,                         ,99.6%                             ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,628000 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  2,H, 5,  64.00,     13.8400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,+                      ,                       ,                     ,+                    ,+                        ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,+                  ,                                  ,                      ,                    ,+                        ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,+                      ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,+                    ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  2,H, 6,  64.00,     15.3400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,+                    ,+                        ,                                  ,                                        ,                               ,+                   ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,+                     ,                    ,+                        ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,+                    ,                      ,                 ,                   ,                                              ,+                    ,                  ,                                ,                              ,                  ,                        ,               ,+                                        ,+                        ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,114, 704,A,  2,H, 6, 114.00,     15.8400,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,.6%                  ,                         ,99.4%                             ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,VR                       ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,85400 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  2,H, 7,  30.00,     16.5000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,+                   ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,+                  ,                                  ,+                     ,                    ,                         ,+                    ,                               ,+                               ,+                                     ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,+                       ,+              ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
