Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Neogloboquadrina pachyderma,Neogloboquadrina cf. continuosa,Globorotalia cibaoensis,Globigerinita glutinata,Globigerina woodi,Globigerina quinqueloba,Globigerina decoraperta,Globigerina cf. woodi,Globigerina bulloides,Globigerina cf. bulloides,Neogloboquadrina pachyderma (sin.),Globorotalia sp. aff. G.sphericonomiozea,Globorotalia sp. aff. G. juanai,Globorotalia scitula,Globigerinella obesa,Globigerina clarkei,Globigerina aff. bulloides,Globorotalia sphericomiozea,Globorotalia juanai,Globorotalia sp. aff. G. puncticulata,Globorotalia sp. cf. G.pliozea,Globigerinita uvula,Neogloboquadrina pachyderma (dex.),Neogloboquadrina sp. A,Globorotalia theyeri,Globorotalia crassaformis,Globigerinella calida,Globorotalia cf. Gr. margaritae,Globorotalia puncticulata var. A,Globorotalia puncticulata puncticulata,Globorotalia puncticulata,Globigerina falconensis,Globigerina cariacoensis,Globigerinita cf. uvula,Globigerinita iota,Globigerina eamesi,Globorotalia inflata,Globigerina rubescens,Globorotalia tosaensis,Globigerina sp. A,Beella praedigitata,Neogloboquadrina pachyderma sp. 1 left-coiling,Globorotalia crassula,Globorotalia sp. A,Globigerina bulloides umbilicata,Globorotalia cf. Gr. tosaensis,Globorotalia blowi,Globorotaloides hexagona,Beella digitata,Sphaeroidinellopsis sp. cf. S. seminulina,Globigerinella pseudobesa,Globorotalia truncatulinoides,Comment
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  3,H, 1,  96.00,     17.6600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,+                   ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,+                  ,                                  ,                      ,                    ,                         ,+                    ,                               ,+                               ,+                                     ,                         ,                       ,                        ,+                      ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,+                    ,+                 ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  3,H, 2,  96.00,     19.1600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,+                    ,+                        ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,+                  ,                                  ,                      ,                    ,+                        ,+                    ,                               ,+                               ,+                                     ,                         ,                       ,                        ,+                      ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,+                    ,+                 ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,114, 704,A,  3,H, 2, 135.00,     19.5500,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,.4%                    ,                 ,                       ,                       ,                     ,4.7%                 ,                         ,74.6%                             ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,20.0%                    ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,29500 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  3,H, 3,  96.00,     20.6600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,+                    ,+                        ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,+                  ,                                  ,                      ,+                   ,                         ,+                    ,                               ,+                               ,+                                     ,                         ,                       ,                        ,                       ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,+                 ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  3,H, 4,  96.00,     22.1600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,+                     ,                    ,+                        ,+                    ,                               ,+                               ,+                                     ,                         ,+                      ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,+                    ,                  ,                                ,                              ,+                 ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
