Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pullenia bulloides,Miliammina echigoensis,Melonis pompilioides,Martinottiella sp.,Martinottiella nodulosa,Martinottiella communis,Eggerella bradyi,Calcareous spp. (indeterminate),Ammodiscus spp.,Agglutinated spp. (indeterminate),Oolina globosa,Globocassidulina subglobosa,Globocassidulina spp.,Globobulimina elongata,Globobulimina auriculata,Cibicides sp. A,Chilostomella oolina,Parafissurina curta,Fissurina cf. F. orbignyana,Eggerella sp. A,Uvigerina hispidocostata,Quinqueloculina cf. Q. vulgaris,Quinqueloculina akneriana,Fissurina sp. B,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,A,  1,H,CC,  23.00,      3.1900,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                    ,                  ,                       ,                       ,                ,                               ,               ,6                                ,              ,                           ,                     ,                      ,                        ,               ,                    ,                   ,                           ,               ,                        ,7                              ,                         ,               ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,A,  8,H,CC,  16.00,     58.8400,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                    ,                  ,                       ,                       ,                ,1                              ,               ,                                 ,              ,                           ,                     ,                      ,                        ,1              ,                    ,                   ,                           ,               ,                        ,8                              ,4                        ,2              ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,A,  9,X,CC,  18.00,     63.3600,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                    ,                  ,                       ,                       ,1               ,                               ,               ,                                 ,              ,                           ,                     ,                      ,                        ,               ,                    ,                   ,                           ,               ,                        ,                               ,                         ,               ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,A, 10,X,CC,  13.00,     69.6500,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                  ,8                     ,1                   ,                  ,                       ,                       ,                ,                               ,               ,                                 ,              ,                           ,                     ,                      ,                        ,               ,                    ,                   ,                           ,               ,1                       ,                               ,                         ,               ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
