leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id
95,603,F,6,1,0.0,150.0,1497.80,1497.80,1499.30,JT," NANNO LIMESTONE,MARLY NANNOFOSSILIFEROUS LIMESTONE ", GRAYS," BURROWS,LAINAE,BEDDING P PLANT DEBRIS,SKELETAL DEBRIS",,, PYRITE,,, HARD, 12231210.3450,c8839ae009c738a135de88f31feae8ad
95,603,F,6,2,0.0,150.0,1497.80,1499.30,1500.80,JT, MARLY NANNOFOSSILIFEROUS LIMESTONE, GRAYS, BURROWS,,," PYRITE,COAL,CHERT"," PLANT DEBRIS,SKELETAL DEBRIS,APTYCHI",, HARD, 12231210.3450,5794abd210d5077a6e5a89fac1b9dd2a
95,603,F,6,3,0.0,150.0,1497.80,1500.80,1502.30,JT, MARLY NANNOFOSSILIFEROUS LIMESTONE, GRAYS," BEDDING,BURROWS,LAMINAE",,, COAL," PLANT DEBRIS,SKELETAL DEBRIS,OTHER FOSSILS",, HARD, 00000000,c84d586935f557a5d9f1c8aff30afb48
95,603,F,6,4,0.0,150.0,1497.80,1502.30,1503.80,JT, MARLY NANNOFOSSILIFEROUS LIMESTONE, GRAYS," BURROWS,BEDDING",,, PYRITE, SKELETAL DEBRIS,, HARD, 12231210.3450,815f068166cbaa72d2ec98e9b43f19d6
95,603,F,6,5,0.0,150.0,1497.80,1503.80,1505.30,JT, MARLY NANNOFOSSILIFEROUS LIMESTONE," DARK OLIVE GRAY,GRAY"," LAMINAE,BURROWS",, PYRITE NODULES,," FISH TEETH,SKELETAL DEBRIS",, HARD, 12231210.3450,15bb759e0e934c5f9f87327381313f69
95,603,F,6,6,0.0,150.0,1497.80,1505.30,1506.80,JT, MARLY NANNOFOSSILIFEROUS LIMESTONE," DARK OLIVE GRAY,GRAY"," LAMINAE,BURROWS",, PYRITE NODULES, PYRITE," FISH TEETH,SKELETAL DEBRIS",, HARD, 12231210.3450,c749cbd6dc9d2b11f6ab0fa231fb700a
95,603,F,6,7,0.0,68.0,1497.80,1506.80,1507.48,JT, MARLY NANNOFOSSILIFEROUS LIMESTONE," DARK OLIVE GRAY,GRAY"," LAMINAE,BURROWS",, PYRITE NODULES, PYRITE, SKELETAL DEBRIS,, HARD, 12231210.3450,a869a5b26b95439eff6201fa006d4aa7
95,603,F,6,CC,0.0,16.0,1497.80,1507.58,1507.64,JT, MARLY NANNOFOSSIL LIMESTONE, OLIVE GRAY, LAMINAE,,,,,, HARD, 12231210.3450,7fd5fbc03313acd00b53c71e5ad9c428
95,603,F,7,1,0.0,150.0,1507.30,1507.30,1508.80,JT, MARLY NANNOFOSSIL LIMESTONE," OLIVE GRAY,LIGHT GRAY"," LAMINAE,BEDDING,BURROWS",, PYRITE NODULES, PYRITE, SHELL DEBRIS,, HARD, 12231210.3450,6898407d65f0a45205f82e25dfdc72ca
95,603,F,7,2,0.0,150.0,1507.30,1508.80,1510.30,JT, MARLY NANNOFOSSIL LIMESTONE," OLIVE GRAY,LIGHT GRAY"," LAMINAE,BURROWS,BEDDING",,, PYRITE, SHELL DEBRIS,, HARD, 00000000,cfd57ba3da6191cb9bf911b0a38cdbed
95,603,F,7,3,0.0,150.0,1507.30,1510.30,1511.80,JT, MARLY NANNOFOSSIL LIMESTONE," DARK OLIVE GRAY,LIGHT GRAY"," LAMINAE,BURROWS,RIPPLE STRUCTURE",,,, SHELL DEBRIS,, HARD, 00000000,4e1060e0c7773fba2baa631363ee3779
