Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa muellerae,Emiliania huxleyi,Coccolithus pelagicus,Gephyrocapsa spp. (small),Gephyrocapsa caribbeanica,Syracosphaera spp.(small),Pontosphaera spp.,Calcidiscus leptoporus,Reticulofenestra productella,Braarudosphaera bigelowii,Syracosphaera pulchra,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21B             ,              ,168,1026,A,  1,H, 1,  90.00,      0.9000,Su       ,Nannofossils                                 ,R              ,G                 ,31.1%                 ,58.0%            ,2.0%                 ,5.0%                     ,                         ,                         ,                 ,2.0%                  ,                            ,                         ,2.0%                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21B             ,              ,168,1026,A,  1,H, 3,  90.00,      3.9000,Su       ,Nannofossils                                 ,T              ,G                 ,25.4%                 ,42.0%            ,32.0%                ,                         ,                         ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21B             ,              ,168,1026,A,  1,H, 4,  50.00,      5.0000,Su       ,Nannofossils                                 ,F              ,G                 ,6.2%                  ,74.0%            ,16.0%                ,1.0%                     ,                         ,                         ,1.0%             ,1.0%                  ,1.0%                        ,1.0%                     ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21B             ,              ,168,1026,A,  2,H, 1,  70.00,      6.1000,Su       ,Nannofossils                                 ,C              ,G                 ,9.5%                  ,88.0%            ,1.0%                 ,1.0%                     ,                         ,                         ,                 ,1.0%                  ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A,  2,H, 3,  80.00,      9.2000,Su       ,Nannofossils                                 ,F              ,G                 ,43.5%                 ,37.0%            ,19.0%                ,                         ,                         ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A,  2,H, 5,  58.00,     11.9800,Su       ,Nannofossils                                 ,P              ,M-G               ,60.0%                 ,20.0%            ,20.0%                ,                         ,                         ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
