Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Globigerina quinqueloba,Neogloboquadrina pachyderma (dextral),Comment
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A,  1,H, 1,   0.00,      0.0000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,D                                      ,T                      ,R                                    ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A,  1,H,CC,   6.00,      4.5600,Flower   ,Planktonic Foraminifers                      ,F              ,G                 ,A/D                                    ,T                      ,T                                    ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A,  2,H,CC,  21.00,     14.4900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,D                                      ,T                      ,                                     ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A,  3,H,CC,  19.00,     23.9500,Flower   ,Planktonic Foraminifers                      ,R              ,G                 ,D                                      ,                       ,                                     ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A,  4,H,CC,  27.00,     33.4700,Flower   ,Planktonic Foraminifers                      ,R              ,G                 ,D                                      ,                       ,                                     ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A,  5,H,CC,  24.00,     42.9300,Flower   ,Planktonic Foraminifers                      ,R              ,G                 ,D                                      ,                       ,                                     ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A,  6,H,CC,  26.00,     52.7600,Flower   ,Planktonic Foraminifers                      ,T              ,M                 ,D                                      ,                       ,                                     ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A,  7,H,CC,  21.00,     62.7500,Flower   ,Planktonic Foraminifers                      ,C              ,G                 ,D                                      ,                       ,T                                    ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A,  8,H,CC,  45.00,     71.8400,Flower   ,Planktonic Foraminifers                      ,R              ,G                 ,D                                      ,T                      ,                                     ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
