Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gyroidinoides primitiva,Praebulimina nannina,Dentalina nana,Indeterminate ostracodes,Indeterminate nodosariidae,Indeterminate mollusc debris,Indeterminate echinoid debris,Gaudryina dividens,Verneuilina howchini,Ramulina aculeata,Lingulogavelinella? sp.,Lenticulina spp.,Lenticulina oligostegia,Lenticulina gaultina,Gyroidinoides subglobosus,Gyroidinoides crassa,Gavelinella schloenbachi,Gavelinella barremiana,Clavulina gabonica,Astacolus incurvata,Dorothia zedlerae,Textularia wilgunyaensis,Haplophragmoides chapmani,Indeterminate radiolarians,Lenticulina muensteri,Gyroidinoides nitidus,Eggerellina sp. 1,Reophax minuta,Nuttallides truempyi,Aragonia ouezzanensis,Osangularia cordieriana,Adercotryma glomerata,Gaudryina pyramidata,Nuttallides bronnimanni,Stensioina beccariiformis,Praebulimina obtusa,Clavulinoides whitei,Pleurostomella subnodosa,Globorotalites conicus,Eponides beiselli,Aragonia velascoensis,Aragonia aragonensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A,  4,R, 1,  75.00,    717.2500,Sikora   ,Benthic Foraminifers                         ,R              ,M                 ,                       ,                    ,              ,                        ,                          ,                            ,                             ,                  ,                    ,                 ,                       ,                ,                       ,                    ,                         ,                    ,                        ,                      ,                  ,                   ,                 ,                        ,                         ,                          ,                     ,                     ,                 ,              ,R                   ,                     ,                       ,                     ,                    ,                       ,                         ,                   ,                    ,                        ,                      ,                 ,                     ,R                   ,Thin-section #162; middle Eocene - P11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A,  9,R, 1,  96.00,    765.5600,Sikora   ,Benthic Foraminifers                         ,T              ,M                 ,                       ,                    ,              ,                        ,                          ,                            ,                             ,                  ,                    ,                 ,                       ,                ,                       ,                    ,                         ,                    ,                        ,                      ,                  ,                   ,                 ,                        ,                         ,                          ,                     ,                     ,                 ,              ,R                   ,                     ,                       ,                     ,                    ,                       ,T                        ,                   ,                    ,                        ,                      ,                 ,                     ,T                   ,Below late Paleocene extinction level
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 10,R, 1,  72.00,    774.9200,Sikora   ,Benthic Foraminifers                         ,T              ,M                 ,                       ,                    ,              ,                        ,                          ,                            ,                             ,                  ,                    ,                 ,                       ,                ,                       ,                    ,                         ,                    ,                        ,                      ,                  ,                   ,                 ,                        ,                         ,                          ,                     ,                     ,                 ,              ,                    ,                     ,                       ,                     ,                    ,                       ,                         ,                   ,                    ,                        ,                      ,                 ,                     ,T                   ,Thin-section #158; only one benthic sp. recovered
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 21,R, 5,  37.00,    886.2700,Sikora   ,Benthic Foraminifers                         ,T              ,M                 ,                       ,                    ,              ,                        ,                          ,                            ,                             ,                  ,                    ,                 ,                       ,                ,                       ,                    ,                         ,                    ,                        ,                      ,                  ,                   ,                 ,                        ,                         ,                          ,                     ,                     ,                 ,              ,                    ,                     ,                       ,                     ,                    ,                       ,                         ,T                  ,                    ,T                       ,T                     ,T                ,T                    ,                    ,Thin-section #165; PB very questionable
