Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus abies	Discoaster prepentaradiatus	Discoaster brouweri	Calcidiscus leptoporus	Discoaster pentaradiatus	Reticulofenestra minuta	Discoaster variabilis	Reticulofenestra pseudoumbilica	Discoaster subsurculus	Discoaster pseudovariabilis	Discoaster pansus	Discoaster bollii	Discoaster asymmetricus	Coccolithus pelagicus	Catinaster coalitus	Catinaster calyculus	Calcidiscus tropicus	Thoracosphaera spp.	Discoaster hamatus	Reticulofenestra minutula	Helicosphaera carteri	Dictyococcites productellus	Triquetrorhabdulus rugosus	Sphenolithus compactus	Lithostromation perdurum	Discoaster neohamatus	Discoaster calcaris	Discoaster intercalaris	Sphenolithus moriformis	Discolithina multipora	Discolithina discopora	Discoaster moorei	Discoaster challengeri	Discoaster triradiatus	Umbilicosphaera sibogae	Sphenolithus verensis	Sphenolithus grandis	Rhabdosphaera clavigera	Hayaster perplexus	Discoaster quinqueramus	Discoaster neorectus	Discoaster tamalis	Discoaster berggrenii	Discoaster signus	Discoaster surculus	Discoaster blackstockae	Syracosphaera pulchra	Cyclicargolithus floridanus	Scyphosphaera pulcherrima	Pseudoemiliania lacunosa	Oolithotus antillarum	Helicosphaera wallichii	Gephyrocapsa spp. (small)	Discolithina japonica	Ceratolithus cristatus	Helicosphaera sellii	Discolithina syracusana	Cyclolithella annula	Scapholithus fossilis	Discoaster quadramus	Discoaster deflandrei	Dictyococcites bisectus	Gephyrocapsa margerelii	Syracosphaera lamina	Cricosphaera quadrilaminata	Holodiscolithus macroporus	Gephyrocapsa caribbeanica	Discosphaera tubifera	Ceratolithus rugosus	Gephyrocapsa oceanica s.l.	Gephyrocapsa oceanica (>6 microns)	Scyphosphaera spp.	Umbellosphaera irregularis	Helicosphaera neogranulata	Discolithina globulosa	Syracosphaera nodosa	Helicosphaera inversa	Ceratolithus telesmus	Emiliania huxleyi	Comment



  SR	Pleistocene      	                 	NN21              	              	124	 769	B	  1	H	 1	  40.00	      0.4000	Shyu     	Nannofossils                                 	               	                  	VR                	                           	                   	F                     	                        	VR                     	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	                    	R                  	                  	                         	F                    	F                          	                          	                      	                        	                     	                   	                       	                       	                      	                      	                 	                      	                      	F                      	                     	                    	F                      	                  	                       	                    	                  	                     	                 	                   	                       	F                    	                           	                         	                        	F                    	F                      	R                        	                     	R                     	                    	                       	R                   	F                    	                    	                     	                       	                       	F                   	                           	                          	                         	                     	                    	A                         	                                  	                  	                          	                          	                      	                    	VR                   	VR                   	C                	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN21              	              	124	 769	B	  1	H	 3	  40.00	      3.4000	Shyu     	Nannofossils                                 	               	                  	                  	                           	                   	F                     	                        	F                      	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	VR                  	                   	                  	                         	F                    	                           	                          	                      	                        	                     	                   	                       	                       	                      	                      	                 	                      	                      	F                      	                     	                    	F                      	                  	                       	                    	                  	                     	                 	                   	                       	F                    	                           	                         	                        	F                    	VR                     	F                        	                     	VR                    	                    	                       	R                   	F                    	                    	                     	C                      	                       	F                   	                           	                          	                         	R                    	                    	A                         	                                  	                  	VR                        	VR                        	                      	                    	VR                   	                     	C                	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN21              	              	124	 769	B	  1	H	CC	  11.00	      5.3500	Shyu     	Nannofossils                                 	               	                  	VR                	                           	                   	F                     	VR                      	F                      	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	                    	F                  	                  	                         	F                    	C                          	                          	                      	                        	                     	                   	                       	                       	                      	R                     	                 	                      	                      	F                      	                     	                    	F                      	                  	                       	                    	                  	                     	                 	                   	                       	F                    	VR                         	                         	                        	R                    	R                      	C                        	VR                   	R                     	                    	                       	R                   	F                    	                    	                     	                       	                       	R                   	                           	VR                        	                         	VR                   	                    	A                         	                                  	                  	VR                        	R                         	                      	                    	VR                   	                     	C                	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN21              	              	124	 769	B	  2	H	 1	  40.00	      5.8000	Shyu     	Nannofossils                                 	               	                  	                  	                           	                   	F                     	                        	                       	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	                    	F                  	                  	                         	F                    	C                          	                          	                      	                        	                     	                   	                       	                       	                      	VR                    	                 	                      	                      	F                      	                     	                    	F                      	                  	                       	                    	                  	                     	                 	                   	                       	F                    	                           	                         	                        	F                    	R                      	C                        	F                    	R                     	                    	                       	F                   	F                    	                    	                     	                       	                       	R                   	                           	                          	                         	                     	                    	A                         	                                  	                  	VR                        	                          	                      	                    	                     	VR                   	F                	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket
