Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina peregrina	Nodosaria spp. (costate forms)	Nodosaria spp.	Melonis pompilioides	Cibicidoides mckannai	Valvulineria sp.	Uvigerina senticosa	Quinqueloculina sp.	Pullenia bulloides	Plectofrondicularia sp.	Oridorsalis umbonatus	Nonionella miocenica	Gyroidina soldanii rotundimargo	Gyroidina soldanii altiformis	Eponides healdi	Cibicidoides wuellerstorfi	Cibicides spp.	Bulimina aculeata	Pyrgo sp.	Lenticulina sp.	Globobulimina pacifica	Glandulina laevigata	Fissurina spp.	Epistominella pacifica	Bulimina subcalva	Pullenia sp.	Nonionella labradorica	Melonis barleeanus	Martinottiella communis	Dentalina spp.	Textularia sp.	Bulimina subacuminata	Anomalina sp.	Gyroidina spp.	Bolivina argentea	Uvigerina spp.	Stilostomella spp.	Elphidium excavatum f. clavatum	Eggerella bradyi	Buliminella subfusiformis	Bolivina spissa	Uvigerina subperegrina	Hoeglundina elegans	Bulimina inflata	Cibicidoides spp.	Uvigerina hispida	Dorothia sp.	Chilostomella oolina	Uvigerina hootsi	Valvulineria araucana	Lagena spp.	Globocassidulina subglobosa	Cassidulina norcrossi	Cassidulina californica	Bulimina striata mexicana	Bolivina sp.	Bolivina pseudobeyrichi	Cassidulina translucens	Sphaeroidina bulloides	Pullenia salisburyi	Bulimina fossa	Buccella tenerrima	Cassidulinoides bradyi	Cassidulina sp.	Bulimina exilis	Triloculina sp.	Globobulimina affinis	Calcareous sp. indeterminate	Bulimina barbata	Bolivinita quadrilatera	Comment



  SR	                 	                 	                  	              	146	 892	A	  1	X	CC	   7.00	      4.2600	Zellers  	Benthic Foraminifers                         	               	M                 	                   	R                             	              	S                   	S                    	                	                   	                   	S                 	                       	                     	                    	R                              	                             	               	S                         	              	                 	         	               	                      	                    	              	                      	                 	            	                      	                  	                       	              	              	                     	             	              	                 	              	S                 	                               	                	                         	               	                      	                   	                	                 	S                	            	                    	                	                     	S          	                           	                     	                       	                         	            	                       	                       	R                     	                   	              	                  	                      	S              	               	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

  SR	                 	                 	                  	              	146	 892	A	  2	X	CC	   0.00	     13.1500	Zellers  	Benthic Foraminifers                         	               	M                 	R                  	                              	R             	R                   	R                    	                	                   	R                  	S                 	S                      	                     	S                   	                               	                             	               	S                         	S             	                 	R        	               	R                     	S                   	              	                      	R                	            	                      	                  	                       	S             	              	                     	             	              	                 	              	                  	                               	                	S                        	R              	                      	                   	                	                 	                 	            	                    	R               	                     	S          	                           	                     	                       	                         	            	                       	S                      	R                     	                   	S             	                  	                      	               	               	S              	S                    	R                           	R               	R                      	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

  SR	                 	                 	                  	              	146	 892	A	  3	X	CC	  21.00	     22.9300	Zellers  	Benthic Foraminifers                         	               	M                 	                   	R                             	R             	                    	S                    	                	                   	S                  	                  	R                      	R                    	                    	R                              	                             	S              	                          	S             	                 	S        	               	R                     	                    	S             	F                     	                 	            	S                     	S                 	R                      	R             	              	S                    	             	              	                 	              	                  	                               	R               	S                        	               	                      	S                  	                	R                	                 	            	                    	R               	                     	           	S                          	R                    	                       	                         	            	S                      	S                      	S                     	                   	S             	                  	R                     	S              	R              	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

  SR	                 	                 	                  	              	146	 892	A	  4	X	CC	  12.00	     30.3700	Zellers  	Benthic Foraminifers                         	               	M                 	                   	                              	S             	                    	                     	                	                   	                   	R                 	                       	                     	                    	                               	                             	S              	                          	S             	                 	         	S              	                      	                    	R             	C                     	                 	            	R                     	                  	                       	              	              	                     	             	              	                 	              	                  	                               	                	                         	R              	                      	                   	F               	                 	                 	            	                    	C               	                     	           	                           	                     	                       	                         	            	                       	                       	                      	                   	S             	C                 	                      	               	               	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105
