Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spongotrochus glacialis	Cycladophora davisiana	Haliommetta miocenica	Botryostrobus bramlettei bramlettei	Stichocorys peregrina	Siphocampe arachnea	Phormostichoartus crustula	Lamprocyrtis heteroporos	Stauroxiphos communis	Spongodiscus osculosus	Cycladophora bicornis amphora	Botryostrobus bramlettei tumidulus	Stylacontarium acquilonium	Phormostichoartus multiseriatus	Lamprocyrtis neoheteroporos	Stylatractus universus	Lychnocanoma nipponica sakaii	Gondwanaria dogieli	Lychnocanoma nipponica nipponica	Dictyophimus splendens	Theocorys redondoensis	Spirema sp.	Siphocampe modeloensis	Lamprocyclas margatensis	Lamprocyclas hannai	Dictyophimus crisiae	Ceratocyrtis histricosa group	Phormostichoartus schneideri	Eucyrtidium calvertense	Theocorythium trachelium (old)	Pterocanium grandiporus	Botryostrobus sp. aff. B. aquilonaris	Stichocorys wolffii	Botryostrobus bramlettei seriatus	Botryopera deflandrei	Botryostrobus bramlettei costatus	Botryostrobus aquilonaris	Phormostichoartus fistula	Sphaeropyle robusta	Pseudocubus vema	Prunopyle sp. aff. P. titan	Cyrtocapsella japonica	Anthocyrtidium pliocenica	Stylacontarium sp.aff. S. bispiculum	Cycladophora pliocenica	Cycladophora robusta	Pterocanium trilobum	Pseudodictyophimus gracilipes	Cycladophora bicornis helios	Ceratospyris borealis	Sphaeropyle langii	Pterocorys clausus	Eucyrtidium matuyamai	Pterocanium auritum	Pterocanium korotnevi	Lipmanella acanthica	Lamprocyrtis nigriniae	Comment



  SR	                 	                 	                  	              	146	 892	A	  1	X	 1	 128.00	      1.2800	Caulet   	Radiolarians                                 	F              	G                 	                       	A                     	                     	                                   	                     	A                  	                          	                        	                     	                      	A                            	C                                 	F                         	F                              	R                          	                      	                             	R                  	                                	                      	                      	           	                      	                        	                   	R                   	F                            	                            	F                      	                              	R                      	                                     	                   	F                                	                     	                                 	A                        	                         	                   	                	                           	                      	                         	                                    	                       	                    	R                   	A                            	                            	C                    	R                 	A                 	                     	T                  	F                    	R                   	R                     	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  1	X	 2	 126.00	      2.7700	Caulet   	Radiolarians                                 	R              	G                 	                       	A                     	                     	                                   	                     	R                  	                          	                        	                     	R                     	F                            	T                                 	R                         	                               	                           	                      	                             	                   	                                	                      	                      	           	                      	                        	                   	T                   	                             	R                           	                       	                              	                       	                                     	                   	                                 	                     	                                 	F                        	                         	                   	                	                           	                      	                         	                                    	                       	                    	T                   	R                            	                            	R                    	R                 	                  	T                    	                   	T                    	T                   	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  1	X	 3	   7.00	      3.0400	Caulet   	Radiolarians                                 	R              	G                 	                       	A                     	                     	                                   	                     	                   	                          	                        	                     	R                     	C                            	                                  	R                         	                               	                           	                      	                             	                   	                                	                      	                      	           	                      	                        	                   	T                   	                             	                            	                       	                              	                       	                                     	                   	                                 	                     	                                 	R                        	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	C                    	R                 	                  	T                    	T                  	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  1	X	CC	   7.00	      4.2600	Caulet   	Radiolarians                                 	C              	G                 	                       	R                     	                     	                                   	                     	                   	T                         	                        	                     	                      	                             	                                  	R                         	A                              	C                          	R                     	T                            	                   	                                	                      	                      	           	                      	                        	                   	                    	                             	                            	                       	                              	R                      	                                     	                   	                                 	                     	                                 	C                        	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	R                 	                  	T                    	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"
