Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygodiscus xenotus	Watznaueria barnesae	Thoracosphaera operculata	Stradneria crenulata	Rhagodiscus angustus	Reinhardtites levis	Prediscosphaera stoveri	Prediscosphaera honjoi	Prediscosphaera arkhangelskyi	Placozygus sigmoides	Phanulithus obscurus	Nephrolithus frequens	Monomarginatus quaternarius	Monomarginatus pectinatus	Misceomarginatus pleniporus	Micula decussata	Lucianorhabdus cayeuxii	Lithraphidites carniolensis	Kamptnerius magnificus	Glaukolithus compactus	Gartnerago obliquum	Eiffellithus gorkae	Cribrosphaerella ? daniae	Cribrosphaerella ehrenbergii	Cretarhabdus conicus	Biscutum magnum	Biscutum dissimilis	Arkhangelskiella specillata	Arkhangelskiella cymbiformis	Ahmuellerella octoradiata	Prediscosphaera cretacea	Microrhabdulus decoratus	Eiffellithus turriseiffelii	Chiastozygus garrisonii	Prediscosphaera spinosa	Chiastozygus sp.	Nephrolithus corystus	Markalius inversus	Prediscosphaera bukryi	Placozygus fibuliformis	Broinsonia enormis	Biscutum constans	Biscutum castrorum	Prediscosphaera grandis	Vekshinella parma	Thoracosphaera sp.	Chiastozygus litterarius	Prediscosphaera intercisa	Cretarhabdus angustiforatus	Lithraphidites quadratus	placolith (small)	Zygolithus sp. (rotated cross)	Zygolithus crux	Zygodiscus spiralis	Zygodiscus sigmoides	Zygodiscus diplogrammus	Zygodiscus compactus	Tranolithus phacelosus	Thoracosphaera spp.	Prinsius tenuiculum / dimorphosus	Nephrolithus frequens miniporus	Nephrolithus frequens frequens	Neocrepidolithus neocrassus	Neocrepidolithus fossus	Neocrepidolithus cruciatus	Markalius apertus	Lapideacassis sp.	Gartnerago spp.	Futyania petalosa	Eiffellithus sp.	Cyclagelosphaera reinhardtii/C. alta	Cruciplacolithus tenuis (> 7 microns)	Cruciplacolithus primus (> 5 microns)	Cruciplacolithus primus (< 5 microns )	Cribrosphaerella daniae	Cretarhabdus conicus	Corollithion rhombicus	Coccolithus pelagicus/C. cavus	Chiastozygus amphipons	Braarudosphaera bigelowii	Biscutum notaculum	Bidiscus rotatorius	Biantholithus sparsus	Acuturris scotus	Helicolithus trabeculatus	Comment



  SR	Paleocene        	                 	CP1b              	              	121	 752	B	 10	R	 3	  92.00	    349.0200	Pospichal	Nannofossils                                 	V              	M                 	                  	0                   	                         	                    	                    	0                  	0                      	                      	                             	                    	0                   	                     	                           	                         	                           	0               	                       	                           	0                     	                      	                   	                   	                         	0                           	                    	               	                   	                           	0                           	0                        	0                       	                        	0                          	                       	0                      	0               	0                    	1                 	                      	                       	                  	0                	0                 	                       	                 	                  	                        	                         	                           	0                       	0                	0                             	0              	0                  	14                  	0                      	0                   	0                     	2                  	182                              	0                              	0                             	0                          	1                      	0                         	0                	0                	0              	0                	0               	0                                   	52                                   	12                                   	1                                     	0                      	0                   	0                     	49                            	0                     	0                        	0                 	0                  	0                    	0               	                         	from ODP Leg 121 SR Chapter 18 Table 1 p 402-404

  SR	Paleocene        	                 	CP1b              	              	121	 752	B	 10	R	 3	 145.00	    349.5500	Pospichal	Nannofossils                                 	V              	M                 	                  	0                   	                         	                    	                    	0                  	0                      	                      	                             	                    	0                   	                     	                           	                         	                           	1               	                       	                           	0                     	                      	                   	                   	                         	0                           	                    	               	                   	                           	0                           	0                        	0                       	                        	0                          	                       	0                      	0               	0                    	1                 	                      	                       	                  	0                	1                 	                       	                 	                  	                        	                         	                           	0                       	0                	0                             	0              	0                  	10                  	0                      	0                   	0                     	0                  	205                              	0                              	0                             	0                          	0                      	0                         	0                	0                	0              	0                	0               	0                                   	57                                   	3                                    	1                                     	0                      	0                   	0                     	35                            	0                     	0                        	0                 	0                  	0                    	0               	                         	from ODP Leg 121 SR Chapter 18 Table 1 p 402-404

  SR	Paleocene        	                 	CP1b              	              	121	 752	B	 10	R	 4	  95.00	    350.5500	Pospichal	Nannofossils                                 	V              	G                 	                  	0                   	                         	                    	                    	0                  	0                      	                      	                             	                    	0                   	                     	                           	                         	                           	0               	                       	                           	0                     	                      	                   	                   	                         	0                           	                    	               	                   	                           	0                           	0                        	0                       	                        	0                          	                       	0                      	0               	0                    	0                 	                      	                       	                  	0                	0                 	                       	                 	                  	                        	                         	                           	0                       	0                	0                             	0              	0                  	8                   	0                      	0                   	0                     	1                  	282                              	0                              	0                             	0                          	0                      	0                         	0                	0                	0              	0                	0               	0                                   	18                                   	0                                    	1                                     	0                      	0                   	0                     	2                             	0                     	0                        	0                 	0                  	0                    	0               	                         	from ODP Leg 121 SR Chapter 18 Table 1 p 402-404

  SR	Paleocene        	                 	CP1b              	              	121	 752	B	 10	R	 4	 145.00	    351.0500	Pospichal	Nannofossils                                 	C              	M                 	                  	0                   	                         	                    	                    	0                  	0                      	                      	                             	                    	0                   	                     	                           	                         	                           	0               	                       	                           	0                     	                      	                   	                   	                         	0                           	                    	               	                   	                           	0                           	0                        	0                       	                        	0                          	                       	0                      	0               	0                    	0                 	                      	                       	                  	0                	2                 	                       	                 	                  	                        	                         	                           	0                       	0                	0                             	0              	0                  	27                  	0                      	0                   	0                     	2                  	121                              	0                              	0                             	0                          	0                      	0                         	0                	0                	0              	0                	0               	0                                   	126                                  	0                                    	0                                     	0                      	0                   	0                     	27                            	0                     	0                        	0                 	0                  	0                    	0               	                         	from ODP Leg 121 SR Chapter 18 Table 1 p 402-404
