Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vulvulina spinosa,Stilostomella spp.,Pleurostomella spp.,Osangularia mexicana,Oridorsalis umbonatus,Nuttallides truempyi,Karreriella bradyi,Cibicidoides havanensis,Bulimina jarvisi,Gyroidinoides sp. A,Globocassidulina subglobosa,Cibicidoides eocaenus,Cassidulina cf. lobatula,Buliminella grata,Anomalina spissiformis,Uvigerina sp.,Cibicidoides grimsdalei,Cibicidoides renzi,Eggerella bradyi,Pyrgo murrhina,Cibicidoides wuellerstorfi,Cibicidoides spp.,Chrysalogonium sp.,Pullenia bulloides,Laticarinina pauperata,Gyroidinoides sp. B,Anomalinoides globulosus,Uvigerina hispida,Sphaeroidina bulloides,Pullenia spp.,Melonis barleeanus,Globobulimina affinis,Fissurina spp.,Uvigerina senticosa,Uvigerina hispidocostata,Melonis pompilioides,Alabamina cf. dissonata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,125, 782,A,  2,H, 2, 120.00,     12.5000,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,                 ,                  ,                   ,                    ,A                    ,                    ,                  ,                       ,                ,                   ,                           ,                     ,                        ,                 ,                      ,             ,                       ,                  ,R               ,C             ,C                         ,                 ,                  ,R                 ,                      ,F                  ,C                       ,                 ,                      ,R            ,R                 ,                     ,              ,F                  ,A                       ,F                   ,A                      ,from ODP 126 SR. Chapter 19. Table 3. pages 290-291. Data in table from sites drilled in Leg 125 (outer-arc high).
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,125, 782,A,  9,H, 2, 100.00,     78.8000,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,                 ,R                 ,R                  ,                    ,A                    ,                    ,                  ,                       ,                ,A                  ,                           ,                     ,                        ,                 ,                      ,             ,                       ,                  ,                ,A             ,C                         ,                 ,                  ,R                 ,                      ,                   ,R                       ,R                ,R                     ,F            ,F                 ,F                    ,F             ,                   ,                        ,                    ,                       ,from ODP 126 SR. Chapter 19. Table 3. pages 290-291. Data in table from sites drilled in Leg 125 (outer-arc high).
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,125, 782,A, 25,X, 2,  40.00,    232.6000,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,                 ,C                 ,C                  ,                    ,A                    ,                    ,                  ,                       ,                ,F                  ,                           ,                     ,                        ,                 ,                      ,             ,                       ,                  ,R               ,C             ,R                         ,F                ,                  ,A                 ,F                     ,C                  ,F                       ,                 ,                      ,             ,                  ,                     ,              ,                   ,                        ,                    ,                       ,from ODP 126 SR. Chapter 19. Table 3. pages 290-291. Data in table from sites drilled in Leg 125 (outer-arc high).
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,125, 782,A, 31,X, 2,  87.00,    289.8500,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,                 ,C                 ,                   ,                    ,A                    ,                    ,                  ,                       ,                ,                   ,                           ,                     ,                        ,                 ,                      ,             ,                       ,                  ,                ,R             ,F                         ,F                ,R                 ,                  ,                      ,                   ,                        ,                 ,                      ,             ,                  ,                     ,              ,                   ,                        ,                    ,                       ,from ODP 126 SR. Chapter 19. Table 3. pages 290-291. Data in table from sites drilled in Leg 125 (outer-arc high).
