leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
59,448,,1,2,11.0,13.0,0.00,1.62, 1,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,582,RCYRC0020,Cyrtocapsella cornuta,PRESENT,  ,1
59,448,,2,1,88.0,92.0,5.00,5.90, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,582,RACRC0010,Acrocubus octopylus,RARE,  ,1
59,448,,2,1,88.0,92.0,5.00,5.90, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,582,RCALC0050,Calocycletta costata,RARE,  ,1
59,448,,2,1,88.0,92.0,5.00,5.90, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,582,RCYRC0020,Cyrtocapsella cornuta,RARE,  ,1
59,448,,2,1,88.0,92.0,5.00,5.90, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,582,RDORC0010,Dorcadospyris alata,COMMON,  ,1
59,448,,2,1,88.0,92.0,5.00,5.90, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,582,RGIRA0080,Giraffospyris toxaria,RARE,  ,1
59,448,,2,1,88.0,92.0,5.00,5.90, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,582,RSTIO0050,Stichocorys delmontensis,ABUNDANT,  ,1
59,448,,2,1,88.0,92.0,5.00,5.90, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,COMMON,,,MODERATE,NO AGE GIVEN,582,RSTIO0090,Stichocorys wolfii,ABUNDANT,  ,1
59,448,,2,2,89.0,91.0,5.00,7.40,10,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,FEW,,,POOL,NO AGE GIVEN,582,RCALC0050,Calocycletta costata,RARE,  ,1
59,448,,2,2,89.0,91.0,5.00,7.40,10,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,FEW,,,POOL,NO AGE GIVEN,582,RCALC0110,Calocycletta virginis,RARE,  ,1
59,448,,2,2,89.0,91.0,5.00,7.40,10,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,FEW,,,POOL,NO AGE GIVEN,582,RCANN0070,Cannartus prismaticus,RARE,  ,1
