Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Phormocyrtis striata praexquisita,Lychnocanoma (?) costata,Lamptonium pennatum,Buryella spp.,Tripocalpis cassidus,Phormocyrtis striata exquisita,Lychnocanoma (?) pileus,Dictyomitra multicostata,Buryella tetradica,Buryella pentadica,Bekoma spp.,Orbula comitata,Bekoma campechensis,Podocyrtis papalis,Stylotrochus nitidus,Stylotrochus alveatus,Spongodiscus cruciferus,Phormocyrtis turgida,Phormocyrtis cubensis,Lychnocanoma auxilla,Giraffospyris lata,Dendrospyris fragoides,Amphicraspedum murrayanum,Theocorys phyzella,Amphicraspedum prolixum,Theocotylissa auctor,Spongodiscus americanus,Pterocodon ampla,Phormocyrtis striata striata,Lithochytris archaea,Theocotylissa alpha,Lychnocanoma babylonis group,Spongodiscus quartus quartus,Theocotylissa ficus,Buryella clinata,Thyrsocyrtis hirsuta,Theocotyle nigriniae,Theocorys anaclasta,Stylotrochus quadribrachiatus quadribrachiatus,Spongatractus balbis,Lophocyrtis biaurita,Calocycloma castum,Calocyclas hispida,Rhopalocanium ornatum,Lamptonium fabaeforme fabaeforme,Lamptonium fabaeforme constrictum,Lamptonium fabaeforme chaunothorax,Calocycloma ampulla,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,165,1001,A, 18,R, 4, 127.00,    166.0700,Nigrini  ,Radiolarians                                 ,A              ,G                 ,                                 ,                        ,                   ,             ,                    ,F                             ,                       ,                        ,                  ,                  ,           ,               ,                   ,R                 ,F                   ,                     ,S                      ,                    ,                     ,                    ,S                 ,                      ,C                        ,                  ,                       ,                    ,                       ,                ,R                           ,F                   ,                   ,MR                          ,VR                          ,R                  ,MR              ,R                   ,R                   ,R                  ,F                                             ,VR                  ,R                   ,R                 ,                  ,VR                   ,VR                              ,S                                ,VR                                ,R                  ,From 165SR. Chapter 3. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,165,1001,A, 19,R, 1,  25.00,    168.2500,Nigrini  ,Radiolarians                                 ,F              ,MG                ,                                 ,                        ,                   ,             ,                    ,VF                            ,                       ,                        ,                  ,                  ,           ,               ,                   ,VR                ,F                   ,                     ,                       ,                    ,                     ,                    ,                  ,S                     ,VF                       ,                  ,                       ,                    ,                       ,                ,R                           ,R                   ,                   ,MR                          ,                            ,R                  ,MR              ,S                   ,R                   ,?                  ,VF                                            ,VR                  ,R                   ,R                 ,S                 ,                     ,                                ,                                 ,                                  ,                   ,From 165SR. Chapter 3. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,165,1001,A, 20,R, 1, 125.00,    171.2500,Nigrini  ,Radiolarians                                 ,R              ,M                 ,                                 ,                        ,                   ,             ,                    ,+                             ,                       ,                        ,                  ,                  ,           ,               ,                   ,+                 ,                    ,                     ,                       ,                    ,                     ,                    ,                  ,+                     ,                         ,                  ,                       ,                    ,                       ,                ,                            ,                    ,                   ,                            ,                            ,+                  ,+               ,                    ,                    ,                   ,                                              ,                    ,                    ,                  ,                  ,                     ,                                ,                                 ,                                  ,                   ,From 165SR. Chapter 3. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,RP7               ,              ,165,1001,A, 24,R, 1,  32.00,    208.7200,Nigrini  ,Radiolarians                                 ,R              ,MG                ,                                 ,                        ,                   ,             ,                    ,+                             ,                       ,                        ,+                 ,                  ,           ,               ,                   ,                  ,                    ,                     ,                       ,+                   ,+                    ,?                   ,+                 ,+                     ,                         ,                  ,                       ,                    ,                       ,+               ,                            ,?                   ,                   ,                            ,+                           ,                   ,                ,                    ,                    ,                   ,                                              ,                    ,                    ,                  ,                  ,                     ,                                ,                                 ,                                  ,                   ,Zonal assignment uncertain. From 165SR. Chapter 3. Table 4.
