Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylatractus universus,Helotholus vema,Eucyrtidium calvertense,Desmospyris spongiosa,Cycladophora davisiana,Triceraspyris antarctica,Saturnalis circularis,Prunopyle titan,Lampromitra coronata,Cycladophora pliocenica,Antarctissa cylindrica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1095,D,  3,H,CC,  13.00,     27.5100,Weinheimer,Radiolarians                                 ,R              ,P                 ,R                     ,-              ,-                      ,-                    ,                      ,R                       ,                     ,               ,                    ,                       ,C                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1095,D,  4,H, 4,  92.00,     33.0200,Weinheimer,Radiolarians                                 ,R              ,M                 ,-                     ,T              ,-                      ,-                    ,-                     ,-                       ,-                    ,-              ,-                   ,-                      ,R                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1095,D,  7,H,CC,  20.00,     65.9000,Weinheimer,Radiolarians                                 ,T              ,M                 ,-                     ,-              ,T                      ,T                    ,-                     ,                        ,                     ,               ,                    ,                       ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
