Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tetrapyle octacantha	Spongaster tetras	Pterocanium praetextum	Didymocyrtis tetrathalamus	Carpocanistrum (unspecified taxon or taxa)	Anthocyrtidium sp.	Anomalacantha dentata	Spongaster tetras tetras	Hymeniastrum euclidis	Amphirhopalum ypsilon	Stylochlamidium asteriscus	Siphonosphaera polysiphonia	Lamprocyrtis nigriniae	Heliodiscus asteriscus	Eucyrtidium hexagonatum	Eucyrtidium calvertense	Comment



  SR	                 	                 	                  	              	126	 792	B	  1	H	CC	  15.00	      4.2300	Aitchison	Radiolarians                                 	C              	G                 	R                   	F                	                      	R                         	                                          	                  	                     	                        	R                    	                     	R                         	R                          	R                     	R                     	R                      	R                      	from ODP Leg 126 SR Chapter 21 Table 8 p 327

  SR	                 	                 	                  	              	126	 792	B	  2	H	CC	   9.00	     58.5500	Aitchison	Radiolarians                                 	R              	M                 	                    	                 	                      	                          	R                                         	                  	                     	                        	                     	                     	                          	                           	                      	                      	                       	                       	from ODP Leg 126 SR Chapter 21 Table 8 p 327

  SR	                 	                 	                  	              	126	 792	B	  3	H	CC	  22.00	     69.6000	Aitchison	Radiolarians                                 	R              	G                 	                    	R                	                      	R                         	                                          	R                 	                     	                        	                     	                     	                          	                           	                      	                      	                       	                       	from ODP Leg 126 SR Chapter 21 Table 8 p 327

  SR	                 	                 	                  	              	126	 792	B	  5	X	CC	  36.00	     79.1600	Aitchison	Radiolarians                                 	R              	M                 	                    	R                	                      	                          	R                                         	                  	                     	                        	                     	                     	                          	                           	                      	                      	                       	                       	from ODP Leg 126 SR Chapter 21 Table 8 p 327

  SR	                 	                 	                  	              	126	 792	B	  6	X	CC	  13.00	     88.6300	Aitchison	Radiolarians                                 	R              	P                 	                    	R                	                      	                          	                                          	                  	                     	                        	                     	                     	                          	                           	                      	                      	                       	                       	from ODP Leg 126 SR Chapter 21 Table 8 p 327

  SR	                 	                 	                  	              	126	 792	B	  7	X	CC	  35.00	     98.5500	Aitchison	Radiolarians                                 	R              	P                 	                    	R                	                      	                          	R                                         	                  	                     	                        	                     	                     	                          	                           	                      	                      	                       	                       	from ODP Leg 126 SR Chapter 21 Table 8 p 327

  SR	                 	                 	                  	              	126	 792	B	  9	X	CC	  18.00	    119.5600	Aitchison	Radiolarians                                 	F              	M                 	R                   	                 	                      	                          	                                          	                  	                     	F                       	R                    	R                    	                          	                           	                      	                      	                       	                       	from ODP Leg 126 SR Chapter 21 Table 8 p 327

  SR	                 	                 	                  	              	126	 792	B	 11	X	CC	  29.00	    138.8200	Aitchison	Radiolarians                                 	C              	G                 	R                   	F                	R                     	R                         	R                                         	R                 	R                    	                        	                     	                     	                          	                           	                      	                      	                       	                       	from ODP Leg 126 SR Chapter 21 Table 8 p 327

