Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassionema nitzschioides,Stephanopyxis spp.,Stephanopyxis dimorpha,Proboscia barboi,Proboscia alata,Neodenticula koizumii,Hemidiscus cuneiformis,Delphineis surirella,Coscinodiscus radiatus,Aulacoseira spp.,Actinocyclus oculatus,Actinocyclus ochotensis,Actinocyclus curvatulus,Thalassiosira oestrupii,Thalassiosira lineata,Thalassiosira antiqua,Coscinodiscus marginatus,Nitzschia marina,Neodenticula seminae,Fragilariopsis doliolus,Actinoptychus senarius,Pyxidicula horridus,Proboscia curvirostris,Thalassiosira eccentrica,Neodenticula kamtschatica,Rhizosolenia styliformis,Thalassiosira leptopus,Thalassiosira convexa,Delphineis angustata,Thalassiosira jouseae,Rhizosolenia hebetata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C,  1,H,CC,  25.00,      5.4500,Watanabe ,Diatoms                                      ,               ,M                 ,F                          ,F                 ,C                     ,                ,               ,                     ,                      ,                    ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,                        ,                ,R                   ,                       ,R                     ,                   ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C,  2,H,CC,  22.00,     15.4600,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,F                 ,F                     ,                ,               ,                     ,                      ,                    ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,                        ,                ,F                   ,                       ,                      ,                   ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C,  3,H,CC,  20.00,     25.1400,Watanabe ,Diatoms                                      ,C              ,P                 ,C                          ,F                 ,C                     ,                ,               ,                     ,                      ,                    ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,T                       ,                ,R                   ,                       ,                      ,                   ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C,  4,H,CC,  21.00,     34.6000,Watanabe ,Diatoms                                      ,A              ,M                 ,C                          ,R                 ,C                     ,                ,               ,                     ,                      ,                    ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,T                       ,                ,F                   ,                       ,R                     ,                   ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,T                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
