Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilica (>7microns),Reticulofenestra productella,Reticulofenestra minutula,Reticulofenestra ampla,Pseudoemiliania lacunosa,Calcidiscus macintyrei,Gephyrocapsa spp. (small),Gephyrocapsa lumina,Reticulofenestra minuta,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C,  1,H,CC,  25.00,      5.4500,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,                        ,                      ,+                        ,                   ,                       ,+                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C,  2,H,CC,  22.00,     15.4600,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,                        ,                      ,+                        ,                   ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C,  3,H,CC,  20.00,     25.1400,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,                        ,                      ,+                        ,                   ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C,  4,H,CC,  21.00,     34.6000,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,                        ,                      ,+                        ,                   ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C,  8,H,CC,  42.00,     71.6000,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,                        ,                      ,                         ,+                  ,                       ,+                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C,  9,H,CC,  23.00,     82.1600,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,                        ,                      ,+                        ,+                  ,                       ,+                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 10,H,CC,  35.00,     91.1300,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,+                       ,                      ,+                        ,                   ,+                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 11,H,CC,  16.00,    100.6400,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,                        ,                      ,+                        ,                   ,+                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 12,H,CC,   0.00,    110.3800,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,+                       ,                      ,+                        ,+                  ,+                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
