Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Discoaster tamalis	Discoaster pentaradiatus	Discoaster brouweri	Discoaster asymmetricus	Discoaster triradiatus	Discoaster surculus	Pseudoemiliania lacunosa	Calcidiscus macintyrei	Gephyrocapsa spp. medium	Gephyrocapsa spp. (small)	Ceratolithus cristatus	Calcidiscus leptoporus	Helicosphaera sellii	Helicosphaera carteri	Gephyrocapsa spp. (large)	Coccolithus pelagicus	Ceratolithus telesmus	Helicosphaera wallichii	Gephyrocapsa sp.3 medium	Florisphaera profunda	Reticulofenestra asanoi	Helicosphaera inversa	Emiliania huxleyi	Gephyrocapsa omega	Comment



  IR	                 	                 	                  	              	172	1061	A	  1	H	CC	  24.00	      9.6700	Raffi    	Nannofossils                                 	A              	M                 	                  	                        	                   	                       	                      	                   	1                       	                      	A                       	A                        	R                     	C                     	                    	F                    	                         	                     	                     	                       	F                       	                     	                       	                     	A                	F                 	< 0.085

  IR	                 	Pleistocene      	                  	              	172	1061	A	  2	H	CC	  17.00	     19.3400	Raffi    	Nannofossils                                 	A              	G                 	                  	                        	                   	                       	                      	                   	                        	                      	A                       	A                        	+                     	A                     	                    	F                    	                         	F                    	                     	+                      	                        	A                    	                       	                     	F                	                  	reworked Pliocene discoasterids - age: >0.085 <0.26

  IR	                 	Pleistocene      	                  	              	172	1061	A	  3	H	CC	  22.00	     29.0000	Raffi    	Nannofossils                                 	A              	M                 	                  	                        	                   	                       	                      	                   	                        	                      	C                       	C                        	F                     	A                     	                    	+                    	                         	F                    	                     	+                      	                        	F                    	                       	                     	C                	C                 	Diatoms (fragments)- traces of dissolution- age: >0.085 <0.26

  IR	                 	Pleistocene      	                  	              	172	1061	A	  4	H	CC	   0.00	     38.1200	Raffi    	Nannofossils                                 	A              	M                 	                  	                        	                   	                       	                      	                   	rR                      	                      	C                       	C                        	F                     	C                     	                    	+                    	                         	F                    	                     	+                      	                        	                     	                       	                     	C                	F                 	moderate dissolution - age: >0.085 <0.26

  IR	                 	Pleistocene      	                  	              	172	1061	A	  5	H	CC	  20.00	     48.0200	Raffi    	Nannofossils                                 	A              	VG                	                  	                        	                   	                       	                      	                   	-                       	                      	A                       	A                        	F                     	                      	                    	A                    	                         	F                    	                     	A                      	                        	F                    	                       	                     	-                	C                 	age: >0.26  <0.46

  IR	                 	Pleistocene      	                  	              	172	1061	A	  6	H	CC	  10.00	     57.1200	Raffi    	Nannofossils                                 	A              	G                 	                  	                        	                   	                       	                      	                   	-                       	                      	A                       	A                        	R                     	                      	                    	F                    	                         	F                    	                     	C                      	                        	                     	                       	                     	-                	F                 	some terrigenous input - age: >0.26  <0.46

  IR	                 	Pleistocene      	                  	              	172	1061	A	  7	H	CC	  23.00	     67.0500	Raffi    	Nannofossils                                 	A              	M                 	                  	                        	                   	                       	                      	                   	-                       	                      	A                       	C                        	+                     	                      	                    	R                    	                         	R                    	                     	R                      	                        	+                    	                       	                     	-                	                  	abundant Diatoms; pollens - age: >0.26 <0.46

