Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Thoracosphaera saxea,Sphenolithus moriformis,Reticulofenestra umbilica,Reticulofenestra daviesii,Neococcolithes dubius,Helicosphaera sp.,Ericsonia sp.,Ericsonia formosa,Discoaster sp.,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus marismontium,Cyclicargolithus floridanus,Cribrocentrum reticulatum,Coronocyclus nitescens,Coccolithus pelagicus-eopelagicus,Chiasmolithus sp.,Chiasmolithus oamaruensis,Calcidiscus kingii,Blackites spinosus,Reticulofenestra samodurovii,Reticulofenestra hillae,Clausicoccus fenestratus,Clausicoccus sp. cf. C.fenestratus,Bramletteius serraculoides,Discoaster tanii,Clausicoccus obrutus,Isthmolithus recurvus,Reticulofenestra oamaruensis,Chiasmolithus altus,Clausicoccus subdistichus,Pedinocyclus larvalis,Reticulofenestra sp. (small),Cyclicargolithus cf. abisectus,Cyclicargolithus abisectus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17-18           ,              ,114, 703,A, 11,H, 5, 130.00,     97.7000,Madile   ,Nannofossils                                 ,A              ,P                 ,                       ,                    ,                       ,                         ,A                        ,                     ,                 ,F            ,                 ,              ,F                       ,F                      ,                             ,                           ,                         ,R                     ,A                                ,F                ,                         ,                  ,R                 ,                            ,                       ,                        ,                                  ,                          ,                ,                    ,                     ,                            ,A                  ,                         ,                     ,                            ,                              ,C                         ,from ODP Leg 114 SR Chapter 8 Table 2 p.182
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17-18           ,              ,114, 703,A, 11,H, 6,  10.00,     98.0000,Madile   ,Nannofossils                                 ,A              ,P                 ,                       ,                    ,                       ,                         ,A                        ,                     ,                 ,F            ,                 ,              ,F                       ,F                      ,                             ,A                          ,                         ,R                     ,A                                ,F                ,                         ,                  ,R                 ,                            ,                       ,                        ,                                  ,                          ,                ,                    ,                     ,                            ,A                  ,                         ,                     ,                            ,                              ,C                         ,from ODP Leg 114 SR Chapter 8 Table 2 p.182
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP16c             ,              ,114, 703,A, 11,H, 6,  28.00,     98.1800,Madile   ,Nannofossils                                 ,A              ,P                 ,F                      ,R                   ,R                      ,R                        ,A                        ,                     ,                 ,F            ,                 ,              ,F                       ,F                      ,                             ,A                          ,                         ,R                     ,A                                ,F                ,                         ,                  ,R                 ,                            ,R                      ,                        ,                                  ,                          ,                ,                    ,                     ,                            ,A                  ,                         ,                     ,                            ,                              ,C                         ,from ODP Leg 114 SR Chapter 8 Table 2 p.182
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP16c             ,              ,114, 703,A, 11,H, 7,  28.00,     99.6800,Madile   ,Nannofossils                                 ,A              ,P                 ,F                      ,                    ,                       ,R                        ,A                        ,                     ,R                ,F            ,                 ,              ,F                       ,F                      ,                             ,C                          ,                         ,R                     ,A                                ,F                ,                         ,                  ,R                 ,                            ,                       ,                        ,                                  ,R                         ,                ,                    ,                     ,                            ,C                  ,                         ,                     ,                            ,                              ,C                         ,Reworking; from ODP Leg 114 SR Chapter 8 Table 2 p.182
