Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tylostyle taxa,Subtylostyle taxa,Strongyle taxa,Sterraster taxa,Stauractine taxa,"Sponge or Orosphaerid (""branches"")",Spine (straight and rough),Spheraster (large),Protriaene taxa,Plagiodichotriaene taxa,Phyllotriaene taxa,Oxea taxa,Oxea (spined taxa),Orthodichotriaene taxa,Mesh taxa,Hexactines  taxa,Diplagiodichotriaene taxa,Dictyonine (fragments),Desma taxa,Curved spine (rough),Caltrop taxa,Anatriaene taxa,Rhax taxa,Plagiotriaene taxa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 627,B, 18,X, 1,  60.00,    162.8000,Palmer-Julson,Sponge Spicules                              ,               ,                  ,              ,                 ,R             ,               ,                ,                                  ,                          ,R                 ,F              ,R                      ,R                 ,         ,R                 ,R                     ,R        ,                ,                         ,R                     ,F         ,                    ,F           ,R              ,R        ,R                 ,from Palmer; ODP 101 SR Chapter 10 Figure 2 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 627,B, 19,X, 2,  21.00,    173.5100,Palmer-Julson,Sponge Spicules                              ,               ,                  ,              ,                 ,F             ,R              ,                ,R                                 ,R                         ,R                 ,               ,C                      ,F                 ,F        ,R                 ,R                     ,R        ,                ,R                        ,R                     ,F         ,                    ,F           ,F              ,F        ,R                 ,from Palmer; ODP 101 SR Chapter 10 Figure 2 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 627,B, 19,X,CC,  20.00,    181.5000,Palmer-Julson,Sponge Spicules                              ,               ,                  ,R             ,R                ,A             ,R              ,R               ,F                                 ,R                         ,F                 ,R              ,C                      ,R                 ,C        ,R                 ,F                     ,F        ,R               ,R                        ,F                     ,F         ,R                   ,R           ,R              ,         ,                  ,from Palmer; ODP 101 SR Chapter 10 Figure 2 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
