Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Cassidulina carinata	Globocassidulina subglobosa	Bolivina subspinescens	Cibicidoides italicus	Oridorsalis stellatus	Lobatula lobatula	Pleurostomella alternans	Nonionella turgida	Gyroidinoides laevigatus	Anomalinoides helicinus	Quinqueloculina bicarinata	Martinottiella perparva	Comment



  SR	                 	                 	                  	              	160	 969	B	 11	H	 1	  31.00	     88.7100	Spezzaferri	Benthic Foraminifers                         	               	                  	                    	                           	                      	                     	VR                   	                 	                        	                  	                        	                       	                          	                       	Species abundance = 1. Sapropel. from Leg 160SR Ch 2 Table 8

  SR	                 	                 	                  	              	160	 969	B	 11	H	 1	 100.00	     89.4000	Spezzaferri	Benthic Foraminifers                         	               	                  	                    	                           	                      	                     	R                    	                 	                        	                  	R                       	                       	R                         	                       	Species abundance = 3. from Leg 160SR Ch 2 Table 8

  SR	                 	                 	                  	              	160	 969	B	 11	H	 2	  30.00	     90.2000	Spezzaferri	Benthic Foraminifers                         	               	                  	                    	R                          	                      	                     	R                    	                 	                        	                  	R                       	R                      	R                         	R                      	Species abundance = 6. from Leg 160SR Ch 2 Table 8

  SR	                 	                 	                  	              	160	 969	B	 11	H	 2	 100.00	     90.9000	Spezzaferri	Benthic Foraminifers                         	               	                  	                    	R                          	                      	                     	R                    	                 	                        	                  	R                       	R                      	                          	                       	Species abundance = 4. from Leg 160SR Ch 2 Table 8

  SR	                 	                 	                  	              	160	 969	B	 11	H	 3	  40.00	     91.8000	Spezzaferri	Benthic Foraminifers                         	               	                  	                    	                           	                      	                     	VR                   	                 	                        	                  	                        	                       	                          	                       	Species abundance = 1. Sapropel. from Leg 160SR Ch 2 Table 8

  SR	                 	                 	                  	              	160	 969	B	 11	H	 3	 130.00	     92.7000	Spezzaferri	Benthic Foraminifers                         	               	                  	                    	                           	                      	                     	VR                   	                 	                        	                  	VR                      	                       	                          	                       	Species abundance = 2. from Leg 160SR Ch 2 Table 8

  SR	                 	                 	                  	              	160	 969	B	 11	H	 4	  40.00	     93.3000	Spezzaferri	Benthic Foraminifers                         	               	                  	                    	                           	                      	                     	VR                   	                 	                        	                  	VR                      	                       	                          	                       	Species abundance = 2. from Leg 160SR Ch 2 Table 8

  SR	                 	                 	                  	              	160	 969	B	 11	H	 4	 120.00	     94.1000	Spezzaferri	Benthic Foraminifers                         	               	                  	                    	                           	                      	                     	R                    	                 	                        	                  	R                       	R                      	                          	                       	Species abundance = 3. from Leg 160SR Ch 2 Table 8

  SR	                 	                 	                  	              	160	 969	B	 11	H	 5	  30.00	     94.7000	Spezzaferri	Benthic Foraminifers                         	               	                  	R                   	                           	VR                    	                     	R                    	                 	                        	                  	VR                      	                       	                          	                       	Species abundance = 4. from Leg 160SR Ch 2 Table 8

  SR	                 	                 	                  	              	160	 969	B	 11	H	 5	  50.00	     94.9000	Spezzaferri	Benthic Foraminifers                         	               	                  	                    	                           	VR                    	VR                   	R                    	                 	                        	VR                	VR                      	                       	                          	                       	Species abundance = 5. from Leg 160SR Ch 2 Table 8

  SR	                 	                 	                  	              	160	 969	B	 11	H	 5	  70.00	     95.1000	Spezzaferri	Benthic Foraminifers                         	               	                  	                    	R                          	                      	                     	R                    	                 	                        	                  	R                       	                       	                          	                       	Species abundance = 3. from Leg 160SR Ch 2 Table 8

  SR	                 	                 	                  	              	160	 969	B	 11	H	 5	  80.00	     95.2000	Spezzaferri	Benthic Foraminifers                         	               	                  	                    	VR                         	VR                    	                     	VR                   	                 	VR                      	VR                	VR                      	                       	                          	                       	Species abundance = 6. from Leg 160SR Ch 2 Table 8

  SR	                 	                 	                  	              	160	 969	B	 11	H	 5	 117.00	     95.5700	Spezzaferri	Benthic Foraminifers                         	               	                  	                    	R                          	                      	                     	R                    	VR               	                        	                  	                        	                       	                          	                       	Species abundance = 3. from Leg 160SR Ch 2 Table 8

  SR	                 	                 	                  	              	160	 969	B	 11	H	 5	 120.00	     95.6000	Spezzaferri	Benthic Foraminifers                         	               	                  	                    	VR                         	VR                    	                     	VR                   	                 	                        	                  	                        	                       	                          	                       	Species abundance = 3. from Leg 160SR Ch 2 Table 8

  SR	                 	                 	                  	              	160	 969	B	 11	H	 6	   9.00	     95.9900	Spezzaferri	Benthic Foraminifers                         	               	                  	                    	                           	                      	VR                   	                     	                 	                        	                  	                        	                       	                          	                       	Species abundance = 1. from Leg 160SR Ch 2 Table 8

  SR	                 	                 	                  	              	160	 969	B	 11	H	 6	  19.00	     96.0900	Spezzaferri	Benthic Foraminifers                         	               	                  	                    	VR                         	VR                    	                     	                     	                 	                        	                  	                        	                       	                          	                       	Species abundance = 2. from Leg 160SR Ch 2 Table 8

  SR	                 	                 	                  	              	160	 969	B	 11	H	 6	  49.00	     96.3900	Spezzaferri	Benthic Foraminifers                         	               	                  	VR                  	                           	                      	                     	                     	                 	                        	                  	                        	                       	                          	                       	Species abundance = 1. from Leg 160SR Ch 2 Table 8

