Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Wetzeliella articulata	Thalassiphora pelagica	Thalassiphora delicata	Lentinia wetzellii	Lentinia serrata	Lanternosphaeridium lanosum	Kisselouia coleothrypta	Hystrichokolpoma sp. 3	Hafniasphaera spp.	Glaphyrocysta ordinata	Eatonicysta ursulae	Dinocyst 8	Cribroperidinium giuseppei	Cerebrocysta bartonensis	Phelodinium spp.	Palaeocystodinium golzowense	Caligodinium amiculum	Areosphaeridium fenestratum	Achilleodinium biformoides	Tectatodinium sp. I	Phthanoperidinium echinatum	Hystrichosphaeridium tubiferum	Diphyes colligerum	Deflandrea phosphoritica	Deflandrea oebisfeldensis	Apectodinium quinquelatum	Apectodinium homomorphum	Samlandia chlamydophora	Dinocyst II	Apectodinium spp. 	Impagidinium spp.	Palaeocystodinium sp. A	Operculodinium sp. 1	Evittosphaerula paratabulata	Emslandia spiridoides	Areosphaeridium actinocoronatum 	Apteodinium australiense	Systematophora placacantha	Impagidinium patulum	Palaeocystodinium sp. 3	Palaeocystodinium sp. 1	Nematosphaeropsis labyrinthea	Batiacasphaera baculata	Ascostomocystis granosa	Pentadinium laticinctum imaginatum	Lingulodinium sp. 1	Lejeunecysta spp.	Dapsilidinium pastielsii	Batiacasphaera sphaerica	Tectatodinium psilatum	Operculodinium sp.	Hystrichosphaeridium sp. 1	Heteraulacacysta campanula	Distatodinium craterum	Dinopterygium cladoides	Bitectatodinium? sp. 1	Spiniferites pseudofurcatus	Selenopemphix nephroides	Lingulodinium machaerophorum	Hystrichokolpoma rigaudiae	Batiacasphaera sp. 1	Batiacasphaera hirsuta	Spiniferites spp.	Operculodinium centrocarpum	Invertocysta tabulata	Impagidinium pallidum	Impagidinium japonicum	Batiacasphaera micropapillata	Tuberculodinium vancampoae	Nematosphaeropsis downii	Impagidinium sp.  1 	Impagidinium maculatum	Hystrichosphaeridium latirictum	Distatodinium paradoxum	Cribroperidinium tenuitabulatum	Tectatodinium sp. 3	Spiniferites ramosus	Leptodinium? sp. III	Lejeunecysta fallax	Impletosphaeridium spp.	Impagidinium velorum	Cribroperidinium giuseppei major	Cannosphaeropsis sp. A	Impagidinium sp.2	Sumatradinium? sp. C	Homotryblium vallum	Platycystidia (?) sp. II	Operculodinium crassum	Cordosphaeridium cantharellus	Tectatodinium sp. 2	Nematosphaeropsis lemniscata	Melitasphaeridium choanophorum	Dinocyst 5	Dapsilidinium sp. 1	Batiacasphaera sp. 2	Tectatodinium sp. 4	Spiniferites ramosus brevifurcatus	Spiniferites cf. mirabilis	Pyxidinopsis sp.1	Pyxidiella? simplex	Polysphaeridium cf. subtile	Operculodinium placitum	Impagidinium paradoxum	Dinocyst IV 	Achomosphaera spp.	Comment



  SR	Miocene          	                 	                  	              	104	 642	D	  2	X	 6	  80.00	    198.2000	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	+                           	                     	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	                 	                       	                    	                            	                     	                                	                        	+                         	                    	                       	                       	                             	                       	                       	                                  	                   	                 	                        	                        	                      	                  	                          	                          	                      	                       	                      	                           	                        	                            	                          	                    	                      	+                	                           	                     	                     	                      	                             	                          	                        	                    	                      	                               	                       	                               	                   	                    	                    	                   	                       	                    	                                	                      	                 	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	+                  	+                                 	                          	                 	                   	+                          	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-634

  SR	                 	                 	E. spiridoides    	              	104	 642	D	  3	X	 2	  80.00	    201.9000	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	+                           	                     	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	+          	                  	+                	                       	+                   	                            	+                    	                                	+                       	+                         	                    	                       	                       	+                            	+                      	                       	                                  	                   	                 	+                       	+                       	+                     	                  	+                         	+                         	                      	                       	+                     	+                          	                        	+                           	                          	                    	+                     	+                	+                          	                     	                     	                      	+                            	+                         	                        	                    	                      	                               	                       	                               	                   	+                   	                    	                   	                       	+                   	                                	                      	                 	+                   	                   	                        	                      	                             	+                  	                            	+                             	          	+                  	                    	+                  	+                                 	+                         	+                	+                  	+                          	+                      	+                     	+           	+                 	from ODP Leg 104 SR Ch 32 Table 3 p 633-635

  SR	                 	                 	I. patulum        	              	104	 642	D	  5	X	 6	  80.00	    227.2000	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	                            	                     	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	+          	                  	                 	                       	+                   	                            	                     	+                               	                        	+                         	+                   	                       	                       	                             	                       	                       	+                                 	+                  	                 	                        	+                       	                      	                  	                          	+                         	                      	                       	+                     	                           	                        	+                           	                          	                    	                      	+                	                           	                     	                     	                      	                             	                          	+                       	                    	                      	                               	+                      	+                              	                   	+                   	                    	                   	+                      	                    	                                	                      	                 	+                   	                   	+                       	                      	+                            	+                  	+                           	+                             	+         	+                  	+                   	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-636

  SR	                 	                 	I. patulum        	              	104	 642	D	  6	X	 5	  80.00	    235.3000	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	+                           	                     	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	                 	                       	+                   	+                           	                     	                                	+                       	                          	                    	+                      	                       	+                            	                       	                       	                                  	                   	                 	                        	                        	                      	                  	                          	                          	                      	+                      	                      	+                          	                        	+                           	+                         	+                   	                      	                 	+                          	                     	                     	                      	+                            	                          	                        	                    	                      	                               	+                      	+                              	                   	+                   	                    	+                  	                       	                    	                                	                      	                 	+                   	                   	+                       	+                     	+                            	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-637
