Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Truncorotalia truncatulinoides (sin.),Truncorotalia truncatulinoides (dex.),Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina dutertrei,Globorotalia tumida flexuosa,Globorotalia tumida (right),Globorotalia tumida (left),Globorotalia tosaensis,Globorotalia scitula,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globoquadrina conglomerata,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides conglobatus,Globigerinita glutinata,Globigerinella aequilateralis,Globigerina rubescens,Globigerina quinqueloba,Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 932,A,  1,H,CC,  10.00,      5.9000,Showers  ,Planktonic Foraminifers                      ,C              ,M                 ,-                                    ,F                                    ,R                           ,-                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,R                         ,-                     ,-                   ,R                    ,-                   ,-                     ,R                         ,C                                ,F                                  ,C                            ,R                           ,R                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR p187 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 932,A,  2,H,CC,  20.00,     15.5200,Showers  ,Planktonic Foraminifers                      ,F              ,M                 ,-                                    ,F                                    ,-                           ,-                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,-                         ,-                     ,-                   ,-                    ,-                   ,-                     ,-                         ,-                                ,C                                  ,F                            ,C                           ,-                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR p187 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 932,A,  3,H,CC,  30.00,     25.9000,Showers  ,Planktonic Foraminifers                      ,R              ,P                 ,-                                    ,C                                    ,-                           ,-                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,-                         ,-                     ,-                   ,-                    ,-                   ,-                     ,-                         ,C                                ,-                                  ,F                            ,-                           ,-                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR p187 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 932,A,  4,H,CC,  22.00,     35.0500,Showers  ,Planktonic Foraminifers                      ,C              ,M                 ,-                                    ,C                                    ,-                           ,R                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,-                         ,-                     ,-                   ,-                    ,-                   ,-                     ,-                         ,C                                ,F                                  ,F                            ,R                           ,-                          ,-                      ,R                            ,-                    ,-                      ,-                    ,from Leg 155IR p187 Table 4
